donor_id,candidate_rank_score_777,other_rank_score_777,candidate_cells
LAM1,0.5006435513496399,0.5006436109542847,31
LAM2,0.5006434917449951,0.5006436109542847,4
LAM3,0.5006436109542847,0.5006436109542847,84
LAM4,0.5006435513496399,0.5006435513496399,21
