excluded_donor,remaining_donors,remaining_candidate_cells,remaining_candidate_fraction,candidate_marker_score,other_marker_score,marker_difference
LAM1,3,109,0.007077462502434907,1.343438579472562,-0.009274300093657418,1.3527128795662196
LAM2,3,136,0.008446155757048815,1.3894302703855086,-0.01583687035122569,1.4052671407367343
LAM3,3,56,0.0034542314335060447,1.3866600434709164,-0.023039412725040762,1.4096994561959573
LAM4,3,119,0.005416723565023442,1.3412899530528306,-0.017310038198021238,1.358599991250852
