resolution,seed,clusters,ari_vs_baseline_leiden_r0_8,nmi_vs_baseline_leiden_r0_8
0.4,0,26,0.8451881694006353,0.9379641374527915
0.4,1,26,0.8327075307467842,0.9312577687891984
0.4,2,26,0.8392573406192152,0.9335598948105721
0.8,0,35,0.9366271904766769,0.9683165891834298
0.8,1,35,0.9036124774802226,0.9631920249504444
0.8,2,35,0.926779015574025,0.9622033606940361
1.2,0,40,0.8614062783138257,0.9431603757983542
1.2,1,40,0.8375427228517277,0.9348105237838795
1.2,2,39,0.8849440695290336,0.9454158685021029
