pool,candidate_program,known_program_explained_r2,residual_sd
high_confidence,program_1,0.5760334949823576,0.3045981619214805
high_confidence,program_2,0.9580034412640395,0.11200366945641448
high_confidence,program_3,0.7170893264442327,0.24122982137532403
high_confidence,program_4,0.7648623327498753,0.2393124364547549
high_confidence,program_5,0.6404422778556529,0.33742248307052786
high_confidence,program_6,0.6653547539865838,0.274986500620358
broad_lam_like,program_1,0.5552932308837537,0.35517798205000045
broad_lam_like,program_2,0.9594940056490073,0.10588303999876414
broad_lam_like,program_3,0.7218003978915891,0.27734275580753714
broad_lam_like,program_4,0.6334028275953643,0.3104765704961073
broad_lam_like,program_5,0.4876146405488666,0.3355387386825868
unrestricted_lam,program_1,0.7611226879302789,0.30154851414313066
unrestricted_lam,program_2,0.6578884654468486,0.34043747485768594
unrestricted_lam,program_3,0.7028877990016663,0.2669048324305899
unrestricted_lam,program_4,0.6974107986002562,0.24884282369483285
unrestricted_lam,program_5,0.878742187711989,0.1524702676904585
