pool,donor_id,donor_program,donor_rank,best_pooled_program,top_gene_jaccard,independently_discovered,n_cells
high_confidence,LAM3,program_1,6,program_1,0.030927835051546393,False,1492
high_confidence,LAM3,program_2,6,program_2,0.0989010989010989,False,1492
high_confidence,LAM3,program_3,6,program_1,0.02040816326530612,False,1492
high_confidence,LAM3,program_4,6,program_6,0.08695652173913043,False,1492
high_confidence,LAM3,program_5,6,program_2,0.06382978723404255,False,1492
high_confidence,LAM3,program_6,6,program_1,0.08695652173913043,False,1492
high_confidence,LAM18,program_1,5,program_2,0.08695652173913043,False,129
high_confidence,LAM18,program_2,5,program_5,0.07526881720430108,False,129
high_confidence,LAM18,program_3,5,program_2,0.06382978723404255,False,129
high_confidence,LAM18,program_4,5,program_2,0.07526881720430108,False,129
high_confidence,LAM18,program_5,5,program_2,0.06382978723404255,False,129
high_confidence,LAM32,program_1,6,program_2,0.08695652173913043,False,335
high_confidence,LAM32,program_2,6,program_1,0.06382978723404255,False,335
high_confidence,LAM32,program_3,6,program_1,0.08695652173913043,False,335
high_confidence,LAM32,program_4,6,program_2,0.12359550561797752,False,335
high_confidence,LAM32,program_5,6,program_2,0.1111111111111111,False,335
high_confidence,LAM32,program_6,6,program_2,0.14942528735632185,False,335
high_confidence,LAM50,program_1,6,program_1,0.08695652173913043,False,725
high_confidence,LAM50,program_2,6,program_6,0.041666666666666664,False,725
high_confidence,LAM50,program_3,6,program_6,0.06382978723404255,False,725
high_confidence,LAM50,program_4,6,program_1,0.0989010989010989,False,725
high_confidence,LAM50,program_5,6,program_5,0.041666666666666664,False,725
high_confidence,LAM50,program_6,6,program_4,0.05263157894736842,False,725
broad_lam_like,LAM3,program_1,5,program_4,0.13636363636363635,False,1500
broad_lam_like,LAM3,program_2,5,program_1,0.05263157894736842,False,1500
broad_lam_like,LAM3,program_3,5,program_1,0.030927835051546393,False,1500
broad_lam_like,LAM3,program_4,5,program_1,0.08695652173913043,False,1500
broad_lam_like,LAM3,program_5,5,program_2,0.05263157894736842,False,1500
broad_lam_like,LAM18,program_1,6,program_2,0.07526881720430108,False,594
broad_lam_like,LAM18,program_2,6,program_2,0.030927835051546393,False,594
broad_lam_like,LAM18,program_3,6,program_2,0.05263157894736842,False,594
broad_lam_like,LAM18,program_4,6,program_1,0.041666666666666664,False,594
broad_lam_like,LAM18,program_5,6,program_2,0.05263157894736842,False,594
broad_lam_like,LAM18,program_6,6,program_2,0.06382978723404255,False,594
broad_lam_like,LAM32,program_1,6,program_2,0.16279069767441862,True,1381
broad_lam_like,LAM32,program_2,6,program_2,0.030927835051546393,False,1381
broad_lam_like,LAM32,program_3,6,program_2,0.12359550561797752,False,1381
broad_lam_like,LAM32,program_4,6,program_2,0.14942528735632185,False,1381
broad_lam_like,LAM32,program_5,6,program_2,0.14942528735632185,False,1381
broad_lam_like,LAM32,program_6,6,program_2,0.1111111111111111,False,1381
broad_lam_like,LAM50,program_1,5,program_2,0.08695652173913043,False,1407
broad_lam_like,LAM50,program_2,5,program_1,0.05263157894736842,False,1407
broad_lam_like,LAM50,program_3,5,program_1,0.041666666666666664,False,1407
broad_lam_like,LAM50,program_4,5,program_1,0.041666666666666664,False,1407
broad_lam_like,LAM50,program_5,5,program_5,0.05263157894736842,False,1407
unrestricted_lam,LAM3,program_1,5,program_4,0.0989010989010989,False,1500
unrestricted_lam,LAM3,program_2,5,program_5,0.06382978723404255,False,1500
unrestricted_lam,LAM3,program_3,5,program_4,0.0989010989010989,False,1500
unrestricted_lam,LAM3,program_4,5,program_1,0.07526881720430108,False,1500
unrestricted_lam,LAM3,program_5,5,program_1,0.05263157894736842,False,1500
unrestricted_lam,LAM18,program_1,6,program_4,0.0989010989010989,False,1114
unrestricted_lam,LAM18,program_2,6,program_2,0.05263157894736842,False,1114
unrestricted_lam,LAM18,program_3,6,program_5,0.0989010989010989,False,1114
unrestricted_lam,LAM18,program_4,6,program_5,0.05263157894736842,False,1114
unrestricted_lam,LAM18,program_5,6,program_2,0.05263157894736842,False,1114
unrestricted_lam,LAM18,program_6,6,program_5,0.0989010989010989,False,1114
unrestricted_lam,LAM32,program_1,6,program_1,0.1111111111111111,False,1500
unrestricted_lam,LAM32,program_2,6,program_5,0.07526881720430108,False,1500
unrestricted_lam,LAM32,program_3,6,program_1,0.0989010989010989,False,1500
unrestricted_lam,LAM32,program_4,6,program_1,0.041666666666666664,False,1500
unrestricted_lam,LAM32,program_5,6,program_2,0.08695652173913043,False,1500
unrestricted_lam,LAM32,program_6,6,program_1,0.07526881720430108,False,1500
unrestricted_lam,LAM50,program_1,6,program_1,0.08695652173913043,False,869
unrestricted_lam,LAM50,program_2,6,program_1,0.06382978723404255,False,869
unrestricted_lam,LAM50,program_3,6,program_1,0.07526881720430108,False,869
unrestricted_lam,LAM50,program_4,6,program_1,0.07526881720430108,False,869
unrestricted_lam,LAM50,program_5,6,program_1,0.08695652173913043,False,869
unrestricted_lam,LAM50,program_6,6,program_1,0.08695652173913043,False,869
