pool,candidate_program,known_program,evidence_scope,evidence_level,known_type,overlap_n,overlap_genes,jaccard_top_genes,score_correlation
high_confidence,program_4,MDK_dormancy_persistence,treatment-associated,supported,gene_set,0,,0.0,-0.36568558335697815
high_confidence,program_5,MDK_dormancy_persistence,treatment-associated,supported,gene_set,1,TXNIP,0.01694915254237288,0.13396938236241196
high_confidence,program_6,MDK_dormancy_persistence,treatment-associated,supported,gene_set,0,,0.0,-0.11730742657954298
high_confidence,program_1,HOX_PBX,LAM-shared,supported,gene_set,0,,0.0,0.007486165331438523
high_confidence,program_2,HOX_PBX,LAM-shared,supported,gene_set,0,,0.0,-0.2474205408834798
high_confidence,program_3,HOX_PBX,LAM-shared,supported,gene_set,2,"MEIS2,PBX1",0.03571428571428571,0.5061303284464852
high_confidence,program_4,HOX_PBX,LAM-shared,supported,gene_set,0,,0.0,0.4564051619912139
high_confidence,program_5,HOX_PBX,LAM-shared,supported,gene_set,0,,0.0,-0.30103463387966795
high_confidence,program_6,HOX_PBX,LAM-shared,supported,gene_set,0,,0.0,-0.2944564964331367
high_confidence,program_1,LAF_niche,microenvironment,supported,gene_set,0,,0.0,-0.2740239686880058
high_confidence,program_2,LAF_niche,microenvironment,supported,gene_set,0,,0.0,0.47761213133077896
high_confidence,program_3,LAF_niche,microenvironment,supported,gene_set,1,DCN,0.01694915254237288,0.40849437177404235
high_confidence,program_4,LAF_niche,microenvironment,supported,gene_set,0,,0.0,-0.25440291555559935
high_confidence,program_5,LAF_niche,microenvironment,supported,gene_set,0,,0.0,-0.20428683023571384
high_confidence,program_6,LAF_niche,microenvironment,supported,gene_set,0,,0.0,-0.18552645982975224
high_confidence,program_1,macrophage_TREM2_TYROBP,microenvironment,supported,gene_set,0,,0.0,-0.19611870410618315
high_confidence,program_2,macrophage_TREM2_TYROBP,microenvironment,supported,gene_set,1,LGALS3,0.01694915254237288,0.5466428442175266
high_confidence,program_3,macrophage_TREM2_TYROBP,microenvironment,supported,gene_set,0,,0.0,-0.2542244643710672
high_confidence,program_4,macrophage_TREM2_TYROBP,microenvironment,supported,gene_set,0,,0.0,-0.10483793737325851
high_confidence,program_5,macrophage_TREM2_TYROBP,microenvironment,supported,gene_set,0,,0.0,0.3223065269976435
high_confidence,program_6,macrophage_TREM2_TYROBP,microenvironment,supported,gene_set,0,,0.0,-0.3147216132941211
high_confidence,program_1,TGFbeta_fibroblast,microenvironment,supported,gene_set,0,,0.0,0.050273124021166
high_confidence,program_2,TGFbeta_fibroblast,microenvironment,supported,gene_set,0,,0.0,0.03958432302431023
high_confidence,program_3,TGFbeta_fibroblast,microenvironment,supported,gene_set,0,,0.0,0.31408891476911044
