pool,donor_id,n_cells,analysis,selected_rank,selected_seed,n_programs,program_1,program_2,program_3,program_4,program_5,program_6
high_confidence,LAM3,1492,independent_nmf,6.0,0.0,6.0,,,,,,
high_confidence,LAM18,129,independent_nmf,5.0,0.0,5.0,,,,,,
high_confidence,LAM32,335,independent_nmf,6.0,1.0,6.0,,,,,,
high_confidence,LAM50,725,independent_nmf,6.0,0.0,6.0,,,,,,
high_confidence,LAM18,129,,,,,0.0009108800441026688,1.3535383939743042,0.3098653256893158,0.0023003723472356796,0.1352968066930771,0.03662503510713577
high_confidence,LAM3,1492,,,,,0.5476608872413635,0.18575631082057953,0.42042168974876404,0.4744175970554352,0.523028552532196,0.08909827470779419
high_confidence,LAM32,335,,,,,0.003824567887932062,1.5144829750061035,0.28896695375442505,0.012564911507070065,0.2079537957906723,0.016392499208450317
high_confidence,LAM50,725,,,,,0.39323750138282776,0.08355967700481415,0.3125703036785126,0.15495023131370544,0.373401939868927,1.0123014450073242
broad_lam_like,LAM3,1500,independent_nmf,5.0,0.0,5.0,,,,,,
broad_lam_like,LAM18,594,independent_nmf,6.0,0.0,6.0,,,,,,
broad_lam_like,LAM32,1381,independent_nmf,6.0,0.0,6.0,,,,,,
broad_lam_like,LAM50,1407,independent_nmf,5.0,0.0,5.0,,,,,,
broad_lam_like,LAM18,594,,,,,0.09583337604999542,1.0523700714111328,0.008220503106713295,0.014432195574045181,0.16701550781726837,
broad_lam_like,LAM3,2618,,,,,0.2982484996318817,0.12336981296539307,0.6425961256027222,0.5953128933906555,0.4495711028575897,
broad_lam_like,LAM32,1381,,,,,0.10406279563903809,1.182166337966919,0.02196524664759636,0.012304111383855343,0.2182876616716385,
broad_lam_like,LAM50,1407,,,,,1.0665301084518433,0.0932731032371521,0.11876551806926727,0.5347934365272522,0.3976258337497711,
unrestricted_lam,LAM3,1500,independent_nmf,5.0,0.0,5.0,,,,,,
unrestricted_lam,LAM18,1114,independent_nmf,6.0,0.0,6.0,,,,,,
unrestricted_lam,LAM32,1500,independent_nmf,6.0,2.0,6.0,,,,,,
unrestricted_lam,LAM50,869,independent_nmf,6.0,0.0,6.0,,,,,,
unrestricted_lam,LAM18,1114,,,,,0.02761639840900898,0.4272975027561188,0.2490839809179306,0.03849583491683006,0.7342773675918579,
unrestricted_lam,LAM3,1958,,,,,0.8121753334999084,0.17602893710136414,0.09630551189184189,0.733969509601593,0.10464923083782196,
unrestricted_lam,LAM32,2059,,,,,0.020553985610604286,0.4681483209133148,0.5416066646575928,0.03677647188305855,0.6981124877929688,
unrestricted_lam,LAM50,869,,,,,1.1318782567977905,0.303422749042511,0.2524079978466034,0.38507992029190063,0.07494743168354034,
