program,donor_id,baseline_effect,strict_qc_effect,baseline_direction,strict_qc_direction,direction_consistent,qc_direction_status
biomarker_VEGFD_PMEL_CCL14_MMP8,Donor1,,,near_zero_or_unavailable,near_zero_or_unavailable,False,qc_sensitive_or_insufficient
biomarker_VEGFD_PMEL_CCL14_MMP8,LAM1,1.4647420382525986,1.4795830601169684,positive,positive,True,qc_stable
biomarker_VEGFD_PMEL_CCL14_MMP8,LAM2,0.49944591065582333,0.5267473223690766,positive,positive,True,qc_stable
biomarker_VEGFD_PMEL_CCL14_MMP8,LAM3,1.3494033219711692,1.375006926765226,positive,positive,True,qc_stable
biomarker_VEGFD_PMEL_CCL14_MMP8,LAM4,1.4920720607936706,1.3850611673414175,positive,positive,True,qc_stable
cell_cycle,Donor1,,,near_zero_or_unavailable,near_zero_or_unavailable,False,qc_sensitive_or_insufficient
cell_cycle,LAM1,0.007893266217826655,0.012267198454271868,near_zero_or_unavailable,near_zero_or_unavailable,False,qc_sensitive_or_insufficient
cell_cycle,LAM2,-0.054628624837086415,0.021363240939529536,negative,near_zero_or_unavailable,False,qc_sensitive_or_insufficient
cell_cycle,LAM3,-0.02216588507402447,-0.037057255790993025,near_zero_or_unavailable,near_zero_or_unavailable,False,qc_sensitive_or_insufficient
cell_cycle,LAM4,0.106759668198771,0.11874223967237672,positive,positive,True,qc_stable
contractile,Donor1,,,near_zero_or_unavailable,near_zero_or_unavailable,False,qc_sensitive_or_insufficient
contractile,LAM1,2.5951196978991566,2.626956476771647,positive,positive,True,qc_stable
contractile,LAM2,0.007413776719738002,0.054051847804608755,near_zero_or_unavailable,positive,False,qc_sensitive_or_insufficient
contractile,LAM3,2.2416514569151373,1.9855258599192254,positive,positive,True,qc_stable
contractile,LAM4,2.397600787008362,2.8208007921047047,positive,positive,True,qc_stable
hormone_related,Donor1,,,near_zero_or_unavailable,near_zero_or_unavailable,False,qc_sensitive_or_insufficient
hormone_related,LAM1,0.03301841995681457,0.04061645153967882,near_zero_or_unavailable,near_zero_or_unavailable,False,qc_sensitive_or_insufficient
hormone_related,LAM2,0.031281750842421165,-0.033176345089993155,near_zero_or_unavailable,near_zero_or_unavailable,False,qc_sensitive_or_insufficient
hormone_related,LAM3,0.049378601089343055,0.08269973007499473,near_zero_or_unavailable,positive,False,qc_sensitive_or_insufficient
hormone_related,LAM4,-0.0030330027717243233,-0.014466163907852932,near_zero_or_unavailable,near_zero_or_unavailable,False,qc_sensitive_or_insufficient
hypoxia_stress,Donor1,,,near_zero_or_unavailable,near_zero_or_unavailable,False,qc_sensitive_or_insufficient
hypoxia_stress,LAM1,0.0238204553106936,0.02055843881483431,near_zero_or_unavailable,near_zero_or_unavailable,False,qc_sensitive_or_insufficient
hypoxia_stress,LAM2,0.17350827654291873,0.20289211646863137,positive,positive,True,qc_stable
hypoxia_stress,LAM3,0.01204365760589579,0.032016601437068484,near_zero_or_unavailable,near_zero_or_unavailable,False,qc_sensitive_or_insufficient
hypoxia_stress,LAM4,-0.03258239378465193,-0.047881904555086,near_zero_or_unavailable,near_zero_or_unavailable,False,qc_sensitive_or_insufficient
lineage_uterine_smooth_muscle,Donor1,,,near_zero_or_unavailable,near_zero_or_unavailable,False,qc_sensitive_or_insufficient
lineage_uterine_smooth_muscle,LAM1,2.5951196978991566,2.626956476771647,positive,positive,True,qc_stable
lineage_uterine_smooth_muscle,LAM2,0.007413776719738002,0.054051847804608755,near_zero_or_unavailable,positive,False,qc_sensitive_or_insufficient
lineage_uterine_smooth_muscle,LAM3,2.2416514569151373,1.9855258599192254,positive,positive,True,qc_stable
lineage_uterine_smooth_muscle,LAM4,2.397600787008362,2.8208007921047047,positive,positive,True,qc_stable
mTOR_translation,Donor1,,,near_zero_or_unavailable,near_zero_or_unavailable,False,qc_sensitive_or_insufficient
mTOR_translation,LAM1,-0.018114857063641618,-0.019387389395755558,near_zero_or_unavailable,near_zero_or_unavailable,False,qc_sensitive_or_insufficient
mTOR_translation,LAM2,0.018139725931996205,-0.13378484760634046,near_zero_or_unavailable,negative,False,qc_sensitive_or_insufficient
mTOR_translation,LAM3,-0.05621926544937442,-0.07602110601791928,negative,negative,True,qc_stable
mTOR_translation,LAM4,-0.0003395716054848674,-0.08627966895116124,near_zero_or_unavailable,negative,False,qc_sensitive_or_insufficient
macrophage_TREM2_TYROBP,Donor1,,,near_zero_or_unavailable,near_zero_or_unavailable,False,qc_sensitive_or_insufficient
macrophage_TREM2_TYROBP,LAM1,-0.5772425695956603,-0.5866314702348041,negative,negative,True,qc_stable
macrophage_TREM2_TYROBP,LAM2,-0.43659064881103965,-0.43472979120826954,negative,negative,True,qc_stable
macrophage_TREM2_TYROBP,LAM3,-0.6759517074075139,-0.7239451445862473,negative,negative,True,qc_stable
macrophage_TREM2_TYROBP,LAM4,-0.38933985261067966,-0.3622581756688339,negative,negative,True,qc_stable
normal_lung_interstitial,Donor1,,,near_zero_or_unavailable,near_zero_or_unavailable,False,qc_sensitive_or_insufficient
normal_lung_interstitial,LAM1,1.0719655433835238,1.123194336050001,positive,positive,True,qc_stable
normal_lung_interstitial,LAM2,-0.013737629202774163,-0.0156279054394536,near_zero_or_unavailable,near_zero_or_unavailable,False,qc_sensitive_or_insufficient
normal_lung_interstitial,LAM3,0.9293142264934685,1.3328507958255948,positive,positive,True,qc_stable
normal_lung_interstitial,LAM4,0.1460154610059023,0.1503558331460183,positive,positive,True,qc_stable
protease_ECM_niche,Donor1,,,near_zero_or_unavailable,near_zero_or_unavailable,False,qc_sensitive_or_insufficient
protease_ECM_niche,LAM1,1.0053219097343136,1.0554128672829732,positive,positive,True,qc_stable
protease_ECM_niche,LAM2,-0.013403884248577351,-0.09921949796196419,near_zero_or_unavailable,negative,False,qc_sensitive_or_insufficient
protease_ECM_niche,LAM3,0.818500583794561,1.2055211575486287,positive,positive,True,qc_stable
protease_ECM_niche,LAM4,0.036918226269683906,0.04807609366186943,near_zero_or_unavailable,near_zero_or_unavailable,False,qc_sensitive_or_insufficient
