source,pool,program,donor_id,n_cells_scored,candidate_cells_scored,background_cells_scored,candidate_mean,background_mean,candidate_minus_background,direction,qc_view
adata_obs,all_cells,CORE1,LAM4,898,4,894,2.833627286306697,0.01282649420199205,2.8208007921047047,positive,strict_qc
adata_obs,all_cells,ECM_remodeling,Donor1,7480,0,7480,,0.003639836179236244,,near_zero_or_unavailable,baseline
adata_obs,all_cells,ECM_remodeling,LAM1,7827,31,7796,0.9083404795688145,-0.096981430165499,1.0053219097343136,positive,baseline
adata_obs,all_cells,ECM_remodeling,LAM2,7126,4,7122,0.018595060557127,0.03199894480570435,-0.013403884248577351,near_zero_or_unavailable,baseline
adata_obs,all_cells,ECM_remodeling,LAM3,7016,84,6932,0.8812398443781598,0.06273926058359884,0.818500583794561,positive,baseline
adata_obs,all_cells,ECM_remodeling,LAM4,1259,21,1238,0.07845399903196866,0.041535772762284755,0.036918226269683906,near_zero_or_unavailable,baseline
adata_obs,all_cells,ECM_remodeling,Donor1,6178,0,6178,,-0.009631025841158049,,near_zero_or_unavailable,strict_qc
adata_obs,all_cells,ECM_remodeling,LAM1,7104,28,7076,0.9542224471339463,-0.10119042014902685,1.0554128672829732,positive,strict_qc
adata_obs,all_cells,ECM_remodeling,LAM2,4955,1,4954,-0.08510234313351767,0.014117154828446521,-0.09921949796196419,negative,strict_qc
adata_obs,all_cells,ECM_remodeling,LAM3,6064,52,6012,1.2608808122984656,0.055359654749836854,1.2055211575486287,positive,strict_qc
adata_obs,all_cells,ECM_remodeling,LAM4,898,4,894,0.06358202101928848,0.01550592735741905,0.04807609366186943,near_zero_or_unavailable,strict_qc
adata_obs,all_cells,TGFbeta_fibroblast,Donor1,7480,0,7480,,0.0170816305149247,,near_zero_or_unavailable,baseline
adata_obs,all_cells,TGFbeta_fibroblast,LAM1,7827,31,7796,1.050266470021458,-0.021699073362065925,1.0719655433835238,positive,baseline
adata_obs,all_cells,TGFbeta_fibroblast,LAM2,7126,4,7122,-0.038697274252772335,-0.02495964504999817,-0.013737629202774163,near_zero_or_unavailable,baseline
adata_obs,all_cells,TGFbeta_fibroblast,LAM3,7016,84,6932,0.924987352028016,-0.004326874465452499,0.9293142264934685,positive,baseline
adata_obs,all_cells,TGFbeta_fibroblast,LAM4,1259,21,1238,0.138133310325562,-0.007882150680340294,0.1460154610059023,positive,baseline
adata_obs,all_cells,TGFbeta_fibroblast,Donor1,6178,0,6178,,0.013745036372723762,,near_zero_or_unavailable,strict_qc
adata_obs,all_cells,TGFbeta_fibroblast,LAM1,7104,28,7076,1.1002894789228839,-0.022904857127117012,1.123194336050001,positive,strict_qc
adata_obs,all_cells,TGFbeta_fibroblast,LAM2,4955,1,4954,-0.03983794152736664,-0.02421003608791304,-0.0156279054394536,near_zero_or_unavailable,strict_qc
