score_space,min_cluster_size,min_samples,cluster,cells,donors,donor_ids,mean_state_contractile,mean_state_ecm_remodeling,mean_state_proliferative,mean_state_stress_hypoxia,mean_state_inflammatory,mean_state_hormone_related,mean_state_metabolic,mean_state_mTOR_related
zscore,10,5.0,0,12,2,LAM3;LAM4,2.925657054477446,0.2926675705540748,-0.012370175917943321,-0.09444294532140095,-0.14929352031813728,-0.004228301048278808,-0.09444294532140095,-0.09444294532140095
zscore,10,5.0,1,16,2,LAM3;LAM4,2.478672276632298,0.12149746138070311,-0.01091014419992765,-0.10425367154181003,0.46036472847064336,-0.007684443791707357,-0.10425367154181003,-0.10425367154181003
zscore,10,10.0,0,13,2,LAM3;LAM4,2.4058221838413143,0.1458023451579796,-0.007783200251750457,-0.09956933461702785,0.4750864954483815,-0.008173480156140448,-0.09956933461702785,-0.09956933461702785
zscore,10,10.0,1,11,2,LAM3;LAM4,2.8820252435246645,0.3235357280675467,-0.013494737365029076,-0.09876665288751774,-0.15100540146683203,-0.004612692052667791,-0.09876665288751774,-0.09876665288751774
zscore,8,5.0,0,12,2,LAM3;LAM4,2.925657054477446,0.2926675705540748,-0.012370175917943321,-0.09444294532140095,-0.14929352031813728,-0.004228301048278808,-0.09444294532140095,-0.09444294532140095
zscore,8,5.0,1,16,2,LAM3;LAM4,2.478672276632298,0.12149746138070311,-0.01091014419992765,-0.10425367154181003,0.46036472847064336,-0.007684443791707357,-0.10425367154181003,-0.10425367154181003
raw,10,,0,86,3,LAM1;LAM3;LAM4,2.7549418658537532,0.34254673246752193,-0.0024111352202504156,-0.0172240525177976,0.2794105712665143,0.012741012552449872,0.012623093891166904,-0.07697737855273623
raw,10,,1,11,2,LAM1;LAM3,0.5531884110116949,1.9862502881381419,-0.04881319829911896,-0.0457256323911927,0.4468560274803277,0.20003437952561812,-0.054885960483189784,-0.07907633916898207
