sample_id,modality,module_id,module_score_mean_log1p,module_score_median_log1p,module_score_p90_log1p,n_genes_available,n_cells_or_spots,state_LAMCORE1_mean,state_LAMCORE1_median,state_LAMCORE1_p90,state_LAMCORE2_mean,state_LAMCORE2_median,state_LAMCORE2_p90,state_LAMCORE3_mean,state_LAMCORE3_median,state_LAMCORE3_p90,state_LAF-seed_mean,state_LAF-seed_median,state_LAF-seed_p90,state_LAF-niche_mean,state_LAF-niche_median,state_LAF-niche_p90,fraction_z_state_LAMCORE1_gt1,fraction_z_state_LAMCORE2_gt1,fraction_z_state_LAMCORE3_gt1,fraction_z_state_LAF-seed_gt1,fraction_z_state_LAF-niche_gt1
LAM3,scRNA-seq,mimic_only__stable_1,0.1358020007610321,0.1349540501832962,0.2217833697795868,70,8021,0.0951910093426704,0.0370872803032398,0.2245081961154937,0.0401757471263408,0.0,0.1536378264427185,1.2136114835739136,1.3732211589813232,1.918121576309204,0.9333956837654114,0.8966481685638428,1.6286423206329346,0.505558431148529,0.3563446402549743,1.1893343925476074,0.0259319286871961,0.0153347462909861,0.0074803640443834,0.0284253833686572,0.0609649669617254
LAM3,scRNA-seq,reversal_only__stable_2,0.19781474769115448,0.19025540351867676,0.3188997805118561,86,8021,0.0951910093426704,0.0370872803032398,0.2245081961154937,0.0401757471263408,0.0,0.1536378264427185,1.2136114835739136,1.3732211589813232,1.918121576309204,0.9333956837654114,0.8966481685638428,1.6286423206329346,0.505558431148529,0.3563446402549743,1.1893343925476074,0.0259319286871961,0.0153347462909861,0.0074803640443834,0.0284253833686572,0.0609649669617254
LAM3,scRNA-seq,reversal_only__stable_3,0.12119801342487335,0.11811595410108566,0.21834564208984375,27,8021,0.0951910093426704,0.0370872803032398,0.2245081961154937,0.0401757471263408,0.0,0.1536378264427185,1.2136114835739136,1.3732211589813232,1.918121576309204,0.9333956837654114,0.8966481685638428,1.6286423206329346,0.505558431148529,0.3563446402549743,1.1893343925476074,0.0259319286871961,0.0153347462909861,0.0074803640443834,0.0284253833686572,0.0609649669617254
LAM4,scRNA-seq,mimic_only__stable_1,0.11326665431261063,0.10718068480491638,0.20639267563819885,70,4446,0.0753931254148483,0.0288704149425029,0.1929328143596649,0.0375605672597885,0.0,0.1499213576316833,1.31542706489563,1.4656163454055786,1.908211410045624,0.6709134578704834,0.5924702882766724,1.3326637148857117,0.4366148114204407,0.3209590911865234,0.9600223302841188,0.0206927575348628,0.017094017094017,0.0053981106612685,0.0357624831309041,0.0670265407107512
LAM4,scRNA-seq,reversal_only__stable_2,0.18681560456752777,0.18459931015968323,0.30383867025375366,86,4446,0.0753931254148483,0.0288704149425029,0.1929328143596649,0.0375605672597885,0.0,0.1499213576316833,1.31542706489563,1.4656163454055786,1.908211410045624,0.6709134578704834,0.5924702882766724,1.3326637148857117,0.4366148114204407,0.3209590911865234,0.9600223302841188,0.0206927575348628,0.017094017094017,0.0053981106612685,0.0357624831309041,0.0670265407107512
LAM4,scRNA-seq,reversal_only__stable_3,0.09610505402088165,0.09258813410997391,0.19802865386009216,27,4446,0.0753931254148483,0.0288704149425029,0.1929328143596649,0.0375605672597885,0.0,0.1499213576316833,1.31542706489563,1.4656163454055786,1.908211410045624,0.6709134578704834,0.5924702882766724,1.3326637148857117,0.4366148114204407,0.3209590911865234,0.9600223302841188,0.0206927575348628,0.017094017094017,0.0053981106612685,0.0357624831309041,0.0670265407107512
LAM18,Visium HD,mimic_only__stable_1,0.03188898786902428,0.0,0.10012688487768173,69,267526,0.0733217597007751,0.0,0.2202827185392379,0.0827748700976371,0.0,0.3484494686126709,0.0681247189640998,0.0,0.0,0.2357538938522339,0.0,0.6997161507606506,0.2951717376708984,0.2498804777860641,0.7474558353424072,0.0151723570793119,0.0178748981407414,0.0355741124227177,0.0095953290521295,0.0105335556170241
LAM18,Visium HD,reversal_only__stable_2,0.03772794082760811,0.0,0.11354990303516388,82,267526,0.0733217597007751,0.0,0.2202827185392379,0.0827748700976371,0.0,0.3484494686126709,0.0681247189640998,0.0,0.0,0.2357538938522339,0.0,0.6997161507606506,0.2951717376708984,0.2498804777860641,0.7474558353424072,0.0151723570793119,0.0178748981407414,0.0355741124227177,0.0095953290521295,0.0105335556170241
LAM18,Visium HD,reversal_only__stable_3,0.021083706989884377,0.0,0.14071333408355713,27,267526,0.0733217597007751,0.0,0.2202827185392379,0.0827748700976371,0.0,0.3484494686126709,0.0681247189640998,0.0,0.0,0.2357538938522339,0.0,0.6997161507606506,0.2951717376708984,0.2498804777860641,0.7474558353424072,0.0151723570793119,0.0178748981407414,0.0355741124227177,0.0095953290521295,0.0105335556170241
LAM20,Visium,mimic_only__stable_1,0.40617141127586365,0.42512744665145874,0.49695897102355957,69,2311,0.9162940979003906,0.9416465759277344,1.4655944108963013,0.7246903777122498,0.754105806350708,1.1308722496032717,0.874382495880127,0.8852807283401489,1.5114257335662842,1.7280246019363403,1.7536401748657229,2.0598485469818115,1.893769145011902,1.9761745929718015,2.3101017475128174,0.0190393768931198,0.0151449588922544,0.0584162700129813,0.0060579835569017,0.0056252704456945
LAM20,Visium,reversal_only__stable_2,0.44407039880752563,0.4613474905490875,0.550545871257782,82,2311,0.9162940979003906,0.9416465759277344,1.4655944108963013,0.7246903777122498,0.754105806350708,1.1308722496032717,0.874382495880127,0.8852807283401489,1.5114257335662842,1.7280246019363403,1.7536401748657229,2.0598485469818115,1.893769145011902,1.9761745929718015,2.3101017475128174,0.0190393768931198,0.0151449588922544,0.0584162700129813,0.0060579835569017,0.0056252704456945
LAM20,Visium,reversal_only__stable_3,0.2874501049518585,0.2959936857223511,0.4183509647846222,27,2311,0.9162940979003906,0.9416465759277344,1.4655944108963013,0.7246903777122498,0.754105806350708,1.1308722496032717,0.874382495880127,0.8852807283401489,1.5114257335662842,1.7280246019363403,1.7536401748657229,2.0598485469818115,1.893769145011902,1.9761745929718015,2.3101017475128174,0.0190393768931198,0.0151449588922544,0.0584162700129813,0.0060579835569017,0.0056252704456945
