group,patient_id,state,n_cells,environment_dependent_escape_up_rank,environment_dependent_escape_down_rank,environment_dependent_escape_signed_enrichment,escape_hydrogel_up_rank,escape_hydrogel_down_rank,escape_hydrogel_signed_enrichment,escape_plastic_up_rank,escape_plastic_down_rank,escape_plastic_signed_enrichment,hydrogel_specific_residual_up_rank,hydrogel_specific_residual_down_rank,hydrogel_specific_residual_signed_enrichment,residual_hydrogel_up_rank,residual_hydrogel_down_rank,residual_hydrogel_signed_enrichment,residual_plastic_up_rank,residual_plastic_down_rank,residual_plastic_signed_enrichment,tsc2_loss_hydrogel_up_rank,tsc2_loss_hydrogel_down_rank,tsc2_loss_hydrogel_signed_enrichment,tsc2_loss_plastic_up_rank,tsc2_loss_plastic_down_rank,tsc2_loss_plastic_signed_enrichment,module_ecM_invasion_rank,module_survival_stress_rank,module_autophagy_lysosome_rank,module_metabolism_lipogenesis_rank,module_mTORC1_rank,module_mapk_cdk_rank,module_myogenic_rank,module_protein_translation_rank
Donor1|candidate,Donor1,candidate,1292,0.55,0.75,-0.19999999999999996,0.626470588235294,0.5503623188405797,0.07610826939471427,0.6376923076923077,0.5514285714285716,0.08626373626373607,0.6232558139534885,0.5811475409836067,0.042108272969881844,0.5817518248175183,0.65625,-0.0744981751824817,0.5960144927536232,0.6896,-0.09358550724637682,0.5482014388489208,0.6566176470588235,-0.10841620820990272,0.5517482517482518,0.667037037037037,-0.11528878528878517,0.8799999999999999,0.5,0.5625,0.525,0.5714285714285714,0.5666666666666667,1.0,0.5714285714285714
Donor1|other,Donor1,other,6020,0.9,0.675,0.22499999999999998,0.7426470588235294,0.811231884057971,-0.06858482523444154,0.7453846153846154,0.79,-0.04461538461538461,0.7348837209302326,0.7795081967213116,-0.04462447579107898,0.739051094890511,0.7210937500000001,0.01795734489051093,0.7108695652173913,0.7176000000000001,-0.0067304347826088184,0.7928057553956835,0.7488970588235295,0.043908696572154016,0.7716783216783217,0.7425925925925926,0.02908572908572915,0.5900000000000001,0.7555555555555556,0.875,0.8375,0.9285714285714286,0.8444444444444446,0.7999999999999999,0.8
LAM1|candidate,LAM1,candidate,156,0.375,0.6000000000000001,-0.2250000000000001,0.28639705882352945,0.2967391304347826,-0.010342071611253167,0.3069230769230769,0.2907142857142857,0.016208791208791207,0.3220930232558139,0.29672131147540975,0.02537171178040415,0.3452554744525547,0.33437500000000003,0.01088047445255469,0.38297101449275356,0.3656,0.017371014492753578,0.28992805755395684,0.31066176470588236,-0.020733707151925518,0.32412587412587407,0.3177777777777777,0.006348096348096355,0.51,0.3333333333333333,0.2625,0.2875,0.2,0.2444444444444444,0.43333333333333335,0.24285714285714288
LAM1|other,LAM1,other,7501,0.85,0.42500000000000004,0.42499999999999993,0.8301470588235295,0.8586956521739132,-0.028548593350383733,0.8196153846153847,0.874642857142857,-0.05502747252747231,0.8232558139534881,0.7852459016393443,0.03800991231414386,0.8182481751824818,0.7449218750000001,0.07332630018248176,0.8,0.7204,0.0796,0.8636690647482015,0.8220588235294118,0.041610241218789645,0.8580419580419582,0.8048148148148149,0.05322714322714328,0.6100000000000001,0.9888888888888889,0.8625,0.9125,0.9,0.8333333333333334,0.5166666666666667,0.9714285714285715
LAM2|candidate,LAM2,candidate,28,0.225,0.375,-0.15,0.14926470588235297,0.16340579710144928,-0.014141091219096319,0.18692307692307697,0.15392857142857144,0.03299450549450553,0.1511627906976744,0.19262295081967212,-0.04146016012199771,0.19306569343065696,0.20351562500000003,-0.010449931569343068,0.21775362318840577,0.19040000000000004,0.02735362318840573,0.14100719424460434,0.15955882352941178,-0.01855162928480744,0.1692307692307692,0.15814814814814815,0.011082621082621064,0.14,0.1111111111111111,0.125,0.1,0.1285714285714286,0.1,0.09999999999999999,0.12857142857142856
LAM2|other,LAM2,other,6942,0.8,0.325,0.47500000000000003,0.774264705882353,0.8130434782608695,-0.03877877237851657,0.7326923076923076,0.8010714285714287,-0.06837912087912101,0.7255813953488371,0.6770491803278691,0.04853221502096805,0.7478102189781022,0.665625,0.08218521897810216,0.6840579710144927,0.5980000000000001,0.08605797101449264,0.8176258992805756,0.7106617647058824,0.10696413457469323,0.7902097902097902,0.6981481481481482,0.09206164206164202,0.41999999999999993,0.8444444444444446,0.925,0.8375,0.7857142857142858,0.8666666666666667,0.3999999999999999,0.8714285714285713
LAM3|candidate,LAM3,candidate,585,0.325,0.675,-0.35000000000000003,0.47610294117647056,0.42826086956521736,0.0478420716112532,0.48653846153846153,0.43,0.05653846153846154,0.4848837209302325,0.4385245901639343,0.04635913076629822,0.48905109489051096,0.49140625,-0.0023551551094890266,0.4880434782608695,0.5499999999999999,-0.06195652173913041,0.42949640287769786,0.48713235294117646,-0.0576359500634786,0.4339160839160839,0.5062962962962962,-0.07238021238021236,0.82,0.4444444444444444,0.4,0.4375,0.37142857142857144,0.43333333333333335,0.8500000000000001,0.41428571428571426
LAM3|other,LAM3,other,6296,0.8500000000000001,0.575,0.27500000000000013,0.7474264705882353,0.7576086956521739,-0.010182225063938621,0.7300000000000001,0.7589285714285714,-0.028928571428571304,0.769767441860465,0.7377049180327868,0.03206252382767816,0.7467153284671534,0.701953125,0.04476220346715343,0.7072463768115942,0.6912,0.016046376811594154,0.7636690647482015,0.7242647058823529,0.03940435886584859,0.7384615384615384,0.7188888888888889,0.01957264957264948,0.6799999999999999,0.788888888888889,0.7375,0.7875000000000001,0.7571428571428571,0.8555555555555556,0.5666666666666668,0.7571428571428571
LAM4|candidate,LAM4,candidate,244,0.225,0.6000000000000001,-0.3750000000000001,0.3463235294117647,0.28913043478260875,0.05719309462915595,0.3403846153846154,0.30178571428571427,0.03859890109890113,0.3453488372093023,0.3877049180327868,-0.042356080823484465,0.3237226277372263,0.408203125,-0.08448049726277368,0.35434782608695653,0.4092,-0.05485217391304348,0.30035971223021585,0.35808823529411765,-0.057728523063901804,0.31083916083916086,0.36444444444444435,-0.053605283605283494,0.5,0.2222222222222222,0.25,0.23750000000000002,0.3,0.2555555555555556,0.49999999999999994,0.2642857142857143
LAM4|other,LAM4,other,1013,0.4,0.5,-0.09999999999999998,0.5209558823529411,0.5315217391304349,-0.010565856777493776,0.513846153846154,0.5475,-0.033653846153846034,0.5197674418604651,0.6237704918032786,-0.10400304994281351,0.5153284671532846,0.5726562500000001,-0.05732778284671547,0.558695652173913,0.568,-0.009304347826086912,0.5532374100719425,0.5220588235294118,0.031178586542530695,0.5517482517482518,0.5218518518518519,0.029896399896399917,0.35,0.5111111111111112,0.5,0.5375000000000001,0.5571428571428572,0.5,0.3333333333333333,0.4785714285714286
