state,n_cells,environment_dependent_escape_up_rank,environment_dependent_escape_down_rank,environment_dependent_escape_signed_enrichment,escape_hydrogel_up_rank,escape_hydrogel_down_rank,escape_hydrogel_signed_enrichment,escape_plastic_up_rank,escape_plastic_down_rank,escape_plastic_signed_enrichment,hydrogel_specific_residual_up_rank,hydrogel_specific_residual_down_rank,hydrogel_specific_residual_signed_enrichment,residual_hydrogel_up_rank,residual_hydrogel_down_rank,residual_hydrogel_signed_enrichment,residual_plastic_up_rank,residual_plastic_down_rank,residual_plastic_signed_enrichment,tsc2_loss_hydrogel_up_rank,tsc2_loss_hydrogel_down_rank,tsc2_loss_hydrogel_signed_enrichment,tsc2_loss_plastic_up_rank,tsc2_loss_plastic_down_rank,tsc2_loss_plastic_signed_enrichment,module_ecM_invasion_rank,module_survival_stress_rank,module_autophagy_lysosome_rank,module_metabolism_lipogenesis_rank,module_mTORC1_rank,module_mapk_cdk_rank,module_myogenic_rank,module_protein_translation_rank
candidate,461.0,0.34,0.6,-0.26000000000000006,0.37691176470588234,0.34557971014492755,0.03133205456095479,0.3916923076923077,0.3455714285714286,0.046120879120879095,0.38534883720930235,0.3793442622950819,0.006004574914220406,0.38656934306569346,0.41875,-0.03218065693430656,0.4078260869565217,0.44096,-0.03313391304347828,0.3417985611510791,0.39441176470588235,-0.052613203554803215,0.357972027972028,0.4027407407407407,-0.04476871276871272,0.57,0.32222222222222224,0.32,0.3175,0.3142857142857143,0.32,0.5766666666666667,0.3242857142857143
other,5554.4,0.76,0.5,0.26,0.7230882352941176,0.7544202898550725,-0.03133205456095485,0.7083076923076923,0.7544285714285714,-0.04612087912087905,0.7146511627906975,0.7206557377049181,-0.006004574914220484,0.7134306569343065,0.68125,0.032180656934306565,0.6921739130434783,0.6590400000000001,0.033133913043478215,0.758201438848921,0.7055882352941177,0.052613203554803235,0.7420279720279721,0.6972592592592592,0.04476871276871277,0.53,0.7777777777777779,0.78,0.7825,0.7857142857142858,0.78,0.5233333333333333,0.7757142857142857
