distance_bin,cohort,n_cells,distance_min,distance_median,distance_max,LAMCORE_777_mean,LAMCORE_777_median,melanocytic_identity_mean,melanocytic_identity_median,contractile_marker_panel_mean,contractile_marker_panel_median,VEGFD_CTSK_panel_mean,VEGFD_CTSK_panel_median,CORE1_mean,CORE1_median,CORE2_mean,CORE2_median,CORE3_identity_mean,CORE3_identity_median,ciliated_mean,ciliated_median,AT2_mean,AT2_median,macrophage_mean,macrophage_median,endothelial_mean,endothelial_median,fibroblast_mean,fibroblast_median,mesothelial_mean,mesothelial_median,pericyte_VSMC_mean,pericyte_VSMC_median
0,State_1,4,3.743720293045044,3.921331524848938,4.154963493347168,0.37399253994226456,0.38013023138046265,0.45267949253320694,0.3635338693857193,1.0950334705412388,0.9387677907943726,0.32396289706230164,0.0,0.6809901855885983,0.6371453702449799,0.32717956602573395,0.18070324510335922,0.6564609967172146,0.6075601577758789,0.8169464692473412,0.8520209193229675,1.0775158554315567,1.0931398570537567,0.36983001232147217,0.29380327463150024,0.2317092902958393,0.2418520227074623,0.388594975695014,0.3423670381307602,0.15995898842811584,0.16317855939269066,0.6741656884551048,0.636447548866272
0,State_10,1,4.103152751922607,4.103152751922607,4.103152751922607,0.22084422409534454,0.22084422409534454,0.8368531465530396,0.8368531465530396,0.35824769735336304,0.35824769735336304,0.1979655772447586,0.1979655772447586,0.35442349314689636,0.35442349314689636,0.5734590888023376,0.5734590888023376,0.6406237483024597,0.6406237483024597,0.08633298426866531,0.08633298426866531,1.1961431503295898,1.1961431503295898,1.4594545364379883,1.4594545364379883,0.23069636523723602,0.23069636523723602,0.123420350253582,0.123420350253582,0.0,0.0,0.31120428442955017,0.31120428442955017
0,State_12,71,3.0752527713775635,3.8644120693206787,4.161126136779785,0.2896171823983461,0.27617347240448,0.40245310846768634,0.38933542370796204,0.23750519815465093,0.0,0.3652994091242132,0.3127821981906891,0.3211160414970257,0.16855588555335999,0.3481975016249737,0.33933377265930176,0.41959939918047945,0.3608461320400238,0.10785705024297808,0.09761012345552444,1.77806953519163,1.7063086032867432,0.17498895200625272,0.12913063168525696,0.2238806699153403,0.0950281172990799,0.44169709306787436,0.24162232875823975,0.04875733089488997,0.0,0.2932611149014302,0.16535227000713348
0,State_13,3,3.778588056564331,4.0473313331604,4.059263229370117,0.46953803300857544,0.4746018350124359,0.6907731691996256,0.7911695837974548,1.1620736122131348,1.348744511604309,0.6296756764252981,0.8140754103660583,0.6826806962490082,0.5974252820014954,0.47367723286151886,0.5564221143722534,1.1246773997942607,1.1712157726287842,0.04978536566098531,0.06697853654623032,1.8450367053349812,2.1069135665893555,0.25054295857747394,0.3535911738872528,0.03900968407591184,0.037496354430913925,0.3871653527021408,0.44778600335121155,0.012624237686395645,0.0,0.6586407025655111,0.6141807436943054
0,State_14,2,3.635751962661743,3.6489381790161133,3.6621243953704834,0.4317156672477722,0.4317156672477722,0.7555345594882965,0.7555345594882965,2.0341845750808716,2.0341845750808716,1.5143207907676697,1.5143207907676697,1.934531569480896,1.934531569480896,0.7779722213745117,0.7779722213745117,1.2361959218978882,1.2361959218978882,0.9777258038520813,0.9777258038520813,0.3762807697057724,0.3762807697057724,0.36601540446281433,0.36601540446281433,0.0,0.0,0.8384324014186859,0.8384324014186859,0.052453625947237015,0.052453625947237015,1.7592355012893677,1.7592355012893677
0,State_16,287,1.9238871335983276,3.5007288455963135,4.165030479431152,0.3036772238304806,0.2272900491952896,0.5876285889630534,0.6502220034599304,1.7458031302648969,1.7247164249420166,1.183282714531812,1.2409892082214355,1.4594973423339763,1.4606176614761353,0.5963181730762176,0.5394445061683655,1.2126120556833853,1.1707061529159546,0.03507240061430773,0.0,0.8427461823416088,0.7873431444168091,0.30991596369014385,0.25640952587127686,0.025024333767566947,0.0,0.3637523236798077,0.27209797501564026,0.029196850436282076,0.0,1.3229848602299907,1.3462175130844116
0,State_17,5,2.6774280071258545,3.4903061389923096,4.128049850463867,0.35896910429000856,0.3709648549556732,0.24962119460105897,0.24815881252288818,0.29810223579406736,0.25582727789878845,1.177810150384903,1.3895878791809082,0.6803193271160126,0.8088557720184326,0.5610127359628677,0.6082702875137329,0.5712557882070541,0.5721616148948669,0.011959926038980485,0.0,0.038374093174934384,0.0,0.07731279134750366,0.0,0.05057472586631775,0.07674818485975266,2.351548671722412,2.4778127670288086,0.17559055089950562,0.16130249202251434,0.7666529774665832,0.8322730660438538
0,State_18,61,2.958277940750122,3.824899196624756,4.144214153289795,0.347938386876075,0.3417549431324005,0.15423804081854273,0.0,2.876944903467522,3.0100953578948975,0.3257696828881248,0.33971744775772095,2.560150306732928,2.622847080230713,0.16407782712676486,0.1192791610956192,0.734451272937118,0.7137395739555359,0.0371984102931179,0.0,0.1599208807847539,0.0,0.1281354181834909,0.08305176347494125,0.028253874634621572,0.0,0.4658390981007795,0.3736317455768585,0.004656245840377495,0.0,2.4236917339387487,2.4749045372009277
0,State_20,209,2.408000946044922,3.8291337490081787,4.1581926345825195,0.3329842400750475,0.3336958885192871,0.1700572494470902,0.0,0.4002444285667684,0.35474422574043274,0.853473790524679,0.8093914985656738,0.6069154589655297,0.5457152128219604,0.4451394724574956,0.41865524649620056,0.5117223485947796,0.4858357906341553,0.015695307537485537,0.0,0.18658138191300716,0.0,0.21231068344563958,0.10901915282011032,0.09558985594428326,0.0774475485086441,2.069881358215113,2.0905239582061768,0.0477185958737962,0.0,0.6755786745599582,0.6514030694961548
0,State_4,17,3.7228147983551025,4.006242752075195,4.132711410522461,0.1622703042538727,0.18210895359516144,0.6477206244188196,0.7142687439918518,0.09498096213621252,0.0,0.5610407520742977,0.7153557538986206,0.1281985381946844,0.09541250765323639,0.6245108614949619,0.5959503650665283,0.5039334560141844,0.5088268518447876,0.041697016314548606,0.0,0.5919318839031107,0.44674596190452576,0.6397185067043585,0.3626299202442169,0.13612390441053054,0.14413833618164062,0.12365473982165842,0.1359146386384964,0.007064904798479641,0.0,0.0916445890770239,0.06360834091901779
