comparison,target_state,comparator_state,feature,n_target,n_comparator,target_median,comparator_median,median_difference,mannwhitney_u,mannwhitney_pvalue
State_15_vs_State_20,State_15,State_20,gene_CTSK,200,756,3.648732900619507,1.2113310098648071,2.4374018907546997,145934.5,1.6408146636972542e-92
State_15_vs_State_20,State_15,State_20,gene_EMX2,200,756,0.4210773855447769,0.0,0.4210773855447769,117558.0,1.3068224383000493e-104
State_15_vs_State_20,State_15,State_20,gene_HOXA11,200,756,0.0,0.0,0.0,105331.5,4.243257022802511e-71
State_15_vs_State_20,State_15,State_20,gene_ESR1,200,756,0.47882020473480225,0.0,0.47882020473480225,83179.5,0.014013751424289931
State_15_vs_State_20,State_15,State_20,melanocytic_identity,200,756,1.1275132894515991,0.19517380744218826,0.9323394820094109,142085.0,2.4919003664566887e-86
State_15_vs_State_20,State_15,State_20,contractile_marker_panel,200,756,2.068992853164673,0.2755439281463623,1.7934489250183105,141141.0,7.561193518416381e-83
State_15_vs_State_20,State_15,State_20,VEGFD_CTSK_panel,200,756,1.942033290863037,0.7211294770240784,1.2209038138389587,142966.0,4.442823794194594e-84
State_15_vs_State_20,State_15,State_20,ESR1_hormone_marker,200,756,0.47882020473480225,0.0,0.47882020473480225,83179.5,0.014013751424289931
State_15_vs_State_20,State_15,State_20,CORE1,200,756,2.008028030395508,0.43007858097553253,1.5779494494199753,140128.0,4.276971058372427e-77
State_15_vs_State_20,State_15,State_20,CORE2,200,756,1.1634118556976318,0.3829740136861801,0.7804378420114517,147112.0,3.1246594075419593e-94
State_15_vs_State_20,State_15,State_20,CORE3_identity,200,756,1.6109884977340698,0.48267775774002075,1.128310739994049,149813.0,2.4588577152380397e-101
State_15_vs_State_20,State_15,State_20,HOX_PBX,200,756,0.314716175198555,0.16725455224514008,0.14746162295341492,102196.5,1.322765848388739e-14
State_15_vs_State_20,State_15,State_20,LAMCORE_777,200,756,0.512529730796814,0.3448530584573746,0.1676766723394394,138302.0,6.996622643283368e-73
State_15_vs_State_20,State_15,State_20,ECM_remodeling,200,756,1.5745034217834473,1.354983627796173,0.21951979398727417,90665.0,1.4362887892336618e-05
State_15_vs_State_20,State_15,State_20,mTOR_translation,200,756,1.8646366000175476,1.6807677149772644,0.1838688850402832,103817.0,4.446820257353696e-16
State_15_vs_State_20,State_15,State_20,hormone_related,200,756,0.17859980463981628,0.19557152688503265,-0.01697172224521637,70194.5,0.11686737153371558
State_15_vs_State_20,State_15,State_20,hypoxia_stress,200,756,0.44189926981925964,0.432586133480072,0.009313136339187622,72179.0,0.32454133804875474
