patient_id,feature,state15_cells,rest_of_candidate_cells,state15_mean,rest_mean,delta_mean,state15_median,rest_median,delta_median,mannwhitney_u,mannwhitney_pvalue,delta_mean_direction
LAM1,LAMCORE_777,25,50,0.446804860830307,0.08739596705883741,0.3594088937714696,0.4838288128376007,0.04362403601408005,0.44020477682352066,1219.0,2.5516948031604395e-11,positive
LAM1,CORE1,25,50,1.7708083790540696,0.3061160945892334,1.4646922844648362,1.9613313674926758,0.08643858879804611,1.8748927786946297,1183.0,3.6995377735668126e-10,positive
LAM1,CORE2,25,50,1.0217816853523254,0.28312924556434155,0.7386524397879839,0.9998369216918945,0.24414019286632538,0.7556967288255692,1221.0,2.1880589980657924e-11,positive
LAM1,CORE3_identity,25,50,1.480098922252655,0.31374583676457407,1.166353085488081,1.4841253757476807,0.19757391512393951,1.2865514606237411,1219.0,2.5516948031604395e-11,positive
LAM1,gene_PMEL,25,50,1.9219898653030396,0.22344960570335387,1.6985402595996857,2.0969321727752686,0.0,2.0969321727752686,1091.0,8.317221130279132e-09,positive
LAM1,gene_MLANA,25,50,0.12507771492004394,0.0,0.12507771492004394,0.0,0.0,0.0,700.0,0.013658809191187305,positive
LAM1,gene_MITF,25,50,0.5730376470088959,0.1858774119615555,0.38716023504734043,0.4681585133075714,0.0,0.4681585133075714,838.0,0.006992830864091654,positive
LAM1,gene_ACTA2,25,50,3.744128589630127,0.8982280492782593,2.8459005403518676,4.102802753448486,0.5511281490325928,3.5516746044158936,1155.5,2.4660664322730336e-09,positive
LAM1,gene_ACTG2,25,50,1.6872404623031616,0.23839111089706422,1.4488493514060974,1.8943344354629517,0.0,1.8943344354629517,1038.0,3.269817519927004e-08,positive
LAM1,gene_MYH11,25,50,1.9623427629470824,0.15281932473182677,1.8095234382152556,2.2863430976867676,0.0,2.2863430976867676,1086.0,4.092222304665964e-10,positive
LAM1,gene_VEGFD,25,50,0.6568714213371277,0.02476794719696045,0.6321034741401673,0.0,0.0,0.0,889.0,3.4817607391583272e-06,positive
LAM1,gene_CTSK,25,50,3.0304384136199953,0.5712316471338272,2.459206766486168,3.0148229598999023,0.0,3.0148229598999023,1210.0,1.721969603743056e-11,positive
LAM1,gene_ESR1,25,50,0.30914875626564026,0.29266619741916655,0.016482558846473705,0.0,0.2664416432380676,-0.2664416432380676,544.0,0.319046692920945,positive
