pool,dataset_left,program_left,dataset_right,program_right,top_gene_jaccard,shared_genes,patient_id_overlap,independence_note
broad_lam_like,GSE217108,program_4,GSE302356,program_4,0.21951219512195122,"ACACA,ACOXL,FOXP1,FTX,KANK1,LMO3,LRBA,MALAT1,MTUS1,PPP1R9A,PTPRK,RBPMS,RNF145,SFTPA1,SFTPA2,SFTPC,SPIDR,UNC13B",LAM32,same_patient_overlap_present
broad_lam_like,GSE217108,program_5,GSE302356,program_2,0.05263157894736842,"MALAT1,RPL3,RPS6,RPS8,TXNIP",LAM32,same_patient_overlap_present
unrestricted_lam,GSE135851_core,program_1,GSE190260,program_2,0.02040816326530612,"FIGF,TYMS",,different_patient_sets
unrestricted_lam,GSE135851_core,program_2,GSE190260,program_3,0.041666666666666664,"ESR1,HOXA10,JUN,SFTPA1",,different_patient_sets
unrestricted_lam,GSE135851_core,program_3,GSE190260,program_1,0.010101010101010102,JUN,,different_patient_sets
unrestricted_lam,GSE135851_core,program_1,GSE217108,program_5,0.010101010101010102,TYMS,,different_patient_sets
unrestricted_lam,GSE135851_core,program_2,GSE217108,program_6,0.02040816326530612,"MDK,SFTPA2",,different_patient_sets
unrestricted_lam,GSE135851_core,program_3,GSE217108,program_3,0.0,,,different_patient_sets
unrestricted_lam,GSE135851_core,program_1,GSE302356,program_2,0.030927835051546393,"COL4A2,IFI27,SPARC",LAM3,same_patient_overlap_present
unrestricted_lam,GSE135851_core,program_2,GSE302356,program_1,0.010101010101010102,SFTPC,LAM3,same_patient_overlap_present
unrestricted_lam,GSE135851_core,program_3,GSE302356,program_3,0.02040816326530612,"CTSS,IL1R2",LAM3,same_patient_overlap_present
unrestricted_lam,GSE190260,program_1,GSE217108,program_5,0.02040816326530612,"MKI67,TYMS",,different_patient_sets
unrestricted_lam,GSE190260,program_2,GSE217108,program_4,0.02040816326530612,"EZR,HLA-C",,different_patient_sets
unrestricted_lam,GSE190260,program_3,GSE217108,program_2,0.0,,,different_patient_sets
unrestricted_lam,GSE190260,program_4,GSE217108,program_6,0.030927835051546393,"HLA-E,SFTPA2,TMSB10",,different_patient_sets
unrestricted_lam,GSE190260,program_5,GSE217108,program_3,0.010101010101010102,HLA-A,,different_patient_sets
unrestricted_lam,GSE190260,program_1,GSE302356,program_2,0.030927835051546393,"CAV1,IGFBP7,RHOB",,different_patient_sets
unrestricted_lam,GSE190260,program_2,GSE302356,program_3,0.041666666666666664,"LITAF,OAZ1,SERPINA1,TXNIP",,different_patient_sets
unrestricted_lam,GSE190260,program_3,GSE302356,program_4,0.010101010101010102,IGF1R,,different_patient_sets
unrestricted_lam,GSE190260,program_4,GSE302356,program_5,0.0989010989010989,"CHCHD2,DDX5,HMGB1,MALAT1,RPLP0,RPS3,RPS6,RPS8,UQCRB",,different_patient_sets
unrestricted_lam,GSE190260,program_5,GSE302356,program_1,0.0,,,different_patient_sets
unrestricted_lam,GSE217108,program_1,GSE302356,program_1,0.041666666666666664,"ACOXL,JMJD1C,TOP1,TRIO",LAM32,same_patient_overlap_present
unrestricted_lam,GSE217108,program_3,GSE302356,program_5,0.0,,LAM32,same_patient_overlap_present
unrestricted_lam,GSE217108,program_4,GSE302356,program_3,0.041666666666666664,"FYB1,RNF149,SMCHD1,STK17B",LAM32,same_patient_overlap_present
unrestricted_lam,GSE217108,program_5,GSE302356,program_2,0.041666666666666664,"BMPR2,MYH9,NEDD9,SEC14L1",LAM32,same_patient_overlap_present
unrestricted_lam,GSE217108,program_6,GSE302356,program_4,0.07526881720430108,"ARID1B,ETV6,EXOC4,RABGAP1L,RERE,ZFAND3,ZSWIM6",LAM32,same_patient_overlap_present
