donor_id,assay,state,candidate_cells,other_cells,candidate_mean,other_mean,difference,candidate_higher
LAM1,scRNA,contractile,31,7796,2.3966769133629615,-0.19844278453619493,2.5951196978991566,True
LAM1,scRNA,ecm_remodeling,31,7796,0.9083404795688145,-0.096981430165499,1.0053219097343136,True
LAM1,scRNA,proliferative,31,7796,-0.0156418397413787,-0.023535105959205355,0.007893266217826655,True
LAM1,scRNA,stress_hypoxia,31,7796,0.09029455096971603,0.06647409565902243,0.0238204553106936,True
LAM1,scRNA,inflammatory,31,7796,0.4682306674090764,0.362888505992395,0.10534216141668135,True
LAM1,scRNA,hormone_related,31,7796,0.03584793156834059,0.002829511611526015,0.03301841995681457,True
LAM1,scRNA,metabolic,31,7796,0.02497579300115185,0.08842783801939974,-0.06345204501824789,False
LAM1,scRNA,mTOR_related,31,7796,-0.0874455498014727,-0.06933069273783109,-0.018114857063641618,False
LAM2,snRNA,contractile,4,7122,-0.23387358519321588,-0.24128736191295388,0.007413776719738002,True
LAM2,snRNA,ecm_remodeling,4,7122,0.018595060557127,0.03199894480570435,-0.013403884248577351,False
LAM2,snRNA,proliferative,4,7122,-0.03986705988645553,0.014761564950630881,-0.054628624837086415,False
LAM2,snRNA,stress_hypoxia,4,7122,0.13765974596142766,-0.03584853058149106,0.17350827654291873,True
LAM2,snRNA,inflammatory,4,7122,0.09823579659064607,0.10175752283720213,-0.003521726246556056,False
LAM2,snRNA,hormone_related,4,7122,0.03483718653519949,0.0035554356927783217,0.031281750842421165,True
LAM2,snRNA,metabolic,4,7122,-0.0439177850385507,0.08656131990388005,-0.13047910494243076,False
LAM2,snRNA,mTOR_related,4,7122,-0.04151172123849393,-0.05965144717049013,0.018139725931996205,True
LAM3,scRNA,contractile,84,6932,2.1040550863033567,-0.1375963706117806,2.2416514569151373,True
LAM3,scRNA,ecm_remodeling,84,6932,0.8812398443781598,0.06273926058359884,0.818500583794561,True
LAM3,scRNA,proliferative,84,6932,-0.018864095551627023,0.0033017895223974468,-0.02216588507402447,False
LAM3,scRNA,stress_hypoxia,84,6932,0.0011394811433459086,-0.01090417646254988,0.01204365760589579,True
LAM3,scRNA,inflammatory,84,6932,0.27459662079338043,0.28130335546731894,-0.006706734673938508,False
LAM3,scRNA,hormone_related,84,6932,0.05140085650341851,0.0020222554140754516,0.049378601089343055,True
LAM3,scRNA,metabolic,84,6932,-0.012961100973780195,0.0424507974631974,-0.055411898436977594,False
LAM3,scRNA,mTOR_related,84,6932,-0.08702710700531802,-0.030807841555943603,-0.05621926544937442,False
LAM4,snRNA,contractile,21,1238,2.462941925480201,0.06534113847183894,2.397600787008362,True
LAM4,snRNA,ecm_remodeling,21,1238,0.07845399903196866,0.041535772762284755,0.036918226269683906,True
LAM4,snRNA,proliferative,21,1238,0.05255830889656429,-0.0542013593022067,0.106759668198771,True
LAM4,snRNA,stress_hypoxia,21,1238,-0.033032622441412925,-0.00045022865676099894,-0.03258239378465193,False
LAM4,snRNA,inflammatory,21,1238,0.5053041388874961,0.5428261422570925,-0.037522003369596324,False
LAM4,snRNA,hormone_related,21,1238,-0.021827522573016938,-0.018794519801292615,-0.0030330027717243233,False
LAM4,snRNA,metabolic,21,1238,0.06827261728899818,0.07488847597613008,-0.006615858687131895,False
LAM4,snRNA,mTOR_related,21,1238,-0.04813038979257857,-0.0477908181870937,-0.0003395716054848674,False
