dataset,donor_id,cells,mean_contractile,mean_ecm_remodeling,mean_proliferative,mean_stress_hypoxia,mean_inflammatory,mean_hormone_related,mean_metabolic,mean_mTOR_related,mean_lymphatic_endothelial,mean_vascular_endothelial,mean_fibroblast,mean_immune
GSE122960_normal_lung,GSE122960_Donor_01,5437,0.020669929057558854,-0.1900245792464202,-0.05622337933441327,-0.034286240890926356,0.17917399103075027,-0.0033145217875994067,-0.1505684618342488,-0.0732574224341158,-0.28856463031049073,0.0046322405116793475,-0.007021592131873348,0.37805126276776907
GSE122960_normal_lung,GSE122960_Donor_03,5235,-0.0014930809130679272,-0.10510652792815346,-0.053214644788984126,-0.1541734545321952,0.12353669760635953,0.006136695892239255,-0.1402565907859396,-0.06639254862625343,-0.25466140212102023,-0.003050406366292552,-0.0022750051935096337,0.4059630746719337
GSE122960_normal_lung,GSE122960_Donor_04,5191,0.007989042340798207,-0.07840038581478034,-0.05173670389414109,-0.12583425066736995,0.28689085384030827,0.005617415370910849,-0.13443789521474692,-0.06706034970286542,-0.1946795013702242,-0.019448639069197225,-0.0022737206673182748,0.28419145133674756
GSE122960_normal_lung,GSE122960_Donor_05,5341,0.019428092507192466,-0.17499193635304405,-0.03361094010399926,-0.3449152737791649,0.025556292894015203,0.0035107092415487423,-0.18215023248172948,-0.06630143231962755,-0.25424776593947324,-0.013411652774398956,0.0035714926067392148,0.313546157344641
GSE122960_normal_lung,GSE122960_Donor_06,4300,0.06192127232795999,-0.11143580077868166,-0.03065755703078453,-0.25151984335993843,0.1038129678107232,-0.004570880384666975,-0.15780052618229573,-0.054688138119208064,-0.24465019062984475,0.018740818545060562,0.0015644318660331328,0.3767510645399768
GSE122960_normal_lung,GSE122960_Donor_07,7516,0.018481535218839783,-0.15407863830496157,-0.05511868581907381,-0.00019897785790480116,0.32893591147842816,-0.005320723771065584,-0.20006616618484588,-0.007077218793989097,-0.20554819523829537,-0.02170614602630411,0.002337480709194629,0.07605383734327853
