cohort,donor_id,cell_subset,n_cells,lineage_origin_smooth_muscle_mean,lineage_origin_smooth_muscle_median,lung_adaptation_mean,lung_adaptation_median,ECM_interaction_mean,ECM_interaction_median,survival_stress_mean,survival_stress_median,immune_evasion_mean,immune_evasion_median,hormone_related_mean,hormone_related_median
LAM_lung_core_reanalysis,Donor1,all_cells,7312,0.34073017283367,0.0,0.059679708589172466,0.0,0.5962175013562804,0.46595937489317596,1.0231490955027729,1.0085247180213863,1.4149007634838682,1.4573174357595133,0.042823927621155826,0.0
LAM_lung_core_reanalysis,LAM1,all_cells,7657,0.1075852291076166,0.0,0.1320121253552398,0.0,0.3317877452895628,0.19057134332851142,1.0649556947282233,1.0938163436993036,1.6003724479902206,1.9957130634628908,0.03257789887668591,0.0
LAM_lung_core_reanalysis,LAM1,lamcore_candidate,30,2.8038504528640678,3.409003171284191,1.0720727871546119,1.1771160055433705,0.6579684220617524,0.6202398086136092,0.8506914939260593,0.8366444615535406,1.1420578403813713,0.7938689750415706,0.11731349864890281,0.03219319037954832
LAM_lung_core_reanalysis,LAM2,all_cells,6970,0.059058456423798596,0.0,0.016761096426673398,0.0,0.5546584280618723,0.5149493617385485,1.413306608852278,1.4804601557940402,1.8674999680241036,2.3145034740089057,0.021024578273508017,0.0
LAM_lung_core_reanalysis,LAM2,lamcore_candidate,3,0.23489125793458734,0.07648987085825561,0.022758082638208374,0.0,0.4159149993846591,0.5600001244936116,1.475148465888024,1.423611402494898,2.223251049890146,2.365701326042246,0.027689452041612533,0.0
LAM_lung_core_reanalysis,LAM3,all_cells,6881,0.2251621294525365,0.0,0.07301373249126994,0.0,0.5917534564264434,0.45489233053421635,1.1567068770364057,1.1616130699797622,1.6352106516595557,1.7362775708281983,0.02823497082566485,0.0
LAM_lung_core_reanalysis,LAM3,lamcore_candidate,56,2.5122430025229283,2.636700629085768,1.3837343421773836,1.5238220642709552,1.0815212849833415,1.0370364114434856,0.8867046696505607,0.8835177689387909,1.173602527506142,1.1171600970074356,0.1388746430036209,0.0
LAM_lung_core_reanalysis,LAM4,all_cells,1257,0.4659217582173126,0.21859844514330481,0.14369298681505488,0.0,0.5921996313140214,0.33133547987365336,0.8077110914410346,0.8244054616136993,0.9685618925504218,0.7891760649798271,0.15747585667555997,0.0
LAM_lung_core_reanalysis,LAM4,lamcore_candidate,41,1.5425485993330506,0.48340178601666706,0.5995854321120511,0.15758271795453277,0.47017287962300713,0.3480275087240991,0.8794198271756762,0.7990167876381933,0.9547472881043674,0.7519125071722492,0.09252162334348138,0.0
mouse_uterus_lineage_reference,GSE118180_Wildtype_Uterus,all_cells,6487,1.6207263152470788,1.1926137682146467,0.27147973795613334,0.0,1.6726327564764634,1.805855766262805,0.3301082474085475,0.2737237676184746,0.06599706988814262,0.0,0.29446541386787395,0.0
normal_lung_reference,GSE122960_Donor_01,all_cells,5437,0.09230051105038614,0.0,0.019329938386653294,0.0,0.2376314939188706,0.1469246320026996,1.1064430693970284,1.0587440867517892,1.4380171381578948,1.7551354519087956,0.05262316226552207,0.0
normal_lung_reference,GSE122960_Donor_03,all_cells,5235,0.07348833153471108,0.0,0.015461848335233792,0.0,0.3940225809758129,0.2866607364057456,1.2973108108902587,1.33301884413638,1.557843553500128,1.872041959687747,0.0810799989525453,0.0
normal_lung_reference,GSE122960_Donor_04,all_cells,5191,0.07785058574537072,0.0,0.019250809472318303,0.0,0.3732654599189063,0.06400177409678211,0.8496682008599812,0.770213496048653,0.8895853500332276,0.6104859260517824,0.0846743660910634,0.0
normal_lung_reference,GSE122960_Donor_05,all_cells,5341,0.08642974743403656,0.0,0.0176844202900923,0.0,0.25290276571769776,0.12375794255155202,0.8756475870188213,0.7464496711693145,1.0861719866067394,0.5867219855361762,0.049594676499068686,0.0
normal_lung_reference,GSE122960_Donor_06,all_cells,4300,0.1780508104272511,0.0,0.03575270048803673,0.0,0.4391280870554827,0.2953513397995234,0.9727988800184332,0.9045613296273903,1.292838299536698,1.0861624662631701,0.09304280937817926,0.0
normal_lung_reference,GSE122960_Donor_07,all_cells,7516,0.09417941938114284,0.0,0.04310948822361044,0.0,0.3383474721470947,0.06063245593707478,0.9495650159283853,0.9264858727958001,1.1444717433836322,0.9156710221616674,0.05469401818432374,0.0
