modality,patient_id,gene,panel_gene_available,n_units,n_detected_units,not_detected_fraction,detected_low_fraction,detected_high_fraction,low_expression_upper_bound,high_expression_lower_bound,state_note
Visium,LAM4,ACTA2,True,2311,2163.0,0.0640415404586759,0.23409779316313284,0.23409779316313284,2.468738070590154,3.951857661475292,nonzero transcript means detected; low/high are expression intervals
Visium,LAM4,AIF1,True,2311,1241.0,0.4630030289917785,0.13414106447425356,0.13457377758546085,0.5839898346637549,1.1498534365527457,nonzero transcript means detected; low/high are expression intervals
Visium,LAM4,APOE,True,2311,2171.0,0.06057983556901774,0.23496321938554737,0.23496321938554737,2.19155614076167,3.149684925102971,nonzero transcript means detected; low/high are expression intervals
Visium,LAM4,B2M,True,2311,2256.0,0.023799221116399826,0.24405019472090003,0.24405019472090003,2.3167346191993916,2.827961735910459,nonzero transcript means detected; low/high are expression intervals
Visium,LAM4,C1QA,True,2311,2107.0,0.088273474686283,0.22803980960623108,0.22803980960623108,1.314862618485133,2.2107306487502756,nonzero transcript means detected; low/high are expression intervals
Visium,LAM4,C1QB,True,2311,1931.0,0.16443098225876243,0.2090004327131112,0.2090004327131112,1.0571240306029528,1.8793506137097389,nonzero transcript means detected; low/high are expression intervals
Visium,LAM4,C1QC,True,2311,2093.0,0.09433145824318477,0.22630895716140198,0.22674167027260925,1.3105586300362684,2.1810975179522174,nonzero transcript means detected; low/high are expression intervals
Visium,LAM4,CCL2,True,2311,1678.0,0.27390739939420167,0.18173950670705322,0.18173950670705322,0.8347361817543058,1.5984491213205565,nonzero transcript means detected; low/high are expression intervals
Visium,LAM4,CCL5,True,2311,826.0,0.6425789701427953,0.08957161401990481,0.08957161401990481,0.5206463549821583,1.0904146498901763,nonzero transcript means detected; low/high are expression intervals
Visium,LAM4,CCL7,True,2311,31.0,0.9865858935525746,0.0034617048896581565,0.0034617048896581565,0.425254856384053,0.6563810767825183,nonzero transcript means detected; low/high are expression intervals
Visium,LAM4,CD274,True,2311,489.0,0.7884032886196451,0.05279099956728689,0.053223712678494156,0.42826183213682933,0.8822499794304469,nonzero transcript means detected; low/high are expression intervals
Visium,LAM4,CD276,True,2311,1364.0,0.4097793163132843,0.14712245781047165,0.1475551709216789,0.6372252332034675,1.1629927250407692,nonzero transcript means detected; low/high are expression intervals
Visium,LAM4,CD3D,True,2311,303.0,0.8688879273041973,0.03288619645175249,0.03288619645175249,0.39049723425797844,0.82946474983902,nonzero transcript means detected; low/high are expression intervals
Visium,LAM4,CD3E,True,2311,590.0,0.744699264387711,0.0640415404586759,0.0640415404586759,0.4363908073094353,0.9637972458424764,nonzero transcript means detected; low/high are expression intervals
Visium,LAM4,CD8A,True,2311,413.0,0.8212894850713977,0.044569450454348764,0.04500216356555604,0.4361732502867067,0.9087673159218161,nonzero transcript means detected; low/high are expression intervals
Visium,LAM4,CD8B,False,2311,,,,,,,not_assayed
Visium,LAM4,CTSK,True,2311,2102.0,0.09043704024231934,0.2276070964950238,0.2276070964950238,2.1985590245565567,3.713007688703714,nonzero transcript means detected; low/high are expression intervals
Visium,LAM4,CXCL8,True,2311,917.0,0.6032020770229338,0.09909130246646473,0.099524015577672,0.5971280945558949,1.2728525443334184,nonzero transcript means detected; low/high are expression intervals
Visium,LAM4,DCT,True,2311,5.0,0.9978364344439636,,,,,nonzero transcript means detected; low/high are expression intervals
Visium,LAM4,DPPA4,True,2311,15.0,0.9935093033318909,,,,,nonzero transcript means detected; low/high are expression intervals
Visium,LAM4,EPCAM,True,2311,940.0,0.5932496754651666,0.10168758113370835,0.10168758113370835,0.5743803122880459,1.111863796701212,nonzero transcript means detected; low/high are expression intervals
Visium,LAM4,ERAP1,True,2311,911.0,0.6057983556901774,0.09865858935525747,0.09865858935525747,0.4775542184508851,0.9087455683339793,nonzero transcript means detected; low/high are expression intervals
Visium,LAM4,ERAP2,True,2311,802.0,0.6529640848117698,0.08697533535266118,0.08697533535266118,0.4567284046509551,0.9291870712731469,nonzero transcript means detected; low/high are expression intervals
Visium,LAM4,ESR1,True,2311,540.0,0.7663349199480745,0.05841627001298139,0.05841627001298139,0.4171064757883193,0.768064051570581,nonzero transcript means detected; low/high are expression intervals
Visium,LAM4,FCER1G,True,2311,1471.0,0.36347901341410643,0.1592384249242752,0.1592384249242752,0.6865571186812096,1.3715344566462369,nonzero transcript means detected; low/high are expression intervals
Visium,LAM4,FCGR3A,True,2311,815.0,0.6473388143660753,0.088273474686283,0.088273474686283,0.4941856158099984,1.2099210002440972,nonzero transcript means detected; low/high are expression intervals
Visium,LAM4,FIGF,False,2311,,,,,,,not_assayed
Visium,LAM4,GNLY,True,2311,401.0,0.8264820424058849,0.043271311120726956,0.04370402423193423,0.5098940293414157,1.088536969156241,nonzero transcript means detected; low/high are expression intervals
Visium,LAM4,GPNMB,True,2311,1943.0,0.1592384249242752,0.21029857204673302,0.21029857204673302,1.4574284710776158,2.3654589145448504,nonzero transcript means detected; low/high are expression intervals
Visium,LAM4,GZMB,True,2311,587.0,0.7459974037213327,0.06360882734746863,0.06360882734746863,0.5649906023244147,1.2993813529372131,nonzero transcript means detected; low/high are expression intervals
Visium,LAM4,HAVCR2,True,2311,780.0,0.6624837732583297,0.08437905668541756,0.08437905668541756,0.4886535210665458,1.08373666120852,nonzero transcript means detected; low/high are expression intervals
Visium,LAM4,HLA-A,False,2311,,,,,,,not_assayed
Visium,LAM4,HLA-B,False,2311,,,,,,,not_assayed
Visium,LAM4,HLA-C,False,2311,,,,,,,not_assayed
Visium,LAM4,HLA-E,False,2311,,,,,,,not_assayed
Visium,LAM4,HMGA2,True,2311,46.0,0.9800951968844656,0.005192557334487235,0.005192557334487235,0.4404635913481004,0.7449352838934861,nonzero transcript means detected; low/high are expression intervals
Visium,LAM4,HOXA11,True,2311,769.0,0.6672436174816097,0.08308091735179576,0.08351363046300303,0.4993102818473952,0.8872191698605314,nonzero transcript means detected; low/high are expression intervals
Visium,LAM4,HOXD11,True,2311,64.0,0.9723063608827347,0.006923409779316313,0.006923409779316313,0.31127553290450705,0.8245462845302908,nonzero transcript means detected; low/high are expression intervals
Visium,LAM4,IFIT1,True,2311,155.0,0.9329294677628732,0.016875811337083515,0.016875811337083515,0.40848042143516655,0.8293318240049548,nonzero transcript means detected; low/high are expression intervals
