gene,environment,n_replicates,replicate_pre_effects,replicate_post_effects,mean_pre_effect,mean_post_effect,suppression_fraction,category,baseline_effect_size_pass,baseline_direction_concordant,post_direction_concordant,replicate_retention_eligible,modules
CXCL8,plastic,2,-0.652035;-0.330122,0.134812;0.25401,-0.4910784865895046,0.1944110008862045,,insufficient,False,False,True,False,inflammatory
DCT,hydrogel,2,-0.0790577;-0.468551,0.767742;-0.695941,-0.2738045164081248,0.0359003051531803,,insufficient,False,False,False,False,antigen_associated
DCT,plastic,2,-0.338897;-0.674178,0.23362;0.643021,-0.5065371273096801,0.4383202444856402,1.8653269836579336,suppressed,True,False,True,False,antigen_associated
DPPA4,hydrogel,2,-0.168756;0.190699,0.158296;0.0534265,0.01097164245907,0.1058612746494001,,insufficient,False,False,True,False,stem_like
DPPA4,plastic,2,0.0244248;-0.136234,-8.28136e-05;-0.0318246,-0.0559047734791553,-0.0159537184871099,,insufficient,False,False,True,False,stem_like
EPCAM,hydrogel,2,-0.123747;0.0993958,0.142642;0.21115,-0.0121753569466149,0.1768960028435251,,insufficient,False,False,True,False,stem_like
EPCAM,plastic,2,0.414963;0.0123658,-0.198875;0.245004,0.2136641848850549,0.02306433982621,,insufficient,False,False,False,False,stem_like
ERAP1,hydrogel,2,0.23006;0.215982,-0.0720424;0.327534,0.2230209102134503,0.1277457045104499,,insufficient,False,False,False,False,presentation_machinery
ERAP1,plastic,2,0.0287782;-0.0835336,0.0253397;0.0729433,-0.0273777143516493,0.0491415084842499,,insufficient,False,False,True,False,presentation_machinery
ERAP2,hydrogel,2,-0.395978;0.184003,0.312123;0.51061,-0.10598774992263,0.4113661694594501,,insufficient,False,False,True,False,presentation_machinery
ERAP2,plastic,2,-0.279965;0.461707,-0.648435;0.145718,0.0908708638140849,-0.25135824149717,,insufficient,False,False,False,False,presentation_machinery
ESR1,hydrogel,2,0.0095719;-0.309277,0.00547973;-0.238987,-0.14985246043234,-0.116753435494085,,insufficient,False,False,False,False,identity_protected
ESR1,plastic,2,-0.162033;-0.42226,-0.0483711;0.658399,-0.29214673246764,0.305013898331245,,insufficient,False,False,False,False,identity_protected
FCER1G,hydrogel,2,-0.0385455;0.236914,-0.0657616;0.0169913,0.0991842540566847,-0.0243851285533198,,insufficient,False,False,False,False,macrophage_suppressive;macrophage_markers
FCER1G,plastic,2,-0.095035;-0.158907,0.169765;0.227305,-0.126971111325445,0.1985348296565601,,insufficient,False,False,True,False,macrophage_suppressive;macrophage_markers
FCGR3A,hydrogel,2,0.00172804;0.00283786,0.00253861;0.00702196,0.00228295221396,0.0047802857746548,,insufficient,False,False,True,False,nk_state
FCGR3A,plastic,2,0.00412449;-0.27391,0.000572937;0.00454431,-0.1348929961639824,0.002558625799625,,insufficient,False,False,True,False,nk_state
GNLY,hydrogel,2,-0.0851779;-0.160017,-0.31215;0.0040748,-0.1225973382835809,-0.154037501226828,,insufficient,False,False,False,False,nk_state;nk_markers
GNLY,plastic,2,0.00256882;-0.329058,-0.0832981;0.198701,-0.1632446924351785,0.0577013329258185,,insufficient,False,False,False,False,nk_state;nk_markers
GPNMB,hydrogel,2,4.83982;3.76578,0.860273;-0.259808,4.302800023630346,0.3002327847922608,0.9302238581520345,suppressed,True,True,False,True,antigen_associated
GPNMB,plastic,2,3.2393;3.18399,1.00225;0.439388,3.21164807625654,0.7208202551444356,0.7755606349047386,suppressed,True,True,True,True,antigen_associated
GZMB,hydrogel,2,0.000274979;0.000451582,0.000677204;0.00111739,0.0003632806278399,0.0008972961450048,,insufficient,False,False,True,False,cd8_cytotoxicity
GZMB,plastic,2,0.000758649;-0.0064693,9.117e-05;0.000723126,-0.0028553244769549,0.0004071478943799,,insufficient,False,False,True,False,cd8_cytotoxicity
HAVCR2,hydrogel,2,-0.080844;0.145075,0.179725;0.503135,0.0321153860630148,0.3414303673889448,,insufficient,False,False,True,False,t_cell_exhaustion
HAVCR2,plastic,2,0.236252;-0.607225,0.122846;0.00582277,-0.1854864922487699,0.0643345246441199,,insufficient,False,False,True,False,t_cell_exhaustion
HLA-A,hydrogel,2,0.875684;1.0643,0.391733;0.550203,0.9699906352019,0.4709679754436013,0.5144613170975914,partially_retained,True,True,True,True,presentation_machinery
HLA-A,plastic,2,0.483062;0.815706,0.31416;0.487281,0.6493837264925002,0.4007206863772996,0.3829215762124159,partially_retained,True,False,True,False,presentation_machinery
HLA-B,hydrogel,2,1.43287;1.59264,0.678284;1.01884,1.512753524087401,0.8485613691826996,0.4390617138409171,partially_retained,True,True,True,True,presentation_machinery
HLA-B,plastic,2,0.959525;1.21706,0.66133;0.987332,1.08829460600825,0.8243306962603008,0.2425482110181003,fully_retained,True,True,True,True,presentation_machinery
HLA-C,hydrogel,2,1.00174;1.18022,0.462132;0.662218,1.0909799058206993,0.5621751446636001,0.4847062336673389,partially_retained,True,True,True,True,presentation_machinery
HLA-C,plastic,2,0.559078;0.732384,0.307245;0.448203,0.6457310432936998,0.3777240232174499,0.4150443483547242,partially_retained,True,True,True,True,presentation_machinery
HLA-E,hydrogel,2,0.317139;0.331719,0.184398;0.196037,0.3244292112399503,0.1902173962303495,,insufficient,False,False,True,False,immune_evasion
HLA-E,plastic,2,-0.0171228;0.101896,0.216297;0.0569043,0.0423867281006993,0.1366004669501999,,insufficient,False,False,True,False,immune_evasion
HMGA2,hydrogel,2,-0.331124;-0.769456,0.138968;-0.0141841,-0.5502897353783442,0.0623917327569003,1.113379786584614,suppressed,True,False,False,False,stem_like
HMGA2,plastic,2,-0.139129;-0.0815451,0.438338;0.3277,-0.1103370097537004,0.3830190995474503,,insufficient,False,False,True,False,stem_like
HOXA11,hydrogel,2,2.21181;2.33845,3.31766;2.34947,2.275128814525165,2.8335653941040153,-0.245452730418431,enhanced_or_reprogrammed,True,True,True,True,identity_protected
HOXA11,plastic,2,2.72938;2.80231,3.09862;3.27748,2.7658441951118,3.18805034470123,-0.152650012005598,enhanced_or_reprogrammed,True,True,True,True,identity_protected
HOXD11,hydrogel,2,2.46793;1.77545,2.06708;2.21334,2.121690417712155,2.140210243731085,-0.0087288069288165,enhanced_or_reprogrammed,True,True,True,True,identity_protected
HOXD11,plastic,2,2.61546;2.18375,2.39071;2.5719,2.399604584349605,2.4813053585040397,-0.0340475987949402,enhanced_or_reprogrammed,True,True,True,True,identity_protected
IFIT1,hydrogel,2,-0.311041;-0.605444,0.34222;0.172416,-0.4582423208946506,0.2573180223249505,,insufficient,False,False,True,False,ifn_response;inflammatory
IFIT1,plastic,2,-0.716931;-0.735072,-0.172295;-0.201837,-0.726001291350955,-0.1870660161392807,0.7423337694190801,partially_retained,True,True,True,True,ifn_response;inflammatory
IFIT2,hydrogel,2,0.133141;0.114096,0.150014;0.22819,0.1236185060164194,0.1891018713025447,,insufficient,False,False,True,False,ifn_response
IFIT2,plastic,2,0.0297497;0.511981,0.03907;-0.36169,0.2708655889265801,-0.1613101606438709,,insufficient,False,False,False,False,ifn_response
IFIT3,hydrogel,2,0.586537;0.146259,0.0241409;-0.04852,0.3663982074568448,-0.0121895373529161,,insufficient,False,False,False,False,ifn_response
IFIT3,plastic,2,0.283823;0.193078,0.136507;-0.0545939,0.2384505090957551,0.0409563367253005,,insufficient,False,False,False,False,ifn_response
IFITM1,hydrogel,2,-0.868141;-0.759598,0.181254;0.112529,-0.8138696988228,0.1468913457816008,1.1804850899278692,suppressed,True,True,True,True,ifn_response
IFITM1,plastic,2,-0.976525;-1.06493,-0.295673;-0.492078,-1.0207252486284002,-0.3938756447455001,0.6141217773590194,partially_retained,True,True,True,True,ifn_response
IFITM2,hydrogel,2,-0.464695;-0.542065,0.0873247;0.0880164,-0.5033799894136504,0.0876705407438498,1.1741637383042791,suppressed,True,False,True,False,ifn_response
IFITM2,plastic,2,-0.651036;-0.607365,-0.149923;-0.154958,-0.6292008218209988,-0.1524405537870494,0.7577235303891303,suppressed,True,True,True,True,ifn_response
IFITM3,hydrogel,2,-0.291166;-0.284794,0.0627469;0.0520579,-0.2879801041862011,0.0574023995226493,,insufficient,False,False,True,False,ifn_response
IFITM3,plastic,2,-0.539425;-0.502549,-0.183969;-0.195529,-0.5209872755181495,-0.1897487190200504,0.6357901086330079,partially_retained,True,True,True,True,ifn_response
IFNG,hydrogel,2,0.000794764;0.0013052,0.0019573;0.00322956,0.001049980103525,0.00259343060714,,insufficient,False,False,True,False,cd8_cytotoxicity
IFNG,plastic,2,0.0021927;-0.0544578,0.000263506;0.00209003,-0.02613257347364,0.0011767684691549,,insufficient,False,False,True,False,cd8_cytotoxicity
IL1B,hydrogel,2,0.0778676;0.930711,1.27311;1.08414,0.50428927089974,1.1786235357907504,-1.337197326621446,enhanced_or_reprogrammed,True,False,True,False,inflammatory
IL1B,plastic,2,0.419624;-0.307558,0.616522;0.50933,0.0560329941555002,0.5629262015041001,,insufficient,False,False,True,False,inflammatory
IL6,hydrogel,2,2.28967;2.32605,0.992417;1.0501,2.30785865611799,1.02125676268064,0.5574873010644079,partially_retained,True,True,True,True,inflammatory
IL6,plastic,2,1.45476;0.957655,0.093163;0.557989,1.2062071699448853,0.3255759667127202,0.730082878940608,partially_retained,True,True,True,True,inflammatory
IRF1,hydrogel,2,-0.279049;-0.16392,0.328242;0.46707,-0.2214841637319002,0.3976558412312503,,insufficient,False,False,True,False,ifn_response
IRF1,plastic,2,0.185108;0.172979,0.581158;0.365987,0.1790434222293004,0.4735728915312993,,insufficient,False,False,True,False,ifn_response
ISG15,hydrogel,2,-0.0645976;0.27994,0.10183;0.252905,0.1076710286946491,0.1773679099385496,,insufficient,False,False,True,False,ifn_response;inflammatory
ISG15,plastic,2,0.0572848;0.128735,0.0833915;0.111823,0.0930099733045004,0.0976074917770999,,insufficient,False,False,True,False,ifn_response;inflammatory
KLF4,hydrogel,2,0.284536;-0.107873,0.230612;0.109329,0.0883318277324738,0.16997055524648,,insufficient,False,False,True,False,stem_like
KLF4,plastic,2,0.241755;-0.628125,0.298019;0.659714,-0.1931847741386056,0.4788660933754149,,insufficient,False,False,True,False,stem_like
