dataset,assay,gene,gene_in_matrix,n_positive_observations,low_expression_upper_bound,high_expression_lower_bound,expression_interval_stable,interval_basis
GSE190260,scRNA,ACTA2,True,2268,0.7112776809455172,2.80851157148324,True,nonzero normalized expression within dataset x assay
GSE190260,scRNA,AIF1,True,10582,1.6115747683884072,2.4761515507601577,True,nonzero normalized expression within dataset x assay
GSE190260,scRNA,APOE,True,7962,1.3463003597152374,2.9053990598909105,True,nonzero normalized expression within dataset x assay
GSE190260,scRNA,B2M,True,39214,3.479065406279365,4.8809177134823685,True,nonzero normalized expression within dataset x assay
GSE190260,scRNA,C1QA,True,8817,2.7701761584599947,3.950753458878164,True,nonzero normalized expression within dataset x assay
GSE190260,scRNA,C1QB,True,8524,2.9380344398326597,4.147133331193408,True,nonzero normalized expression within dataset x assay
GSE190260,scRNA,C1QC,True,8018,2.4804815338279464,3.5352406304091515,True,nonzero normalized expression within dataset x assay
GSE190260,scRNA,CCL2,True,5189,1.1386472181922263,3.0966349561562834,True,nonzero normalized expression within dataset x assay
GSE190260,scRNA,CCL5,True,8189,2.174787176819306,3.590226689687528,True,nonzero normalized expression within dataset x assay
GSE190260,scRNA,CCL7,True,111,0.6281243843911777,1.397304562929489,True,nonzero normalized expression within dataset x assay
GSE190260,scRNA,CD274,True,1547,0.535126370173344,1.0333451804567018,True,nonzero normalized expression within dataset x assay
GSE190260,scRNA,CD276,True,4726,0.5880979492306924,1.094099458582773,True,nonzero normalized expression within dataset x assay
GSE190260,scRNA,CD3D,True,3859,1.374675825812206,2.288819184792687,True,nonzero normalized expression within dataset x assay
GSE190260,scRNA,CD3E,True,5560,1.6507150217423108,2.6327198503260427,True,nonzero normalized expression within dataset x assay
GSE190260,scRNA,CD8A,True,3192,1.676336748833419,2.534482784425756,True,nonzero normalized expression within dataset x assay
GSE190260,scRNA,CD8B,True,1188,1.4946363100684037,2.34955651135901,True,nonzero normalized expression within dataset x assay
GSE190260,scRNA,CTSK,True,1752,0.7483423866927659,2.0738416897565597,True,nonzero normalized expression within dataset x assay
GSE190260,scRNA,CXCL8,True,12026,1.3737609511147537,2.8038657855460554,True,nonzero normalized expression within dataset x assay
GSE190260,scRNA,DCT,True,31,0.42466976720999994,1.282408052346162,True,nonzero normalized expression within dataset x assay
GSE190260,scRNA,DPPA4,True,14,,,False,nonzero normalized expression within dataset x assay
GSE190260,scRNA,EPCAM,True,7914,0.8583143366528598,1.4828234093870107,True,nonzero normalized expression within dataset x assay
GSE190260,scRNA,ERAP1,True,3356,0.5643276016012844,1.2243969620194208,True,nonzero normalized expression within dataset x assay
GSE190260,scRNA,ERAP2,True,3414,0.6302698476706939,1.3958109910229117,True,nonzero normalized expression within dataset x assay
GSE190260,scRNA,ESR1,True,599,0.5711811669761944,1.1485369240564332,True,nonzero normalized expression within dataset x assay
GSE190260,scRNA,FCER1G,True,15076,2.097141118779237,3.1239455597462804,True,nonzero normalized expression within dataset x assay
GSE190260,scRNA,FCGR3A,True,11238,1.454054945574454,2.2975885139707515,True,nonzero normalized expression within dataset x assay
GSE190260,scRNA,FIGF,True,186,0.7124329859225476,1.8781414698223693,True,nonzero normalized expression within dataset x assay
GSE190260,scRNA,GNLY,True,6199,2.6975289052636793,4.430099327730428,True,nonzero normalized expression within dataset x assay
GSE190260,scRNA,GPNMB,True,7140,1.1558220979319982,1.9219836240924542,True,nonzero normalized expression within dataset x assay
GSE190260,scRNA,GZMB,True,6224,2.0932349104877828,3.1925946030703782,True,nonzero normalized expression within dataset x assay
GSE190260,scRNA,HAVCR2,True,5102,0.76934213299189,1.5648898723639315,True,nonzero normalized expression within dataset x assay
GSE190260,scRNA,HLA-A,True,34660,1.767054048487925,2.9801512569697435,True,nonzero normalized expression within dataset x assay
GSE190260,scRNA,HLA-B,True,36139,2.0945836177033423,3.410572526228534,True,nonzero normalized expression within dataset x assay
GSE190260,scRNA,HLA-C,True,35088,1.8887855898292583,3.1379078252534898,True,nonzero normalized expression within dataset x assay
GSE190260,scRNA,HLA-E,True,31376,1.4093616501923232,2.6551776412092223,True,nonzero normalized expression within dataset x assay
GSE190260,scRNA,HMGA2,True,123,0.46427992639222093,1.145668626885087,True,nonzero normalized expression within dataset x assay
GSE190260,scRNA,HOXA11,True,69,0.47691564312332135,1.033238335508083,True,nonzero normalized expression within dataset x assay
GSE190260,scRNA,HOXD11,True,21,0.43553636420785014,0.6750042183500731,True,nonzero normalized expression within dataset x assay
GSE190260,scRNA,IFIT1,True,1255,0.5626702955198137,1.1603538394753043,True,nonzero normalized expression within dataset x assay
GSE190260,scRNA,IFIT2,True,2185,0.6270435272157842,1.4254087373521331,True,nonzero normalized expression within dataset x assay
GSE190260,scRNA,IFIT3,True,2913,0.6075977616010105,1.1989678295574133,True,nonzero normalized expression within dataset x assay
GSE190260,scRNA,IFITM1,True,19260,1.3514578144890037,2.951811188536874,True,nonzero normalized expression within dataset x assay
GSE190260,scRNA,IFITM2,True,24698,1.2331590601236493,2.626812531455366,True,nonzero normalized expression within dataset x assay
GSE190260,scRNA,IFITM3,True,27758,1.5536208804183531,2.794121091641958,True,nonzero normalized expression within dataset x assay
GSE190260,scRNA,IFNG,True,2319,1.756402978155416,2.811521108376722,True,nonzero normalized expression within dataset x assay
GSE190260,scRNA,IL1B,True,5185,0.892460983686833,2.1150983361383537,True,nonzero normalized expression within dataset x assay
GSE190260,scRNA,IL6,True,3609,0.6838291946359385,1.6480490922248159,True,nonzero normalized expression within dataset x assay
GSE190260,scRNA,IRF1,True,17907,0.9275672757372773,2.0130176459840974,True,nonzero normalized expression within dataset x assay
GSE190260,scRNA,ISG15,True,9301,0.8740711130872619,1.9018098250742037,True,nonzero normalized expression within dataset x assay
GSE190260,scRNA,KLF4,True,18796,1.1506649979468155,2.065555453503001,True,nonzero normalized expression within dataset x assay
GSE190260,scRNA,KLRC1,True,1694,1.641892047871022,2.505927817798299,True,nonzero normalized expression within dataset x assay
GSE190260,scRNA,KLRD1,True,5479,1.9435567143409505,2.934218318709977,True,nonzero normalized expression within dataset x assay
GSE190260,scRNA,LAG3,True,2174,0.5565183002822048,1.4707152864008075,True,nonzero normalized expression within dataset x assay
GSE190260,scRNA,LGALS9,True,7315,0.7842807783964527,1.4361012389291514,True,nonzero normalized expression within dataset x assay
GSE190260,scRNA,LGR5,True,28,0.8759903683348906,1.6334821716005772,True,nonzero normalized expression within dataset x assay
GSE190260,scRNA,LST1,True,9805,1.2899774879135346,2.2233892282735246,True,nonzero normalized expression within dataset x assay
GSE190260,scRNA,MDK,True,4325,0.7071348505502076,1.4948732671849674,True,nonzero normalized expression within dataset x assay
