dataset,assay,gene,gene_in_matrix,n_positive_observations,low_expression_upper_bound,high_expression_lower_bound,expression_interval_stable,interval_basis
GSE135851,scRNA,ACTA2,True,1994,0.6022319666463914,2.288424585202382,True,nonzero normalized expression within dataset x assay
GSE135851,scRNA,AIF1,True,12118,1.686032402165162,2.7366557491431287,True,nonzero normalized expression within dataset x assay
GSE135851,scRNA,APOE,True,11569,1.3218291779604243,3.5578868992684076,True,nonzero normalized expression within dataset x assay
GSE135851,scRNA,B2M,True,21716,3.619373391422803,5.027022074941657,True,nonzero normalized expression within dataset x assay
GSE135851,scRNA,C1QA,True,13951,1.4574898224818962,3.8925662001406565,True,nonzero normalized expression within dataset x assay
GSE135851,scRNA,C1QB,True,13644,1.4433067916716582,3.786310042368906,True,nonzero normalized expression within dataset x assay
GSE135851,scRNA,C1QC,True,10572,1.645542109062073,3.1973934972005797,True,nonzero normalized expression within dataset x assay
GSE135851,scRNA,CCL2,True,5341,1.0385027119770212,2.9887653628513666,True,nonzero normalized expression within dataset x assay
GSE135851,scRNA,CCL5,True,3157,1.078107456380698,3.582547215515009,True,nonzero normalized expression within dataset x assay
GSE135851,scRNA,CCL7,True,197,0.6493663923500356,1.598960794609847,True,nonzero normalized expression within dataset x assay
GSE135851,scRNA,CD274,True,800,0.499405860107985,1.0975365171738156,True,nonzero normalized expression within dataset x assay
GSE135851,scRNA,CD276,True,2188,0.4960110259579228,0.9292102642946215,True,nonzero normalized expression within dataset x assay
GSE135851,scRNA,CD3D,True,1805,0.7526947394160594,2.438248357904598,True,nonzero normalized expression within dataset x assay
GSE135851,scRNA,CD3E,True,1431,1.5583426214171028,2.5852650544263116,True,nonzero normalized expression within dataset x assay
GSE135851,scRNA,CD8A,True,1114,1.5026887337298782,2.541279613375632,True,nonzero normalized expression within dataset x assay
GSE135851,scRNA,CD8B,True,892,1.4712279352149231,2.5902415344219785,True,nonzero normalized expression within dataset x assay
GSE135851,scRNA,CTSK,True,1023,0.5892662019250243,1.5897332974607021,True,nonzero normalized expression within dataset x assay
GSE135851,scRNA,DCT,True,11,,,False,nonzero normalized expression within dataset x assay
GSE135851,scRNA,DPPA4,True,18,,,False,nonzero normalized expression within dataset x assay
GSE135851,scRNA,EPCAM,True,3288,0.8410611763894366,1.4916484290380265,True,nonzero normalized expression within dataset x assay
GSE135851,scRNA,ERAP1,True,2504,0.515142584684039,1.1535235612704051,True,nonzero normalized expression within dataset x assay
