dataset,assay,gene,gene_in_matrix,n_positive_observations,low_expression_upper_bound,high_expression_lower_bound,expression_interval_stable,interval_basis
GSE302356,multiome_GEX,IRF1,True,2052,0.4986049715547728,1.1648482476934152,True,nonzero normalized expression within dataset x assay
GSE302356,multiome_GEX,ISG15,True,819,0.43165933064573403,1.039742602573158,True,nonzero normalized expression within dataset x assay
GSE302356,multiome_GEX,KLF4,True,1108,0.42847608501613943,1.1481608764406999,True,nonzero normalized expression within dataset x assay
GSE302356,multiome_GEX,KLRC1,True,85,0.6343201007438175,2.5384111910497733,True,nonzero normalized expression within dataset x assay
GSE302356,multiome_GEX,KLRD1,True,1246,0.596995199164268,1.4958332503849807,True,nonzero normalized expression within dataset x assay
GSE302356,multiome_GEX,LAG3,True,61,0.19908140529767845,1.1261520480436025,True,nonzero normalized expression within dataset x assay
GSE302356,multiome_GEX,LGALS9,True,973,0.4451273741549268,1.0248478481604657,True,nonzero normalized expression within dataset x assay
GSE302356,multiome_GEX,LGR5,True,115,0.5556326467094094,1.6108794888367912,True,nonzero normalized expression within dataset x assay
GSE302356,multiome_GEX,LST1,True,513,0.4135069757349341,1.0822614828477286,True,nonzero normalized expression within dataset x assay
GSE302356,multiome_GEX,MDK,True,538,0.44092958489510403,1.0372967784028213,True,nonzero normalized expression within dataset x assay
GSE302356,multiome_GEX,MICA,True,365,0.38542169192623815,0.8837053464798262,True,nonzero normalized expression within dataset x assay
GSE302356,multiome_GEX,MICB,True,230,0.366189385374565,0.9497643130338667,True,nonzero normalized expression within dataset x assay
GSE302356,multiome_GEX,MITF,True,3926,0.8606210628868056,1.8703844985831533,True,nonzero normalized expression within dataset x assay
GSE302356,multiome_GEX,MLANA,True,235,0.3969906270059841,0.944050388808779,True,nonzero normalized expression within dataset x assay
GSE302356,multiome_GEX,NANOG,True,78,0.3796025027111849,0.8681165487201817,True,nonzero normalized expression within dataset x assay
GSE302356,multiome_GEX,NECTIN2,True,2445,0.5159441694240021,1.0722573944905325,True,nonzero normalized expression within dataset x assay
GSE302356,multiome_GEX,NES,True,240,0.4669289686423827,1.3469716487751808,True,nonzero normalized expression within dataset x assay
GSE302356,multiome_GEX,NFKBIA,True,5272,0.8034515315865167,1.6076729833398726,True,nonzero normalized expression within dataset x assay
GSE302356,multiome_GEX,NKG7,True,173,0.4815742286467748,1.7611760458559746,True,nonzero normalized expression within dataset x assay
GSE302356,multiome_GEX,NLRC5,True,2567,0.580295053633777,1.3369330448345584,True,nonzero normalized expression within dataset x assay
