dataset,assay,gene,gene_in_matrix,n_positive_observations,low_expression_upper_bound,high_expression_lower_bound,expression_interval_stable,interval_basis
GSE217108,snRNA,ACTA2,True,626,0.863882799333751,1.6765216682440125,True,nonzero normalized expression within dataset x assay
GSE217108,snRNA,AIF1,True,2417,0.9060348397444309,1.612324148703729,True,nonzero normalized expression within dataset x assay
GSE217108,snRNA,APOE,True,2036,0.963559213175816,1.8808230906269383,True,nonzero normalized expression within dataset x assay
GSE217108,snRNA,B2M,True,9942,2.014634944968266,3.2145489545196666,True,nonzero normalized expression within dataset x assay
GSE217108,snRNA,C1QA,True,1930,0.9566760460457906,1.8110592826610703,True,nonzero normalized expression within dataset x assay
GSE217108,snRNA,C1QB,True,2006,0.9483572530683618,1.7529428529435713,True,nonzero normalized expression within dataset x assay
GSE217108,snRNA,C1QC,True,1054,0.8446414323531376,1.4885443078636917,True,nonzero normalized expression within dataset x assay
GSE217108,snRNA,CCL2,True,191,0.9098743861967185,2.034466629201491,True,nonzero normalized expression within dataset x assay
GSE217108,snRNA,CCL5,True,3270,1.1941050413765604,2.5423042346923737,True,nonzero normalized expression within dataset x assay
GSE217108,snRNA,CCL7,True,6,,,False,nonzero normalized expression within dataset x assay
GSE217108,snRNA,CD274,True,402,0.7853124336115753,1.6903586641359065,True,nonzero normalized expression within dataset x assay
GSE217108,snRNA,CD276,True,451,0.6188898535894402,1.3058215584644803,True,nonzero normalized expression within dataset x assay
GSE217108,snRNA,CD3D,True,851,1.065869457817349,1.7276001022569842,True,nonzero normalized expression within dataset x assay
GSE217108,snRNA,CD3E,True,1039,1.0571340792809454,1.760179222644108,True,nonzero normalized expression within dataset x assay
GSE217108,snRNA,CD8A,True,793,1.1486016965353354,1.8230579299434355,True,nonzero normalized expression within dataset x assay
GSE217108,snRNA,CD8B,True,353,1.1218056884853593,1.7356999565975921,True,nonzero normalized expression within dataset x assay
GSE217108,snRNA,CTSK,True,579,0.7472472640498096,1.4533994665089525,True,nonzero normalized expression within dataset x assay
GSE217108,snRNA,CXCL8,True,296,0.8948932660401661,2.1236753278240847,True,nonzero normalized expression within dataset x assay
GSE217108,snRNA,DCT,True,40,0.5121334164885453,1.367944683996535,True,nonzero normalized expression within dataset x assay
GSE217108,snRNA,DPPA4,True,21,0.7429707522067978,1.3492921387635557,True,nonzero normalized expression within dataset x assay
GSE217108,snRNA,EPCAM,True,994,0.821526491828136,1.653323308384493,True,nonzero normalized expression within dataset x assay
GSE217108,snRNA,ERAP1,True,1947,0.8213116821247148,1.4694217991246048,True,nonzero normalized expression within dataset x assay
GSE217108,snRNA,ERAP2,True,3302,0.9497643772566389,1.6920155254512839,True,nonzero normalized expression within dataset x assay
GSE217108,snRNA,ESR1,True,1084,0.7972120656551527,1.531637559132701,True,nonzero normalized expression within dataset x assay
GSE217108,snRNA,FCER1G,True,2415,0.9069584096953927,1.53281443071373,True,nonzero normalized expression within dataset x assay
GSE217108,snRNA,FCGR3A,True,2843,1.04959468201209,1.9302186057740796,True,nonzero normalized expression within dataset x assay
GSE217108,snRNA,GNLY,True,4003,1.1672436234446226,2.963641035805318,True,nonzero normalized expression within dataset x assay
GSE217108,snRNA,GPNMB,True,1740,0.9710400401007719,1.9679175759274692,True,nonzero normalized expression within dataset x assay
GSE217108,snRNA,GZMB,True,2073,1.0581768927640491,2.000097471691286,True,nonzero normalized expression within dataset x assay
GSE217108,snRNA,HAVCR2,True,2060,0.8786543485928204,1.535072189546323,True,nonzero normalized expression within dataset x assay
GSE217108,snRNA,HLA-A,True,7488,1.3576758777859843,2.3884602868596,True,nonzero normalized expression within dataset x assay
GSE217108,snRNA,HLA-B,True,8546,1.710561055295834,2.8419689342982806,True,nonzero normalized expression within dataset x assay
