filter_row_id,dataset,canonical_query_hash,query_id,contrast,perturbation_key,perturbation_class,pert_iname,median_reversal_WTCS,median_reversal_NCS,max_reversal_NCS,fraction_reversed,n_signatures,n_cells,n_query_sizes,query_size_stable,exploratory,applicable_target_sizes,pert_type,q25_reversal_NCS,q75_reversal_NCS,best_context,cross_phase_status,measured_in_other_dataset,tier,tier1_eligible,row_direction_class,unique_drug_id
89,GSE92742,189b4f1adb06b9d0,tsc2_loss_hydrogel__q114x91__189b4f1adb06b9d0,tsc2_loss_hydrogel,compound::osi-027,compound,OSI-027,0.2761584,1.033009553093592,1.5035695554269155,0.6363636363636364,66,19,1,True,False,150,trt_cp,0.0,1.1568715958804228,ASC|10 µM|24 h,replicated_concordant,True,exploratory_reversal,False,reversal_direction,compound::osi027
127,GSE92742,3ed553c25262a7f3,tsc2_loss_plastic__q73x60__3ed553c25262a7f3,tsc2_loss_plastic,compound::buparlisib,compound,buparlisib,0.29680574,1.0329952843777956,1.424370135771409,0.7291666666666666,48,6,1,True,False,100,trt_cp,0.0,1.1554872526575677,MDAMB231|500 nM|24 h,replicated_concordant,True,exploratory_reversal,False,reversal_direction,compound::buparlisib
124,GSE92742,3ed553c25262a7f3,tsc2_loss_plastic__q73x60__3ed553c25262a7f3,tsc2_loss_plastic,compound::gsk-2126458,compound,GSK-2126458,0.30106384,1.031033776041614,1.585029033779851,0.625,48,6,1,True,False,100,trt_cp,0.0,1.178319077257222,MDAMB231|500 nM|24 h,replicated_concordant,True,exploratory_reversal,False,reversal_direction,compound::gsk2126458
237,GSE70138,189b4f1adb06b9d0,tsc2_loss_hydrogel__q114x91__189b4f1adb06b9d0,tsc2_loss_hydrogel,compound::osi-027,compound,OSI-027,0.2754988,1.027242225548516,1.8008846582403304,0.7058823529411765,153,16,1,True,False,150,trt_cp,-0.0,1.2547930555854558,PC3|3.33 um|24 h,replicated_concordant,True,exploratory_reversal,False,reversal_direction,compound::osi027
253,GSE70138,5e6e39a3cacf5878,tsc2_loss_plastic__q110x94__5e6e39a3cacf5878,tsc2_loss_plastic,compound::zstk-474,compound,ZSTK-474,0.2706383,1.026131006257115,1.8113097643278464,0.6884057971014492,138,15,1,True,False,150,trt_cp,0.0,1.2027102585958007,PC3|3.33 um|24 h,replicated_concordant,True,exploratory_reversal,False,reversal_direction,compound::zstk474
144,GSE70138,189b4f1adb06b9d0,tsc2_loss_hydrogel__q114x91__189b4f1adb06b9d0,tsc2_loss_hydrogel,compound::buparlisib,compound,buparlisib,0.2694335,1.0256449114673412,1.570222479146397,0.6493506493506493,154,15,1,True,False,150,trt_cp,0.0,1.1853090118288732,HS578T|1.11 um|24 h,replicated_concordant,True,exploratory_reversal,False,reversal_direction,compound::buparlisib
235,GSE70138,9a55b2df380a0926,tsc2_loss_hydrogel__q77x61__9a55b2df380a0926,tsc2_loss_hydrogel,compound::ql-x-138,compound,QL-X-138,0.2863927,1.0212958937227423,1.8341778439908416,0.7101449275362319,138,15,1,True,False,100,trt_cp,0.0,1.2278164320429992,A375|0.37 um|24 h,replicated_concordant,True,exploratory_reversal,False,reversal_direction,compound::qlx138
220,GSE70138,66896e3b5da2cdd6,tsc2_loss_hydrogel__q39x34__66896e3b5da2cdd6,tsc2_loss_hydrogel,compound::homoharringtonine,compound,homoharringtonine,0.30116645,1.0156760436568255,1.4039752534969048,0.5526315789473685,38,7,1,True,False,50,trt_cp,0.0,1.1862402225706363,HELA|1.11 um|24 h,replicated_concordant,True,exploratory_reversal,False,reversal_direction,compound::homoharringtonine
244,GSE70138,9a55b2df380a0926,tsc2_loss_hydrogel__q77x61__9a55b2df380a0926,tsc2_loss_hydrogel,compound::zstk-474,compound,ZSTK-474,0.28443626,1.0111201554837597,1.86617537846364,0.6884057971014492,138,15,1,True,False,100,trt_cp,0.0,1.230414245099713,HA1E|3.33 um|24 h,replicated_concordant,True,exploratory_reversal,False,reversal_direction,compound::zstk474
153,GSE70138,189b4f1adb06b9d0,tsc2_loss_hydrogel__q114x91__189b4f1adb06b9d0,tsc2_loss_hydrogel,compound::pi-103,compound,PI-103,0.27327317,1.0090123510912927,1.7723318747468495,0.65,180,17,1,True,False,150,trt_cp,0.0,1.1943678929079482,HA1E|0.04 um|24 h,replicated_concordant,True,exploratory_reversal,False,reversal_direction,compound::pi103
