filter_row_id,dataset,canonical_query_hash,query_id,contrast,perturbation_key,perturbation_class,pert_iname,median_reversal_WTCS,median_reversal_NCS,max_reversal_NCS,fraction_reversed,n_signatures,n_cells,n_query_sizes,query_size_stable,exploratory,applicable_target_sizes,pert_type,q25_reversal_NCS,q75_reversal_NCS,best_context,cross_phase_status,measured_in_other_dataset,tier,tier1_eligible,row_direction_class,unique_drug_id
24,GSE92742,3ed553c25262a7f3,tsc2_loss_plastic__q73x60__3ed553c25262a7f3,tsc2_loss_plastic,compound::zstk-474,compound,ZSTK-474,0.26338953,0.9308198572721128,1.6494389154585525,0.6265060240963856,83,19,1,True,False,100,trt_cp,0.0,1.1740381700647669,MCF7|10 µM|6 h,replicated_concordant,True,exploratory_reversal,False,reversal_direction,compound::zstk474
86,GSE70138,5e6e39a3cacf5878,tsc2_loss_plastic__q110x94__5e6e39a3cacf5878,tsc2_loss_plastic,compound::osi-027,compound,OSI-027,0.24221341,0.9298232055679836,1.9043704781876685,0.5947712418300654,153,16,1,True,False,150,trt_cp,-0.0,1.1643944232049963,PC3|3.33 um|24 h,replicated_concordant,True,exploratory_reversal,False,reversal_direction,compound::osi027
30,GSE92742,5e6e39a3cacf5878,tsc2_loss_plastic__q110x94__5e6e39a3cacf5878,tsc2_loss_plastic,compound::gdc-0941,compound,GDC-0941,0.24317215,0.9293330842676064,1.6835844093918546,0.6428571428571429,84,19,1,True,False,150,trt_cp,0.0,1.1679712872628605,ASC|10 µM|24 h,replicated_concordant,True,exploratory_reversal,False,reversal_direction,compound::gdc0941
89,GSE70138,3ed553c25262a7f3,tsc2_loss_plastic__q73x60__3ed553c25262a7f3,tsc2_loss_plastic,compound::gsk-2126458,compound,GSK-2126458,0.26303017,0.9178006417432996,1.657345918718391,0.5942028985507246,138,15,1,True,False,100,trt_cp,0.0,1.0802447015798773,HCC515|0.04 um|24 h,replicated_concordant,True,exploratory_reversal,False,reversal_direction,compound::gsk2126458
18,GSE92742,3ed553c25262a7f3,tsc2_loss_plastic__q73x60__3ed553c25262a7f3,tsc2_loss_plastic,compound::pi-103,compound,PI-103,0.25962904,0.910399293983536,1.607088738293686,0.6194690265486725,113,59,1,True,False,100,trt_cp,-0.0,1.1431384904830082,HCC515|10 µM|24 h,replicated_concordant,True,exploratory_reversal,False,reversal_direction,compound::pi103
29,GSE92742,3ed553c25262a7f3,tsc2_loss_plastic__q73x60__3ed553c25262a7f3,tsc2_loss_plastic,compound::gdc-0941,compound,GDC-0941,0.26133016,0.9038543092597158,1.7079075547613234,0.6547619047619048,84,19,1,True,False,100,trt_cp,0.0,1.1757216639145327,ASC|10 µM|24 h,replicated_concordant,True,exploratory_reversal,False,reversal_direction,compound::gdc0941
22,GSE92742,3ed553c25262a7f3,tsc2_loss_plastic__q73x60__3ed553c25262a7f3,tsc2_loss_plastic,compound::gatifloxacin,compound,gatifloxacin,0.25255945,0.8948019790506649,1.3730147709889404,0.64,25,9,1,True,False,100,trt_cp,-0.0,1.1103399191952634,PC3|10 µM|24 h,replicated_concordant,True,exploratory_reversal,False,reversal_direction,compound::gatifloxacin
35,GSE92742,5e6e39a3cacf5878,tsc2_loss_plastic__q110x94__5e6e39a3cacf5878,tsc2_loss_plastic,compound::osi-027,compound,OSI-027,0.242478,0.8886879535868615,1.4901742450390754,0.5151515151515151,66,19,1,True,False,150,trt_cp,0.0,1.1066292470730643,BT20|500 nM|24 h,replicated_concordant,True,exploratory_reversal,False,reversal_direction,compound::osi027
23,GSE92742,8d3134ad07f43cf3,tsc2_loss_plastic__q34x29__8d3134ad07f43cf3,tsc2_loss_plastic,compound::niacin,compound,niacin,0.2953797,0.8844298488453438,1.3867810101412994,0.52,25,11,1,True,False,50,trt_cp,-0.0,1.0483747798540597,HCC515|10 µM|6 h,replicated_concordant,True,exploratory_reversal,False,reversal_direction,compound::niacin
56,GSE70138,3ed553c25262a7f3,tsc2_loss_plastic__q73x60__3ed553c25262a7f3,tsc2_loss_plastic,compound::gdc-0941,compound,GDC-0941,0.25042766,0.8814380586945996,1.551338336122676,0.6,180,17,1,True,False,100,trt_cp,0.0,1.105032927571606,SKBR3|1.11 um|3 h,replicated_concordant,True,exploratory_reversal,False,reversal_direction,compound::gdc0941
