row_type,branch_id,source_state,distance_segment,n_cells,LAMCORE_full_median,LAMCORE_full_q25,LAMCORE_full_q75,LAMCORE_no_gate_median,LAMCORE_no_gate_q25,LAMCORE_no_gate_q75,LAMCORE_outside_scVI_median,LAMCORE_outside_scVI_q25,LAMCORE_outside_scVI_q75,LAMCORE_independent_median,LAMCORE_independent_q25,LAMCORE_independent_q75,CORE1_median,CORE1_q25,CORE1_q75,CORE2_median,CORE2_q25,CORE2_q75,CORE3_median,CORE3_q25,CORE3_q75,melanocytic_median,melanocytic_q25,melanocytic_q75,myogenic_median,myogenic_q25,myogenic_q75,VEGFD_median,VEGFD_q25,VEGFD_q75,CTSK_median,CTSK_q25,CTSK_q75,lam_support_median,lam_support_q25,lam_support_q75,HOX_PBX_median,HOX_PBX_q25,HOX_PBX_q75,hormone_median,hormone_q25,hormone_q75,ECM_median,ECM_q25,ECM_q75,protease_median,protease_q25,protease_q75,mTOR_translation_median,mTOR_translation_q25,mTOR_translation_q75,T_NK_median,T_NK_q25,T_NK_q75,macrophage_median,macrophage_q25,macrophage_q75,AT2_median,AT2_q25,AT2_q75,endothelial_median,endothelial_q25,endothelial_q75,lymphatic_endothelial_median,lymphatic_endothelial_q25,lymphatic_endothelial_q75,fibroblast_median,fibroblast_q25,fibroblast_q75,pericyte_VSMC_median,pericyte_VSMC_q25,pericyte_VSMC_q75,mesothelial_median,mesothelial_q25,mesothelial_q75,ciliated_median,ciliated_q25,ciliated_q75,distance_metric,score_name,n_patients,patient_adjusted_slope,ci95_low,ci95_high,pvalue,spearman_rho,spearman_pvalue
model,state16,State_16,,395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,latent_distance,melanocytic,10.0,-0.07179196493093756,-0.1486842317514369,0.005100301889561801,0.067168529116368,-0.19118447540816394,0.0001318400397629976
model,state16,State_16,,395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,latent_distance,myogenic,10.0,-0.38635763640341825,-0.5011496826285547,-0.27156559017828175,1.2302620541757614e-10,-0.4006916837426143,1.1499590833207657e-16
model,state16,State_16,,395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,latent_distance,VEGFD,10.0,-0.06164578840378529,-0.16293816513802667,0.039646588330456076,0.23220427804132077,-0.12205154264777385,0.015219248680051136
model,state16,State_16,,395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,latent_distance,CTSK,10.0,-0.4968134864207653,-0.7076894211770006,-0.28593755166452994,4.961754128708811e-06,-0.30033020482047607,1.120595586215218e-09
model,state16,State_16,,395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,latent_distance,lam_support,10.0,-0.2227113748728329,-0.3069048273313444,-0.13851792241432143,3.231967210719977e-07,-0.3750687874657063,1.2180377569863765e-14
model,state16,State_16,,395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,latent_distance,HOX_PBX,10.0,-0.03627266159306104,-0.07979697316201545,0.007251649975893372,0.10212064031770554,-0.12584328941410958,0.0123104497103559
model,state16,State_16,,395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,latent_distance,hormone,10.0,-0.026161305106280522,-0.07834673535142161,0.026024125138860578,0.32491830894884227,-0.02243857500422892,0.6566084700536797
model,state16,State_16,,395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,latent_distance,ECM,10.0,-0.11059167771387036,-0.16415279013836268,-0.05703056528937805,5.9571807928056165e-05,-0.2697052338507743,5.194655823791885e-08
model,state16,State_16,,395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,latent_distance,protease,10.0,-0.06848106134303444,-0.10679661158264847,-0.03016551110342041,0.0004938512334862028,-0.18991181479112612,0.00014641512758161747
model,state16,State_16,,395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,latent_distance,mTOR_translation,10.0,0.099584292467439,0.016652020846333382,0.1825165640885446,0.018727193027391648,0.05102582980931681,0.31174682096236056
