dataset,cohort,score,n_cells,n_nonnull,mean,median,q05,q25,q75,q95,LAM_core_fraction,LAM_boundary_fraction,non_LAM_like_fraction
GSE135851,LAM_all,melanocytic_identity_score,23228,23228,0.05882879035361015,0.0,0.0,0.0,0.0,0.31781296133995013,,,
GSE135851,LAM_all,lamcore_identity_score,23228,23228,0.528124370632107,0.1981990709900856,-0.10155141688883303,0.042441134341061115,0.6864008158445358,1.7906548023223872,,,
GSE135851,LAM_all,identity_anchor_score,23228,23228,0.4911755603707416,0.09915603324770927,-0.05077570844441651,0.021220567170530558,0.7096607387065887,2.0387327671051,,,
GSE135851,LAM_all,support_score,23228,23228,0.2550196271176098,0.0,0.0,0.0,0.0,1.3109084367752066,,,
GSE135851,LAM_all,LAM_identity_score,23228,23228,-0.5291274717760446,-0.17434677481651306,-1.9173160672187806,-0.7836492210626602,0.1465575322508812,1.0609257042407976,,,
GSE135851,LAM_all,non_pericyte_competing_score,23228,23228,4.325379105278986,1.3921072483062744,0.08069788664579393,0.828573614358902,4.161314249038696,10.059574604034413,,,
GSE135851,LAM_all,pericyte_VSMC_conditional_penalty,23228,23228,0.22511892657643648,0.0,0.0,0.0,0.28605372782701455,1.0594582937951638,,,
GSE135851,LAM_all,ciliated_score_z,23228,23228,3.0306573200496807,0.0,0.0,0.0,1.9208109378814697,8.946468877792354,,,
GSE135851,LAM_all,AT2_score_z,23228,23228,0.927549716602477,0.21506699174642563,-0.4965902417898178,-0.17705966159701347,1.1092114448547363,4.356141638755797,,,
GSE135851,LAM_all,macrophage_score_z,23228,23228,0.2020815090737152,0.16443929076194763,-0.45753264874219896,-0.3172801584005356,0.7396080046892166,0.8895836383104324,,,
GSE135851,LAM_all,endothelial_score_z,23228,23228,0.7051555113852491,0.0,0.0,0.0,0.7354419380426407,2.97305124998092,,,
GSE135851,LAM_all,fibroblast_score_z,23228,23228,0.3636656778223172,0.1512080729007721,-0.23221558332443237,-0.23221558332443237,0.8390424251556396,1.3946623086929322,,,
GSE135851,LAM_all,mesothelial_score_z,23228,23228,0.2621672371717047,0.0,0.0,0.0,0.0,2.087648141384122,,,
GSE135851,LAM_all,pericyte_VSMC_score_z,23228,23228,0.8375742392229895,0.0,0.0,0.0,0.8087166845798492,2.807342278957364,,,
GSE190260,LAM_all,melanocytic_identity_score,38701,38701,0.044309813281002995,0.0,0.0,0.0,0.0,0.3333248794078827,,,
GSE190260,LAM_all,lamcore_identity_score,38701,38701,0.9050780151973356,0.0,0.0,0.0,1.0351039171218872,4.4655351638793945,,,
GSE190260,LAM_all,identity_anchor_score,38701,38701,0.6113525718828456,0.0,0.0,0.0,0.6031908988952637,3.271122455596924,,,
GSE190260,LAM_all,support_score,38701,38701,0.22897210780077118,0.0,0.0,0.0,0.0,1.427498698234558,,,
GSE190260,LAM_all,LAM_identity_score,38701,38701,-0.21997274127843836,-0.15281942486763,-1.542174220085144,-0.9273784160614014,0.0,1.4365049600601196,,,
GSE190260,LAM_all,non_pericyte_competing_score,38701,38701,3.052344432424768,2.138563394546509,0.0,0.4801175594329834,5.112458229064941,9.941730499267578,,,
GSE190260,LAM_all,pericyte_VSMC_conditional_penalty,38701,38701,0.33558424785333424,0.0,0.0,0.0,0.27520199471778806,1.5913424491882324,,,
GSE190260,LAM_all,ciliated_score_z,38701,38701,0.2628885640584115,0.0,0.0,0.0,0.0,1.8113523721694946,,,
GSE190260,LAM_all,AT2_score_z,38701,38701,1.094837771960195,0.0,-0.24089385569095612,-0.24089385569095612,0.7591061592102051,5.775802135467529,,,
GSE190260,LAM_all,macrophage_score_z,38701,38701,0.4893575427556732,0.0,-0.17446820437908173,-0.17446820437908173,0.8255317807197571,2.590259075164795,,,
GSE190260,LAM_all,endothelial_score_z,38701,38701,0.8724727054267074,0.0,0.0,0.0,1.0,3.3268699645996094,,,
GSE190260,LAM_all,fibroblast_score_z,38701,38701,0.8915113539136256,0.0,0.0,0.0,1.0,2.4543535709381104,,,
GSE190260,LAM_all,mesothelial_score_z,38701,38701,0.3022933408114735,0.0,0.0,0.0,0.0,1.5817101001739502,,,
GSE190260,LAM_all,pericyte_VSMC_score_z,38701,38701,1.2695680685305357,0.0,0.0,0.0,1.0,5.995355129241943,,,
GSE217108,LAM_all,melanocytic_identity_score,6941,6941,0.11537472689474647,0.0,0.0,0.0,0.0,0.7088356614112854,,,
GSE217108,LAM_all,lamcore_identity_score,6941,6941,0.5661346286421481,0.0,0.0,0.0,0.93709796667099,2.6935675144195557,,,
GSE217108,LAM_all,identity_anchor_score,6941,6941,0.518418117005691,0.0,0.0,0.0,0.5823729634284973,2.780867576599121,,,
GSE217108,LAM_all,support_score,6941,6941,0.41009881884233185,0.0,0.0,0.0,0.0,2.7586050033569336,,,
GSE217108,LAM_all,LAM_identity_score,6941,6941,-0.26787074649191356,-0.30351799726486206,-1.6832836866378784,-0.6690096855163574,0.0,1.452144980430603,,,
GSE217108,LAM_all,non_pericyte_competing_score,6941,6941,3.286557839254084,2.005312204360962,0.3468557894229889,1.2474523782730103,4.157118797302246,11.304401397705078,,,
GSE217108,LAM_all,pericyte_VSMC_conditional_penalty,6941,6941,0.2413475333844108,0.0,0.0,0.0,0.3592350267217038,1.0508872270584106,,,
GSE217108,LAM_all,ciliated_score_z,6941,6941,0.9065894568332281,0.0,0.0,0.0,1.0,2.1928563117980957,,,
GSE217108,LAM_all,AT2_score_z,6941,6941,0.26677830959764276,0.0,-0.5613592863082886,-0.2910272777080536,0.708972692489624,1.8579728603363037,,,
GSE217108,LAM_all,macrophage_score_z,6941,6941,0.6253580655400802,0.0,0.0,0.0,1.0,2.619642972946167,,,
GSE217108,LAM_all,endothelial_score_z,6941,6941,1.0842896216524693,0.0,0.0,0.0,1.0,5.840139389038086,,,
GSE217108,LAM_all,fibroblast_score_z,6941,6941,1.1453318910869428,0.0,0.0,0.0,1.0,7.694868564605713,,,
GSE217108,LAM_all,mesothelial_score_z,6941,6941,0.3519471588455588,0.0,0.0,0.0,0.0,2.7019920349121094,,,
GSE217108,LAM_all,pericyte_VSMC_score_z,6941,6941,0.6468545195821417,0.0,0.0,0.0,1.0,2.5818674564361572,,,
GSE302356,LAM_all,melanocytic_identity_score,21771,21771,0.0979165519747643,0.0,0.0,0.0,0.0,0.6184526085853577,,,
GSE302356,LAM_all,lamcore_identity_score,21771,21771,0.6702621821592154,0.0,0.0,0.0,1.0360907912254333,2.8075692653656006,,,
GSE302356,LAM_all,identity_anchor_score,21771,21771,0.5542627485812663,0.0,0.0,0.0,0.7778836786746979,2.6065765619277954,,,
GSE302356,LAM_all,support_score,21771,21771,0.9680081221031325,0.0,0.0,0.0,0.9999999701976776,5.786725282669067,,,
GSE302356,LAM_all,LAM_identity_score,21771,21771,-0.25448270696258274,-0.2504212260246277,-2.2903400659561157,-0.6663107872009277,0.174090176820755,1.702321708202362,,,
GSE302356,LAM_all,non_pericyte_competing_score,21771,21771,3.989470278163717,2.2005116939544678,0.08027206361293793,1.1309823989868164,4.625620126724243,17.49661350250244,,,
GSE302356,LAM_all,pericyte_VSMC_conditional_penalty,21771,21771,0.3114833084764567,0.0,0.0,0.0,0.2643129825592041,1.5911242492144306,,,
GSE302356,LAM_all,ciliated_score_z,21771,21771,1.5940539823132944,0.0,0.0,0.0,1.0,14.593166828155518,,,
GSE302356,LAM_all,AT2_score_z,21771,21771,0.24356419590392553,0.0,-0.4316853880882263,-0.4316853880882263,0.5683145821094513,1.8435033559799194,,,
GSE302356,LAM_all,macrophage_score_z,21771,21771,0.5376172728666657,0.0,-0.3411770761013031,-0.3411770761013031,0.6588229238986969,3.43577778339386,,,
GSE302356,LAM_all,endothelial_score_z,21771,21771,1.2267790180409606,0.0,0.0,0.0,1.0,7.445096015930176,,,
GSE302356,LAM_all,fibroblast_score_z,21771,21771,1.0089041148700173,0.0,0.0,0.0,1.0,4.60921311378479,,,
GSE302356,LAM_all,mesothelial_score_z,21771,21771,0.3376999334606933,0.0,0.0,0.0,0.0,2.740793466567993,,,
GSE302356,LAM_all,pericyte_VSMC_score_z,21771,21771,0.9132680465114492,0.0,-0.24110691249370575,-0.24110691249370575,0.7588931024074554,5.12658166885376,,,
GSE135851,author_style_positive,melanocytic_identity_score,140,140,0.5352702123778207,0.42461246252059937,0.0,0.0,0.9919234961271286,1.4388175308704374,,,
