pool,donor_id,n_cells,analysis,selected_rank,selected_seed,n_programs,program_1,program_2,program_3,program_4,program_5,program_6
high_confidence,LAM32,493,independent_nmf,6.0,0.0,6.0,,,,,,
high_confidence,LAM44,582,independent_nmf,6.0,0.0,6.0,,,,,,
high_confidence,LAM32,493,,,,,0.6930819153785706,0.7989182472229004,0.14555440843105316,0.18312063813209534,0.1355336755514145,0.36097607016563416
high_confidence,LAM44,582,,,,,0.12646803259849548,0.17698074877262115,0.6584179997444153,0.45613133907318115,0.6431455016136169,0.2730466425418854
broad_lam_like,LAM32,1500,independent_nmf,6.0,0.0,6.0,,,,,,
broad_lam_like,LAM44,1500,independent_nmf,6.0,0.0,6.0,,,,,,
broad_lam_like,LAM32,1663,,,,,0.08718381822109222,0.5582013726234436,0.6381374001502991,0.7049778699874878,0.06830199062824249,
broad_lam_like,LAM44,2192,,,,,0.6227142214775085,0.33770814538002014,0.29863932728767395,0.1247434988617897,0.4857790172100067,
unrestricted_lam,LAM32,1500,independent_nmf,6.0,0.0,6.0,,,,,,
unrestricted_lam,LAM44,1500,independent_nmf,4.0,0.0,4.0,,,,,,
unrestricted_lam,LAM32,2785,,,,,0.3702262341976166,0.32057467103004456,0.38879382610321045,0.1301216185092926,0.6297925114631653,0.05891755595803261
unrestricted_lam,LAM44,3215,,,,,0.1992810219526291,0.1714218258857727,0.05873262137174606,0.5973737835884094,0.059345703572034836,0.7433353662490845
