pool,candidate_program,known_program_explained_r2,residual_sd
high_confidence,program_1,0.7654071610665599,0.24995246679011113
high_confidence,program_2,0.7760217456552219,0.324386986349745
high_confidence,program_3,0.4597665697543406,0.39191350712332873
high_confidence,program_4,0.5819738069482701,0.32707506351587057
high_confidence,program_5,0.47971339342724495,0.365771793326106
high_confidence,program_6,0.8906260125294528,0.158765518807497
broad_lam_like,program_1,0.5719511490506041,0.3065513406049076
broad_lam_like,program_2,0.7993546328308195,0.2843632389430124
broad_lam_like,program_3,0.6854901208818154,0.32307216220636326
broad_lam_like,program_4,0.7551862578997273,0.2679351937889884
broad_lam_like,program_5,0.4549344803282547,0.3363172168441819
unrestricted_lam,program_1,0.6505899882317041,0.23514881130811321
unrestricted_lam,program_2,0.4835830724013348,0.3861284021898113
unrestricted_lam,program_3,0.37329513508525003,0.3241315642847022
unrestricted_lam,program_4,0.6357515685268449,0.32308893911113606
unrestricted_lam,program_5,0.735971897752771,0.2683597693956698
unrestricted_lam,program_6,0.5807955966724994,0.3869034817893247
