pool,candidate_program,gene,weight,rank_position,selected_rank,selected_seed
high_confidence,program_2,YAP1,0.8519320487976074,40,6,0
high_confidence,program_2,BIRC6,0.8392862677574158,41,6,0
high_confidence,program_2,TBC1D8,0.8277808427810669,42,6,0
high_confidence,program_2,TCF4,0.8268523812294006,43,6,0
high_confidence,program_2,FOXO1,0.8248299360275269,44,6,0
high_confidence,program_2,WWC2,0.8183878064155579,45,6,0
high_confidence,program_2,LAPTM5,0.8099111914634705,46,6,0
high_confidence,program_2,AKT3,0.8095278739929199,47,6,0
high_confidence,program_2,ITPR2,0.8089533448219299,48,6,0
high_confidence,program_2,EIF4G3,0.806409478187561,49,6,0
high_confidence,program_2,CNOT6L,0.8053584098815918,50,6,0
high_confidence,program_3,KIF5B,1.7349307537078857,1,6,0
high_confidence,program_3,PELI1,0.9357170462608337,2,6,0
high_confidence,program_3,PICALM,0.9115772843360901,3,6,0
high_confidence,program_3,IKZF1,0.8797138929367065,4,6,0
high_confidence,program_3,JMJD1C,0.8729613423347473,5,6,0
high_confidence,program_3,HOXD11,0.8667465448379517,6,6,0
high_confidence,program_3,FHIT,0.8518959283828735,7,6,0
high_confidence,program_3,CEMIP2,0.8439921140670776,8,6,0
high_confidence,program_3,MYH9,0.8192781209945679,9,6,0
high_confidence,program_3,ZSWIM6,0.8094248175621033,10,6,0
high_confidence,program_3,SRGN,0.8044427633285522,11,6,0
high_confidence,program_3,ACOXL,0.7912501692771912,12,6,0
high_confidence,program_3,CAMK2D,0.7869304418563843,13,6,0
high_confidence,program_3,PTEN,0.7829585075378418,14,6,0
high_confidence,program_3,PTPRK,0.7806848883628845,15,6,0
high_confidence,program_3,FOXP1,0.7740753293037415,16,6,0
high_confidence,program_3,ATP1A1,0.7674936056137085,17,6,0
high_confidence,program_3,RALGAPA2,0.7524023056030273,18,6,0
high_confidence,program_3,ERBB4,0.745162308216095,19,6,0
high_confidence,program_3,RABGAP1L,0.7445157170295715,20,6,0
high_confidence,program_3,SERPINE1,0.7412493824958801,21,6,0
high_confidence,program_3,PATJ,0.7403033375740051,22,6,0
high_confidence,program_3,LINC01619,0.7346951365470886,23,6,0
high_confidence,program_3,ANKRD44,0.7145317196846008,24,6,0
high_confidence,program_3,SFTPA2,0.7095732688903809,25,6,0
high_confidence,program_3,PIP5K1B,0.7091784477233887,26,6,0
high_confidence,program_3,RAD51B,0.7084107995033264,27,6,0
high_confidence,program_3,NFAT5,0.7052026987075806,28,6,0
high_confidence,program_3,HLA-C,0.6997259259223938,29,6,0
high_confidence,program_3,TGFBR1,0.6857216954231262,30,6,0
high_confidence,program_3,RAP1B,0.680836021900177,31,6,0
high_confidence,program_3,VWF,0.6781745553016663,32,6,0
high_confidence,program_3,MBD5,0.6778011918067932,33,6,0
high_confidence,program_3,PPP2R5C,0.6748420000076294,34,6,0
high_confidence,program_3,ATG7,0.6742228865623474,35,6,0
high_confidence,program_3,SAMSN1,0.6660553216934204,36,6,0
high_confidence,program_3,STAT4,0.6620001792907715,37,6,0
high_confidence,program_3,TTC28,0.6535471081733704,38,6,0
high_confidence,program_3,NFIA,0.6522090435028076,39,6,0
high_confidence,program_3,MTUS1,0.6505780816078186,40,6,0
high_confidence,program_3,RASA2,0.6487882137298584,41,6,0
high_confidence,program_3,UBR2,0.6458153128623962,42,6,0
high_confidence,program_3,ROCK1,0.6421241760253906,43,6,0
high_confidence,program_3,TCF7L2,0.6402955055236816,44,6,0
high_confidence,program_3,MED13L,0.6262751817703247,45,6,0
high_confidence,program_3,FRMD4B,0.6250852942466736,46,6,0
high_confidence,program_3,C1ORF21,0.6182764172554016,47,6,0
high_confidence,program_3,MAP4,0.617598295211792,48,6,0
high_confidence,program_3,LRCH1,0.6135247945785522,49,6,0
high_confidence,program_3,ACADL,0.6128379106521606,50,6,0
high_confidence,program_4,KIF5B,2.000627279281616,1,6,0
high_confidence,program_4,NFIA,1.704493761062622,2,6,0
high_confidence,program_4,AFDN,1.657904028892517,3,6,0
high_confidence,program_4,TOX,1.594533085823059,4,6,0
high_confidence,program_4,SREK1,1.573461651802063,5,6,0
high_confidence,program_4,ABCC1,1.5295578241348267,6,6,0
high_confidence,program_4,DOCK10,1.5077571868896484,7,6,0
high_confidence,program_4,CD55,1.4187583923339844,8,6,0
high_confidence,program_4,CDC42SE2,1.4093458652496338,9,6,0
high_confidence,program_4,UVRAG,1.406065583229065,10,6,0
high_confidence,program_4,SNX9,1.3837605714797974,11,6,0
high_confidence,program_4,ATF7IP,1.3475916385650635,12,6,0
high_confidence,program_4,PTPN12,1.3312908411026,13,6,0
high_confidence,program_4,GALNT10,1.3181955814361572,14,6,0
high_confidence,program_4,TTC3,1.3020670413970947,15,6,0
high_confidence,program_4,NPNT,1.2988373041152954,16,6,0
high_confidence,program_4,HOXD11,1.26556396484375,17,6,0
high_confidence,program_4,PID1,1.264830231666565,18,6,0
high_confidence,program_4,DYRK1A,1.2476669549942017,19,6,0
high_confidence,program_4,SRGAP1,1.2404778003692627,20,6,0
high_confidence,program_4,FAM49B,1.2274610996246338,21,6,0
high_confidence,program_4,RPL3,1.2084054946899414,22,6,0
high_confidence,program_4,HSPA1A,1.1902531385421753,23,6,0
high_confidence,program_4,NCOA7,1.1826673746109009,24,6,0
high_confidence,program_4,DIAPH2,1.1779128313064575,25,6,0
high_confidence,program_4,IQGAP1,1.1528964042663574,26,6,0
high_confidence,program_4,PICALM,1.1421719789505005,27,6,0
high_confidence,program_4,DLEU2,1.133463740348816,28,6,0
high_confidence,program_4,CNN1,1.127813696861267,29,6,0
high_confidence,program_4,AGTPBP1,1.1106343269348145,30,6,0
high_confidence,program_4,AP3B1,1.0935187339782715,31,6,0
high_confidence,program_4,SMCHD1,1.0694935321807861,32,6,0
high_confidence,program_4,SRSF7,1.0428516864776611,33,6,0
high_confidence,program_4,PABPC1,1.041682243347168,34,6,0
high_confidence,program_4,FNDC3A,1.0274605751037598,35,6,0
high_confidence,program_4,PUM1,1.0158965587615967,36,6,0
high_confidence,program_4,YBX3,1.012449026107788,37,6,0
high_confidence,program_4,EXOC6,0.9981005191802979,38,6,0
high_confidence,program_4,DOCK8,0.9823483228683472,39,6,0
high_confidence,program_4,PAG1,0.9739976525306702,40,6,0
high_confidence,program_4,FN1,0.9572446942329407,41,6,0
high_confidence,program_4,LHFPL6,0.9514557719230652,42,6,0
high_confidence,program_4,PKP4,0.9469945430755615,43,6,0
high_confidence,program_4,ARID4B,0.9441831707954407,44,6,0
high_confidence,program_4,STRBP,0.9418736100196838,45,6,0
high_confidence,program_4,LRBA,0.9357084035873413,46,6,0
high_confidence,program_4,MYO9A,0.9226307272911072,47,6,0
high_confidence,program_4,BTG1,0.9165342450141907,48,6,0
high_confidence,program_4,MCTP1,0.9156911969184875,49,6,0
high_confidence,program_4,MTUS1,0.9073282480239868,50,6,0
high_confidence,program_5,KIF5B,2.473696231842041,1,6,0
high_confidence,program_5,PRKCB,1.8714253902435303,2,6,0
high_confidence,program_5,PSAP,1.7477935552597046,3,6,0
high_confidence,program_5,ATF7IP,1.5840257406234741,4,6,0
high_confidence,program_5,XIST,1.5476641654968262,5,6,0
high_confidence,program_5,LPP,1.5136375427246094,6,6,0
high_confidence,program_5,YBX3,1.5104539394378662,7,6,0
high_confidence,program_5,SECISBP2L,1.4983603954315186,8,6,0
high_confidence,program_5,NCOA7,1.4494528770446777,9,6,0
high_confidence,program_5,ADGRF5,1.4437501430511475,10,6,0
high_confidence,program_5,SASH1,1.443703532218933,11,6,0
high_confidence,program_5,RAPGEF1,1.3985536098480225,12,6,0
high_confidence,program_5,SDCCAG8,1.357279658317566,13,6,0
high_confidence,program_5,NFATC3,1.3566243648529053,14,6,0
high_confidence,program_5,ALPL,1.348931074142456,15,6,0
high_confidence,program_5,DUOX1,1.3471121788024902,16,6,0
high_confidence,program_5,MEF2A,1.3422904014587402,17,6,0
high_confidence,program_5,CEMIP2,1.3422536849975586,18,6,0
high_confidence,program_5,NSMCE2,1.3329211473464966,19,6,0
high_confidence,program_5,VPS13B,1.327915906906128,20,6,0
high_confidence,program_5,TMSB10,1.3275667428970337,21,6,0
high_confidence,program_5,RBM47,1.3223637342453003,22,6,0
high_confidence,program_5,COBLL1,1.3213212490081787,23,6,0
high_confidence,program_5,EGR1,1.3087984323501587,24,6,0
high_confidence,program_5,UTRN,1.3078094720840454,25,6,0
high_confidence,program_5,NPNT,1.2850427627563477,26,6,0
high_confidence,program_5,ARL15,1.2713590860366821,27,6,0
high_confidence,program_5,TSC22D3,1.2632224559783936,28,6,0
high_confidence,program_5,CD247,1.2598601579666138,29,6,0
high_confidence,program_5,PDE3B,1.2550219297409058,30,6,0
high_confidence,program_5,TPT1,1.2420728206634521,31,6,0
high_confidence,program_5,TOP1,1.2406024932861328,32,6,0
high_confidence,program_5,PICALM,1.2253727912902832,33,6,0
high_confidence,program_5,ARHGAP24,1.2247958183288574,34,6,0
high_confidence,program_5,PTMA,1.221040964126587,35,6,0
high_confidence,program_5,HOXD11,1.2200044393539429,36,6,0
high_confidence,program_5,MON2,1.2074706554412842,37,6,0
high_confidence,program_5,SRPK2,1.2024930715560913,38,6,0
high_confidence,program_5,CACNA2D2,1.1938539743423462,39,6,0
high_confidence,program_5,ZFP36L2,1.190895438194275,40,6,0
high_confidence,program_5,LRBA,1.184346318244934,41,6,0
high_confidence,program_5,SMCHD1,1.18393874168396,42,6,0
high_confidence,program_5,FNDC3B,1.1821670532226562,43,6,0
high_confidence,program_5,ERN1,1.1804695129394531,44,6,0
high_confidence,program_5,LDLRAD4,1.1718146800994873,45,6,0
high_confidence,program_5,FTX,1.1690881252288818,46,6,0
high_confidence,program_5,DLEU2,1.1566011905670166,47,6,0
high_confidence,program_5,RNF213,1.1552213430404663,48,6,0
high_confidence,program_5,ZFAND6,1.1463501453399658,49,6,0
high_confidence,program_5,CDC42BPB,1.1432527303695679,50,6,0
high_confidence,program_6,NAV2,2.6867666244506836,1,6,0
high_confidence,program_6,KIF5B,2.6861019134521484,2,6,0
high_confidence,program_6,GAB2,2.0006115436553955,3,6,0
high_confidence,program_6,FAM13A,1.9839398860931396,4,6,0
high_confidence,program_6,NEDD9,1.9054996967315674,5,6,0
high_confidence,program_6,PAM,1.830052375793457,6,6,0
high_confidence,program_6,ABCC1,1.7816522121429443,7,6,0
high_confidence,program_6,MYH9,1.702073574066162,8,6,0
high_confidence,program_6,JARID2,1.7018851041793823,9,6,0
high_confidence,program_6,RTN4,1.6989398002624512,10,6,0
high_confidence,program_6,RPL3,1.6916438341140747,11,6,0
high_confidence,program_6,FRMD4A,1.6723902225494385,12,6,0
high_confidence,program_6,DOCK5,1.6493912935256958,13,6,0
high_confidence,program_6,BMPR2,1.634022831916809,14,6,0
high_confidence,program_6,THRB,1.6091605424880981,15,6,0
high_confidence,program_6,KMT2E,1.579065203666687,16,6,0
high_confidence,program_6,CALD1,1.550277829170227,17,6,0
high_confidence,program_6,FUT8,1.5235817432403564,18,6,0
high_confidence,program_6,SMCHD1,1.502593755722046,19,6,0
high_confidence,program_6,ZNF292,1.4927692413330078,20,6,0
high_confidence,program_6,SCAI,1.4765512943267822,21,6,0
high_confidence,program_6,CMSS1,1.4379537105560303,22,6,0
high_confidence,program_6,COL4A1,1.4159669876098633,23,6,0
high_confidence,program_6,RPS8,1.4090596437454224,24,6,0
high_confidence,program_6,MEGF9,1.4084296226501465,25,6,0
high_confidence,program_6,CD247,1.4019954204559326,26,6,0
high_confidence,program_6,SRGAP1,1.3770991563796997,27,6,0
high_confidence,program_6,PPP6R2,1.3681987524032593,28,6,0
high_confidence,program_6,ERBIN,1.361944317817688,29,6,0
high_confidence,program_6,COL1A2,1.3549431562423706,30,6,0
high_confidence,program_6,PGR,1.3401789665222168,31,6,0
high_confidence,program_6,TMEM41B,1.3310258388519287,32,6,0
high_confidence,program_6,RUNX1,1.3307149410247803,33,6,0
high_confidence,program_6,MBP,1.3221230506896973,34,6,0
high_confidence,program_6,DCN,1.3200021982192993,35,6,0
high_confidence,program_6,SKAP1,1.3190041780471802,36,6,0
high_confidence,program_6,ANXA2,1.3171604871749878,37,6,0
high_confidence,program_6,RERE,1.3170608282089233,38,6,0
high_confidence,program_6,ITFG1,1.2923725843429565,39,6,0
high_confidence,program_6,ELL2,1.2816362380981445,40,6,0
high_confidence,program_6,ZFHX3,1.265586018562317,41,6,0
high_confidence,program_6,LYN,1.2628045082092285,42,6,0
high_confidence,program_6,SMAP2,1.2574759721755981,43,6,0
high_confidence,program_6,LHFPL6,1.2513667345046997,44,6,0
high_confidence,program_6,CEP192,1.2413690090179443,45,6,0
high_confidence,program_6,PAN3,1.2412455081939697,46,6,0
high_confidence,program_6,PTMA,1.2229992151260376,47,6,0
high_confidence,program_6,DPYSL2,1.2226797342300415,48,6,0
high_confidence,program_6,TNPO1,1.2128918170928955,49,6,0
high_confidence,program_6,ELF3,1.2085627317428589,50,6,0
broad_lam_like,program_1,MALAT1,3.243103265762329,1,5,1
broad_lam_like,program_1,KYNU,1.840294599533081,2,5,1
broad_lam_like,program_1,PTEN,1.828559160232544,3,5,1
broad_lam_like,program_1,FOXP1,1.8068629503250122,4,5,1
broad_lam_like,program_1,RNF149,1.772591471672058,5,5,1
broad_lam_like,program_1,FAM49A,1.7615792751312256,6,5,1
broad_lam_like,program_1,STK17B,1.7595096826553345,7,5,1
broad_lam_like,program_1,RAB31,1.7526596784591675,8,5,1
broad_lam_like,program_1,UTRN,1.7488452196121216,9,5,1
broad_lam_like,program_1,USP15,1.7362823486328125,10,5,1
broad_lam_like,program_1,MAML3,1.7201582193374634,11,5,1
broad_lam_like,program_1,SRGAP1,1.703403115272522,12,5,1
broad_lam_like,program_1,ETV6,1.6758944988250732,13,5,1
broad_lam_like,program_1,MBNL1,1.671471357345581,14,5,1
broad_lam_like,program_1,GAB2,1.6624864339828491,15,5,1
broad_lam_like,program_1,MTRNR2L8,1.6522895097732544,16,5,1
broad_lam_like,program_1,DOCK2,1.6515241861343384,17,5,1
broad_lam_like,program_1,MED13L,1.6124045848846436,18,5,1
broad_lam_like,program_1,PICALM,1.6063178777694702,19,5,1
broad_lam_like,program_1,PTK2B,1.603347897529602,20,5,1
broad_lam_like,program_1,LYN,1.6013615131378174,21,5,1
broad_lam_like,program_1,PSAP,1.5994868278503418,22,5,1
broad_lam_like,program_1,MAP2K1,1.590983510017395,23,5,1
broad_lam_like,program_1,TXNIP,1.5859912633895874,24,5,1
broad_lam_like,program_1,SRGAP2,1.5810818672180176,25,5,1
broad_lam_like,program_1,SMAP2,1.5783950090408325,26,5,1
broad_lam_like,program_1,DLEU2,1.5690290927886963,27,5,1
broad_lam_like,program_1,DENND1A,1.5533092021942139,28,5,1
broad_lam_like,program_1,JARID2,1.5496240854263306,29,5,1
broad_lam_like,program_1,PRKAG2,1.5314135551452637,30,5,1
broad_lam_like,program_1,DOCK8,1.5200955867767334,31,5,1
broad_lam_like,program_1,MARCH1,1.519404411315918,32,5,1
broad_lam_like,program_1,LRRFIP1,1.5100679397583008,33,5,1
broad_lam_like,program_1,SPIDR,1.5073999166488647,34,5,1
broad_lam_like,program_1,XIST,1.4978984594345093,35,5,1
broad_lam_like,program_1,TLR2,1.4967256784439087,36,5,1
broad_lam_like,program_1,COP1,1.4895429611206055,37,5,1
broad_lam_like,program_1,ZFAND3,1.4870845079421997,38,5,1
broad_lam_like,program_1,PELI1,1.4783271551132202,39,5,1
broad_lam_like,program_1,FTH1,1.4754223823547363,40,5,1
broad_lam_like,program_1,SBF2,1.4658904075622559,41,5,1
