pool,donor_id,candidate_program,gene,weight,rank_position,selected_rank,selected_seed,n_cells
high_confidence,LAM32,program_1,SPPL2A,1.950042724609375,1,6,0,493
high_confidence,LAM32,program_1,PEAK1,1.8531138896942139,2,6,0,493
high_confidence,LAM32,program_1,FNIP2,1.7715859413146973,3,6,0,493
high_confidence,LAM32,program_1,IL17RA,1.7315069437026978,4,6,0,493
high_confidence,LAM32,program_1,LNPEP,1.6204890012741089,5,6,0,493
high_confidence,LAM32,program_1,HLA-DRB1,1.5600460767745972,6,6,0,493
high_confidence,LAM32,program_1,ACADL,1.5152204036712646,7,6,0,493
high_confidence,LAM32,program_1,EVI5,1.475996732711792,8,6,0,493
high_confidence,LAM32,program_1,JMJD1C,1.4507242441177368,9,6,0,493
high_confidence,LAM32,program_1,USP15,1.4343335628509521,10,6,0,493
high_confidence,LAM32,program_1,LRRFIP1,1.3990155458450317,11,6,0,493
high_confidence,LAM32,program_1,HEG1,1.3919323682785034,12,6,0,493
high_confidence,LAM32,program_1,MYO1E,1.3669681549072266,13,6,0,493
high_confidence,LAM32,program_1,PKP4,1.3354923725128174,14,6,0,493
high_confidence,LAM32,program_1,PAPOLA,1.3352065086364746,15,6,0,493
high_confidence,LAM32,program_1,C2CD5,1.2976634502410889,16,6,0,493
high_confidence,LAM32,program_1,ACBD6,1.2728527784347534,17,6,0,493
high_confidence,LAM32,program_1,SH3PXD2B,1.253017544746399,18,6,0,493
high_confidence,LAM32,program_1,STOM,1.211064338684082,19,6,0,493
high_confidence,LAM32,program_1,GREB1,1.201224446296692,20,6,0,493
high_confidence,LAM32,program_1,RAB31,1.197144627571106,21,6,0,493
high_confidence,LAM32,program_1,HHIP,1.1942782402038574,22,6,0,493
high_confidence,LAM32,program_1,AGFG1,1.1596922874450684,23,6,0,493
high_confidence,LAM32,program_1,NFATC3,1.154870867729187,24,6,0,493
high_confidence,LAM32,program_1,TLK2,1.150498390197754,25,6,0,493
high_confidence,LAM32,program_1,EZR,1.1479560136795044,26,6,0,493
high_confidence,LAM32,program_1,DYM,1.1395044326782227,27,6,0,493
high_confidence,LAM32,program_1,FNDC3B,1.1246041059494019,28,6,0,493
high_confidence,LAM32,program_1,RASAL2,1.1229045391082764,29,6,0,493
high_confidence,LAM32,program_1,CCNH,1.1220097541809082,30,6,0,493
high_confidence,LAM32,program_1,SGMS2,1.1172783374786377,31,6,0,493
high_confidence,LAM32,program_1,CEP170,1.0975650548934937,32,6,0,493
high_confidence,LAM32,program_1,RASA2,1.0849753618240356,33,6,0,493
high_confidence,LAM32,program_1,DOCK1,1.066114902496338,34,6,0,493
high_confidence,LAM32,program_1,FOXO1,1.0645767450332642,35,6,0,493
high_confidence,LAM32,program_1,LSAMP,1.0620849132537842,36,6,0,493
high_confidence,LAM32,program_1,KAT6A,1.0597364902496338,37,6,0,493
high_confidence,LAM32,program_1,TCF25,1.0568509101867676,38,6,0,493
high_confidence,LAM32,program_1,RALGAPA2,1.0471277236938477,39,6,0,493
high_confidence,LAM32,program_1,SETD5,1.0390044450759888,40,6,0,493
high_confidence,LAM32,program_1,MYO1F,1.03275465965271,41,6,0,493
high_confidence,LAM32,program_1,PLCL2,1.0279344320297241,42,6,0,493
high_confidence,LAM32,program_1,UNC13B,0.9992653131484985,43,6,0,493
