dataset,patient_id,independence_key,gene,n_cells,n_assayed_cells,not_assayed_fraction,detected_fraction_among_assayed,detected_low_fraction_among_assayed,detected_high_fraction_among_assayed
GSE217108,LAM32,LAM32,DCT,493,493,0.0,0.010141987829614604,0.004056795131845842,0.0
GSE217108,LAM44,LAM44,DCT,582,582,0.0,0.013745704467353952,0.005154639175257732,0.0
GSE302356,LAM18,LAM18,DCT,129,129,0.0,0.0,0.0,0.0
GSE302356,LAM3,LAM3,DCT,1492,1492,0.0,0.03686327077747989,0.015415549597855228,0.004021447721179625
GSE302356,LAM32,LAM32,DCT,335,335,0.0,0.0029850746268656717,0.0,0.0
GSE302356,LAM50,LAM50,DCT,725,725,0.0,0.012413793103448275,0.004137931034482759,0.001379310344827586
GSE135851,LAM1,GSE135851:LAM1,MITF,74,74,0.0,0.3918918918918919,0.13513513513513514,0.0945945945945946
GSE135851,LAM2,GSE135851:LAM2,MITF,154,154,0.0,0.6493506493506493,0.2727272727272727,0.07792207792207792
GSE135851,LAM3,GSE135851:LAM3,MITF,190,190,0.0,0.24210526315789474,0.06315789473684211,0.06315789473684211
GSE135851,LAM4,GSE135851:LAM4,MITF,105,105,0.0,0.3523809523809524,0.11428571428571428,0.13333333333333333
GSE190260,LAM1110,GSE190260:LAM1110,MITF,125,125,0.0,0.648,0.264,0.12
GSE190260,LAM1158,GSE190260:LAM1158,MITF,183,183,0.0,0.8524590163934426,0.4207650273224044,0.07103825136612021
GSE190260,LAM1163,GSE190260:LAM1163,MITF,509,509,0.0,0.5442043222003929,0.16699410609037327,0.14734774066797643
GSE190260,LAM1164,GSE190260:LAM1164,MITF,747,747,0.0,0.6412315930388219,0.12985274431057564,0.16599732262382866
GSE217108,LAM32,LAM32,MITF,493,493,0.0,0.9087221095334685,0.20081135902636918,0.3184584178498986
GSE217108,LAM44,LAM44,MITF,582,582,0.0,0.8505154639175257,0.2766323024054983,0.15463917525773196
GSE302356,LAM18,LAM18,MITF,129,129,0.0,0.4108527131782946,0.10077519379844961,0.10852713178294573
GSE302356,LAM3,LAM3,MITF,1492,1492,0.0,0.8471849865951743,0.23525469168900803,0.2587131367292225
GSE302356,LAM32,LAM32,MITF,335,335,0.0,0.5373134328358209,0.15522388059701492,0.09253731343283582
GSE302356,LAM50,LAM50,MITF,725,725,0.0,0.9117241379310345,0.2413793103448276,0.21379310344827587
GSE135851,LAM1,GSE135851:LAM1,GPNMB,74,74,0.0,0.8378378378378378,0.08108108108108109,0.22972972972972974
GSE135851,LAM2,GSE135851:LAM2,GPNMB,154,154,0.0,0.9415584415584416,0.16233766233766234,0.3116883116883117
GSE135851,LAM3,GSE135851:LAM3,GPNMB,190,190,0.0,0.631578947368421,0.08421052631578947,0.3157894736842105
GSE135851,LAM4,GSE135851:LAM4,GPNMB,105,105,0.0,0.5428571428571428,0.18095238095238095,0.12380952380952381
GSE190260,LAM1110,GSE190260:LAM1110,GPNMB,125,125,0.0,0.704,0.144,0.272
GSE190260,LAM1158,GSE190260:LAM1158,GPNMB,183,183,0.0,0.7431693989071039,0.16939890710382513,0.18579234972677597
GSE190260,LAM1163,GSE190260:LAM1163,GPNMB,509,509,0.0,0.5088408644400786,0.13163064833005894,0.21611001964636542
GSE190260,LAM1164,GSE190260:LAM1164,GPNMB,747,747,0.0,0.7309236947791165,0.17001338688085676,0.18607764390896922
GSE217108,LAM32,LAM32,GPNMB,493,493,0.0,0.5273833671399595,0.10141987829614604,0.22718052738336714
GSE217108,LAM44,LAM44,GPNMB,582,582,0.0,0.4570446735395189,0.17869415807560138,0.06701030927835051
GSE302356,LAM18,LAM18,GPNMB,129,129,0.0,0.4883720930232558,0.03875968992248062,0.2248062015503876
GSE302356,LAM3,LAM3,GPNMB,1492,1492,0.0,0.4008042895442359,0.09450402144772117,0.10388739946380697
GSE302356,LAM32,LAM32,GPNMB,335,335,0.0,0.5044776119402985,0.08059701492537313,0.11940298507462686
GSE302356,LAM50,LAM50,GPNMB,725,725,0.0,0.1503448275862069,0.09517241379310344,0.006896551724137931
