"gene_symbol","GSM2795553","GSM2795554","GSM2795555","GSM2795556","GSM2795557","GSM2795558","GSM2795559","GSM2795560","GSM2795561"
"A1BG",5.28733396530151,5.28881072998047,5.28881072998047,5.23532962799072,5.28881072998047,5.30038833618164,5.28881072998047,5.26208114624023,5.23365831375122
"A1BG-AS1",4.48952484130859,4.57632279396057,4.61985540390015,4.49931383132935,4.49931383132935,4.50230383872986,4.49787163734436,4.49931383132935,4.49931383132935
"A1CF",4.39587092399597,4.4171576499939,4.42343735694885,4.41921591758728,4.41921591758728,4.42360901832581,4.44775414466858,4.37078261375427,4.40443778038025
"A2M",5.03098154067993,5.03098154067993,5.03098154067993,5.03098154067993,5.03098154067993,5.03098154067993,5.03098154067993,5.03098154067993,5.03098154067993
"A2M-AS1",4.46792268753052,4.522784948349,4.62301063537598,4.56072354316711,4.58135056495667,4.64702534675598,4.48069858551025,4.50788044929504,4.55066299438477
"A2ML1",4.66621494293213,4.66621494293213,4.66621494293213,4.66621494293213,4.66621494293213,4.70572662353516,4.66621494293213,4.66621494293213,4.66621494293213
"A4GALT",6.16163492202759,6.19268560409546,6.13279151916504,6.23301649093628,6.18457651138306,6.3231201171875,6.16684865951538,6.18457651138306,6.16330432891846
"A4GNT",3.93782091140747,3.873131275177,3.97673940658569,3.93198013305664,3.94065618515015,4.11585664749146,3.93198013305664,3.80352640151978,3.93198013305664
"AA06",4.72025680541992,4.67764067649841,4.74399542808533,4.88707375526428,4.72155928611755,4.82149887084961,4.71694231033325,4.81276702880859,4.68007612228394
"AAAS",10.1356544494629,10.0548601150513,9.8873233795166,10.168906211853,10.1188011169434,10.1683483123779,9.92920970916748,9.94003677368164,10.0548601150513
"AACS",8.40602397918701,8.42061138153076,8.27859878540039,7.95178031921387,7.93316078186035,7.9449610710144,8.27859878540039,8.35500431060791,8.45517730712891
"AACSP1",4.42281436920166,4.46161413192749,4.46161413192749,4.46161413192749,4.46161413192749,4.46161413192749,4.49863958358765,4.46161413192749,4.46161413192749
"AADAC",4.67361783981323,4.51842546463013,4.70852756500244,4.68909931182861,4.70852756500244,4.70852756500244,4.86809158325195,4.95787620544434,4.97902345657349
"AADACL2",5.65619087219238,5.54145908355713,5.61921882629395,5.59510612487793,5.47819709777832,5.7547721862793,5.5667462348938,5.61049318313599,5.66283655166626
"AADACL3",3.74917411804199,3.57612490653992,3.71944665908813,3.71944665908813,3.71944665908813,3.71944665908813,3.71944665908813,3.71944665908813,3.71944665908813
"AADACL4",4.3181586265564,4.3831958770752,4.46771860122681,4.27704048156738,4.30389785766602,4.28572034835815,4.3181586265564,4.31173706054688,4.23711681365967
"AADACP1",4.48456764221191,4.59850215911865,4.5297155380249,4.68843507766724,4.60727834701538,4.60727834701538,4.68693447113037,4.60727834701538,4.60727834701538
"AADAT",8.07435703277588,8.05730724334717,8.05730724334717,8.05730724334717,8.05730724334717,8.05730724334717,8.05730724334717,8.05730724334717,8.03400325775146
"AAGAB",8.67377662658691,8.62237644195557,8.63948345184326,8.34325122833252,8.29521179199219,8.44639205932617,8.5432710647583,8.5432710647583,8.57025241851807
"AAK1",7.49043869972229,7.37285017967224,7.44137525558472,7.37521076202393,7.40362572669983,7.45269393920898,7.43202710151672,7.43202710151672,7.44423341751099
"AAMDC",6.72838830947876,6.6237416267395,6.6237416267395,6.62491655349731,6.66395235061646,6.6237416267395,6.59198808670044,6.49634122848511,6.53804731369019
"AAMP",7.24915647506714,7.24915647506714,7.24915647506714,7.2308177947998,7.24915647506714,7.24915647506714,7.24915647506714,7.24915647506714,7.40807485580444
"AANAT",5.0147442817688,5.05826759338379,5.17304062843323,5.0147442817688,4.98739051818848,5.05918550491333,4.94910287857056,4.94888949394226,4.99216246604919
"AAR2",6.64969539642334,6.62891817092896,6.60612106323242,6.64969539642334,6.66343355178833,6.64969539642334,6.63163614273071,6.69950246810913,6.64969539642334
"AARD",6.19736289978027,6.2856297492981,6.34905910491943,6.30635595321655,6.24407434463501,6.34164953231812,6.34098482131958,6.30635595321655,6.30635595321655
"AARS1",14.8335599899292,14.8177146911621,14.8177146911621,14.2117080688477,14.1824550628662,14.169732093811,15.2110357284546,15.2618446350098,15.333833694458
"AARS2",6.62270164489746,6.61867904663086,6.61867904663086,6.61867904663086,6.61867904663086,6.61867904663086,6.61867904663086,6.61867904663086,6.61867904663086
"AASDH",7.80391502380371,7.64865827560425,7.66203165054321,8.30649280548096,8.23706436157227,8.08292007446289,7.85491800308228,7.7921314239502,7.79977560043335
"AASDHPPT",9.33760738372803,9.26603698730469,9.33760738372803,9.39478874206543,9.36699295043945,9.3972339630127,9.33769607543945,9.33536243438721,9.33760738372803
"AASS",8.83108997344971,8.83108997344971,8.83108997344971,8.6001615524292,8.67043685913086,8.50178623199463,9.16776847839355,9.37805080413818,9.26535606384277
"AATBC",4.80305767059326,4.82683897018433,4.85419940948486,4.79247045516968,4.79247045516968,4.86018133163452,4.70715284347534,4.76457786560059,4.75309085845947
"AATF",12.6232271194458,12.6263608932495,12.5813703536987,12.5562057495117,12.5562057495117,12.4918918609619,12.4918947219849,12.5468082427979,12.5082530975342
