gene,gse104335_logFC_shGFP_rapamycin_minus_shGFP_vehicle,gse104335_logFC_shSRPK2_vehicle_minus_shGFP_rapamycin,gse104335_logFC_shSRPK2_vehicle_minus_shGFP_vehicle,gse104335_P.Value_shGFP_rapamycin_minus_shGFP_vehicle,gse104335_P.Value_shSRPK2_vehicle_minus_shGFP_rapamycin,gse104335_P.Value_shSRPK2_vehicle_minus_shGFP_vehicle,gse104335_adj.P.Val_shGFP_rapamycin_minus_shGFP_vehicle,gse104335_adj.P.Val_shSRPK2_vehicle_minus_shGFP_rapamycin,gse104335_adj.P.Val_shSRPK2_vehicle_minus_shGFP_vehicle,tsc2_loss_hydrogel,tsc2_loss_hydrogel_moderated_q,residual_hydrogel,residual_hydrogel_moderated_q,hydrogel_specific_residual,hydrogel_specific_residual_moderated_q,escape_hydrogel,escape_hydrogel_moderated_q,environment_dependent_escape,environment_dependent_escape_moderated_q
RN7SL329P,,,,,,,,,,0.0283253870202896,1.0,-0.0796948491977617,0.9640125254301908,-0.0224059009936729,1.0,-0.1080202362180513,1.0,-0.0344580120892243,1.0
RN7SL32P,,,,,,,,,,-0.0151860196657688,1.0,-0.0134422976045679,1.0,-0.0134422976045679,1.0,0.0017437220612008,1.0,0.0017437220612008,1.0
RN7SL330P,,,,,,,,,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
RN7SL331P,,,,,,,,,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
RN7SL332P,,,,,,,,,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
RN7SL333P,,,,,,,,,,-0.0009929825439067,1.0,-0.0081163324405408,1.0,-0.0081163324405408,1.0,-0.007123349896634,1.0,-0.0196566454952741,1.0
RN7SL334P,,,,,,,,,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
RN7SL335P,,,,,,,,,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,-0.0810236377664714,1.0
RN7SL336P,,,,,,,,,,-0.1015623051008317,0.8451555987707808,1.3877787807814457e-17,1.0,-0.0278925309417468,1.0,0.1015623051008317,1.0,-0.0379602868277144,1.0
RN7SL337P,,,,,,,,,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
RN7SL338P,,,,,,,,,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
RN7SL339P,,,,,,,,,,0.0,1.0,0.0198731910774551,1.0,0.0198731910774551,1.0,0.0198731910774551,1.0,0.0029240241127554,1.0
RN7SL33P,,,,,,,,,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,-0.0169491669646996,1.0
RN7SL340P,,,,,,,,,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
RN7SL341P,,,,,,,,,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
RN7SL342P,,,,,,,,,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
RN7SL344P,,,,,,,,,,0.0,1.0,0.0314816333609074,1.0,0.0314816333609074,1.0,0.0314816333609074,1.0,0.0314816333609074,1.0
RN7SL346P,,,,,,,,,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
RN7SL34P,,,,,,,,,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
RN7SL350P,,,,,,,,,,-0.0165605357342728,1.0,0.0956172571514823,0.4299936852193284,0.0956172571514823,1.0,0.1121777928857551,0.6699517269345524,0.1121777928857551,1.0
RN7SL351P,,,,,,,,,,-0.1727933098759195,0.2990349547809546,-0.0544544798139668,1.0,-0.0907294254978806,1.0,0.1183388300619527,1.0,0.0485546716281466,1.0
RN7SL352P,,,,,,,,,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0303258529771674,1.0
RN7SL353P,,,,,,,,,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
