"gene_symbol","contrast","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"A1BG","shGFP_rapamycin_minus_shGFP_vehicle",-0.01347557703654,5.27489270104302,-0.654964424102369,0.533551185640499,0.754396558000462,-7.59562931657874
"A1BG-AS1","shGFP_rapamycin_minus_shGFP_vehicle",-0.0615905125935869,4.52034820450677,-2.06304820276345,0.078284158797484,0.241991301234494,-5.93805170207667
"A1CF","shGFP_rapamycin_minus_shGFP_vehicle",0.00852497418721576,4.41349792480469,0.44134172707405,0.672363945119144,0.854073310726172,-7.7236235727326
"A2M","shGFP_rapamycin_minus_shGFP_vehicle",0,5.03098154067993,0,1,1,-7.8333186437197
"A2M-AS1","shGFP_rapamycin_minus_shGFP_vehicle",0.0584603945414228,4.5491177505917,1.35538914414216,0.217671884090167,0.469765750392264,-6.90264293290118
"A2ML1","shGFP_rapamycin_minus_shGFP_vehicle",0.0131705602010088,4.6706051296658,1.08957625040417,0.312215690721046,0.563827580448657,-7.20751357927968
"A4GALT","shGFP_rapamycin_minus_shGFP_vehicle",0.08453369140625,6.19361718495687,2.4492508540613,0.0443838412060143,0.16241092813425,-5.36496012006742
"A4GNT","shGFP_rapamycin_minus_shGFP_vehicle",0.0669337908426919,3.9381856918335,1.10182302297339,0.307211590174163,0.558545290933331,-7.1944485341775
"AA06","shGFP_rapamycin_minus_shGFP_vehicle",0.0960796674092634,4.75353447596232,1.92353369298473,0.0961117061202493,0.2788534029044,-6.13993507074712
"AAAS","shGFP_rapamycin_minus_shGFP_vehicle",0.126072565714519,10.0508889092339,1.94269795817204,0.093444478969964,0.273643306716802,-6.11243869305497
"AACS","shGFP_rapamycin_minus_shGFP_vehicle",-0.425110658009846,8.22487963570489,-8.12504546021974,8.56344234256806e-05,0.00131757983533335,1.45719376955463
"AACSP1","shGFP_rapamycin_minus_shGFP_vehicle",0.0129332542419442,4.46141698625353,0.852460795539223,0.422347462564544,0.662837402685805,-7.43867078555601
"AADAC","shGFP_rapamycin_minus_shGFP_vehicle",0.0685278574625663,4.75685739517212,1.31895952746318,0.228960158964311,0.484120746448238,-6.94687708753423
"AADACL2","shGFP_rapamycin_minus_shGFP_vehicle",0.00373554229736506,5.60944668451945,0.0536712676459025,0.958706596488983,1,-7.83167406960665
"AADACL3","shGFP_rapamycin_minus_shGFP_vehicle",0.0378647645314523,3.70682507091098,0.921567281616592,0.387612848892427,0.632961563790324,-7.37580009732957
"AADACL4","shGFP_rapamycin_minus_shGFP_vehicle",-0.100804805755615,4.32252714369032,-2.56047970252432,0.0377394253489906,0.144306678409462,-5.19794711925695
"AADACP1","shGFP_rapamycin_minus_shGFP_vehicle",0.096735477447508,4.60191869735718,2.49422788522112,0.0415624087299915,0.154766733021974,-5.29747072342768
"AADAT","shGFP_rapamycin_minus_shGFP_vehicle",-0.00568326314290246,8.05661233266195,-0.56941511016535,0.586990278165226,0.795225653064228,-7.65236485358001
"AAGAB","shGFP_rapamycin_minus_shGFP_vehicle",-0.283593813578289,8.51969846089681,-7.66618221412916,0.000123733984630472,0.00173215082107446,1.0476028105807
"AAK1","shGFP_rapamycin_minus_shGFP_vehicle",-0.0243779023488342,7.42716468705071,-0.763518941862688,0.470262948788183,0.70338045061928,-7.51367117502201
