gene,mean,median,max,count
P4HB,0.7393728520416666,0.484855576,3.382772792,24
GPI,0.7783885241764705,0.193201,3.380099895,17
MARC1,1.075029292857143,0.709231916,3.379573089,7
RABEPK,0.9235017768333332,0.48812526450000004,3.377788226,6
CECR2,0.8206985378333332,0.20572525,3.373893727,6
RPL36A-HNRNPH2,2.1152225,2.1152225,3.373785,2
ARC,1.9854625,1.9854625,3.373675,2
DEAF1,1.0258669492499999,0.7591381495,3.373305,12
FAM8A1,3.373277009,3.373277009,3.373277009,1
ISG20L2,1.9488757313333334,2.061708263,3.371285361,6
VARS2,0.2534253434171654,0.0,3.370375,78
PMPCA,1.1894939180833333,0.6322182055000001,3.369169922,12
HNRNPL,1.2296165014285714,0.8433074965,3.363182797,14
ANKRD18A,1.2363234263333334,0.223368779,3.3601,3
C9orf16,1.57830905125,1.0321000489999999,3.357078433,4
NUP62,0.6206353091,0.4651725,3.35371139,23
SDC2,1.14872139975,0.14812425,3.351050753,8
PDCD5,1.0883532572499999,0.8165097675,3.350027424,8
EIF3K,0.9705374315,0.5849061995,3.349123864,14
RIOK1,1.0118135236,0.554535643,3.348286805,5
RNF38,0.43241981650000005,0.068817916,3.340716847,10
ZRANB1,1.87682647,1.87682647,3.339750864,2
PDXP,1.7913035465,1.7913035465,3.335630334,2
GTF2H2,0.388204999425,0.058825,3.335352838,40
UBA2,2.0164835246,2.3204669805,3.334303248,10
SAMD5,1.7543961019999998,1.7543961019999998,3.331940204,2
C10orf35,1.4360214669999998,0.9783,3.329764401,3
PRKCB,0.5891861299000001,0.0,3.329275421,10
GREB1L,0.6844570665454546,0.282979927,3.327781413,11
ENSA,0.8543961195714286,0.5305946065,3.325107721,14
MCTS2P,3.322472904,3.322472904,3.322472904,1
SYNGR1,1.1060675307142858,0.4137435,3.322165,7
CCDC117,0.662019778,0.18378275,3.320192168,6
RPL7A,1.7561573350000002,1.675462403,3.317167312,18
SRP9,1.6705077983999999,1.237304588,3.315363682,5
PVRL2,1.6622929776666666,1.5961616335,3.314201982,6
ZRANB2,1.108705612375,0.954336738,3.311444503,8
TPM3,0.5395284361304348,0.370303,3.308869995,23
NDNF,0.847786073,0.0412765,3.308591292,4
CXCL1,1.704255315,1.704255315,3.30825463,2
RAB11FIP1,1.4003072368333334,1.082019093,3.305821489,6
TBC1D30,1.1801414013333333,0.7379609895,3.30343,6
MRRF,1.0515144909166667,0.8917459145,3.30290137,12
TAF4B,1.18104785875,0.711211305,3.301768825,4
SLC25A15,0.87603070525,0.103555,3.297012821,4
NET1,0.9772733480000001,0.260762653,3.29584887,6
DLX2,1.7470986405,1.7470986405,3.29441944,2
COPS3,0.7823573887777777,0.5165857535,3.29278,18
RABGGTA,0.4200329282857143,0.190157,3.292039749,21
UBB,1.6286122316666667,1.817110859,3.287874806,9
CCT3,1.032451400790625,0.6091365925000001,3.287775765,16
DDX1,1.2328835005,1.08433018,3.287357633,8
PODXL2,3.284652004,3.284652004,3.284652004,1
ALDH1A2,0.32810934348000004,0.042338026,3.283042925,25
APOC1,1.2237285393333335,0.945360976,3.276205,9
DCAKD,0.641279763375,0.2773245105,3.274529867,8
DDT,0.9547663927857143,0.256932,3.26900226,14
TCOF1,0.9938229078,0.480894368,3.246778219,15
POLR3K,2.342793979,2.342793979,3.242994277,2
