gene_symbol,tpm.103cell_siCtrl,tpm.103cell_siSTAT3,tpm.103cell_Rap,tpm.102cell_siCtrl,tpm.102cell_siSTAT3,tpm.102cell_Rap
RTTN,17.332895,20.25721066,15.2271062,8.3320569,7.9129960761249,8.239017
MACROD1,31.806012199999998,35.094466000000004,35.234662,22.1303494,17.426506,24.818334
LGALS12,0.0414843,0.0895696,0.0854309,0.2394733,0.381517,0.135846
RARRES3,13.470728999999999,12.986983,32.398593,10.1387,12.942415,7.14944
HRASLS2,0.460998,0.199086,0.28451,0.187805,0.183916,0.120648
ZNF679,0.138757,0.0500229,0.115005,0.0,0.0307244,0.0908672
FOPNL,59.0864,69.182331,51.324835,43.185907,50.602703,36.607265999999996
MED10,63.767709999999994,65.80018,62.6116,39.26459,41.657959999999996,39.85198
CCDC134,3.935405,3.500693,3.07454,13.4061,10.3597,6.64276
SLC2A11,4.5279567,2.34336257,3.1317254305319002,3.758797,3.243084448707,3.61997340563721
SEC14L4,0.0742969,0.169944,0.112112,0.0815039,0.118455,0.153303
PI4KA,27.1043238,26.726986999999998,24.290357,46.130721,37.55003,33.773161
ZDHHC8P1,0.236692,0.112823,0.299548,0.1596843,0.0243619,0.1620553
GIMAP4,0.0,0.0,0.0,0.0185422,0.0,0.0
MKRN1,74.372868,75.16487599999999,90.08108,68.143925447,67.68973,69.2358991
ACTR3B,6.471377,4.113154,5.0371310000000005,13.787799099999999,15.568001899999999,11.3108474
NTS,0.22044,0.180067,0.100658,0.463125,0.519611,0.73628
BTG1,73.77969999999999,83.4242,115.832,34.4536,34.1609,31.695700000000002
ATP13A3,183.745173,198.656684,152.427705,96.0029421,96.15571680000001,46.6971147
DYDC2,0.06691033566480001,0.036116435645,0.0,0.07045645394200001,0.26853056006,0.263055803505
TMTC1,9.854906,10.315024999999999,9.264928600000001,13.596376,12.9096549,7.8963085
KRAS,18.838853000000004,21.349120999999997,19.370439,29.562423,28.415007999999997,19.370041
IPO8,50.030058000000004,48.169830000000005,47.398830000000004,60.189077000000005,61.462488,46.066447000000004
SPINK5,0.0,0.0,0.0595955,1.621839,1.114869,1.4519643
PMP2,0.0150432,0.0,0.0310023,0.0203167,0.0405116,0.00993223
FABP4,3.303629,3.1337200000000003,1.81905,0.0,0.1049875,0.206062
IMPA1,29.598827,30.722703,26.20651,41.928574000000005,41.850151,28.709903999999998
E2F5,8.743278,9.210412999999999,6.5817664,30.613194,33.356656,27.593645000000002
CCDC59,62.558932,67.394811,59.380834,76.55824100000001,81.699692,67.302031
LYVE1,0.0,0.0,0.0,0.0,0.0,0.0
MICALCL,0.6674981,0.21382,0.129848,0.0607763,0.0478164,0.0707898
SBF2,30.8874678,36.258238,39.935245,12.0212422,11.2148231,11.6275394
MICAL2,41.8154949,43.5249988,29.3329858,12.1575749,12.55728042,4.1377927
RRAS2,103.79247799999999,103.868713,79.4960085,52.793907000000004,58.75251892,38.1051177
HSD17B4,181.2569962397261,224.312266,236.484936,225.249212,184.837842,142.559484
TEX15,3.5496299999999996,4.070784,2.7911,8.746843,7.548791,2.444806
SARAF,72.182164,82.55493799999999,97.783282,105.627571,114.263079,130.198914
RNF122,1.1313,0.693162,1.08741,19.1523,20.2228,21.8719
DUSP26,0.0311866,0.0,0.0,0.0,0.0,0.0617583
C14orf1,39.6718,37.8458,48.8975,36.2526,37.2337,38.4713
C14orf159,69.2078280594491,68.59261009433,66.78773530274123,11.342428000176877,10.1535352,10.10335310515684
UNC79,0.022984329999999997,0.04515283,0.02396263,0.0717043,0.050288,0.0718876
CATSPERB,0.283813,0.844656,0.212695,1.7763425,1.288411,0.9588185
VRTN,0.0,0.0,0.0161658,0.042363,0.0625011,0.2714675
SYNJ2BP,21.435209999999998,25.125799999999998,23.7892,27.090360000000004,31.5199,22.05209
TTC9,0.0102331,0.0662804,0.0527181,1.6569,1.70492,1.74359
MED6,43.384606,46.394436999999996,37.385507,58.211642,63.271023,50.3843987
EIF2S1,217.68595,244.14683,194.87442,281.47052,315.38436,202.30213
ADAM20,0.0788921,0.0,0.0609525,0.0399478,0.0,0.0129227
ELP3,22.447182,23.62494,25.929412,31.351949240849997,28.624253,29.40859200581914
PEBP4,0.0,0.0,0.0,0.0,0.0962115,0.0
ADAMDEC1,0.114804,0.0,0.0,0.0160707,0.0763717,0.0
CTIF,13.464567,11.278096,11.820853,10.142852000000001,8.1230124,7.459713000000001
MRO,0.0413914,0.1862173,0.0213307,0.2356733,0.3236087,0.0475912
MBD2,115.6191472,128.75310000000002,103.4950465,46.391792,47.692793,33.014987
IER3IP1,43.5345,47.7359,40.4132,18.246,18.6051,19.0915
MRPS36,46.131832,43.354808,38.829696,50.527878,50.865952,49.542398
CCNB1,211.780023,233.806585,190.989767,264.099833,286.486384,273.12264200000004
CDK7,11.08615814,23.3551054,10.6518581,8.22155256,13.7951777,9.6191611
CD180,0.0202464,0.0323352,0.0207841,0.0,0.0134247,0.0195731
IL5RA,0.00965031,0.0208352,0.0,0.09242974999999999,0.0512445,0.01856448
IRAK2,20.1184,22.3194,27.0681,6.59643,6.48307,4.73231
CAMK1,28.355317999999997,27.656104,30.0934336,45.669016199999994,44.915417399999995,52.314411
VHL,45.57299999999999,43.768299999999996,44.231469999999995,70.73286,66.99179000000001,50.09124
BHLHE40,58.02865,49.714828,67.300147,41.243235000000006,35.786288,28.194869999999998
ARL8B,139.314230885,162.10423915,142.34556291119998,48.856514556,50.83883047,35.752210399
EDEM1,46.916325,52.879802,47.9280323,17.41788,18.780070000000002,11.352164
CHL1,0.0,0.0,0.0,0.0,0.0143654,0.0
DPH6,4.1599205,5.664931500000001,4.2525063,8.191698200000001,9.8583943,10.915244
KATNBL1,14.3506773,17.196664000000002,15.674115,22.226145,21.865931,19.619142
EMC7,65.303,66.769056,62.370138833,79.338119,84.489735,79.13526519999999
TRPM1,0.0,0.0,0.00995871,0.03027991,0.0233401,0.0667063
AMPD2,84.60128,66.037593,41.666851,47.789782,41.069804,34.8972083
REG4,0.0626515,0.0473797,0.090376,0.078343,0.0291522,0.07857399999999999
TSHB,0.0,0.0,0.0,0.0,0.0,0.0
GSTM5,0.1343412,0.0276325,0.0395587,0.00863626,0.0169917,0.08789920000000001
GSTM3,97.163399,99.927068,91.988188,129.574165,155.680735,132.213937
SORT1,13.085944,12.100453,15.431989999999999,20.363885,19.701151,16.842775
WNT2B,0.2353779,0.1898783,0.32279,1.2010210000000001,1.3310279999999999,1.075149
LAMTOR5,250.61892799999998,282.301878,241.735772,55.301536999999996,54.874895699999996,47.033933999999995
NOTCH2,74.5308032,77.6574437,72.84778639999999,36.70215634,35.192256990000004,15.805663
TRIM45,8.306056,9.309593999999999,9.589868,4.71187,4.443733,5.449215000000001
CD101,1.763879,1.1473499999999999,1.0220535000000002,5.8494720000000004,4.62651,3.9967014
RP5-1025A1.2,0.0,0.0,0.0,0.0,0.0,0.0
AP4B1,17.919679,17.2308586614123,15.825742,20.603487625,17.915074,19.178677
PPHLN1,64.2634322,69.4058660929,60.581183,80.4919560386716,78.3750840003,62.372800000000005
FKBP11,45.537957,44.351346,48.002759,17.360355000000002,16.127516,12.42631300804286
ARF3,152.353316,160.20427,170.471266,153.11458,154.08904,132.69915400000002
TMEM106C,332.390298,364.97308400000003,400.31289400000003,207.716961,226.40546785,253.891464
SLC38A2,354.82498400000003,396.889187,347.308252,155.838087,151.517798,77.082791
PLEKHA8P1,20.00101,23.10395,17.91011,13.71556,13.869299999999999,12.31054
KIDINS220,31.7007503,33.950919999999996,30.479428,29.594541,27.790497,16.2712122
LPIN1,119.70272800000001,93.418763,93.93003499999999,42.833085,16.835413300000003,7.7156208
CMPK2,23.092177,23.110852,45.321106,2.303743,2.337637382,0.69849395
SAA2,0.148036,0.0,0.35342149999999994,0.54549,0.2069629,0.269686
ANO3,0.0,0.0514573,0.0,0.0322776,0.034969570000000005,0.0156802
FST,3.858492,2.758391,3.628422,3.410478,2.755189,3.1464090000000002
CFHR5,0.0,0.0,0.0,0.0,0.0,0.0
ERN2,0.10951029999999999,0.1524739,0.2025873,0.1401882,0.1944815,0.1825671
NEDD4L,104.6835574,102.633152,76.13314180334055,20.5672903526,15.7297355,13.10093239
