gene,102cell_siSTAT3_minus_siCtrl,102cell_rapamycin_minus_siCtrl,102cell_siSTAT3_minus_rapamycin,103cell_siSTAT3_minus_siCtrl,103cell_rapamycin_minus_siCtrl,103cell_siSTAT3_minus_rapamycin
ARF5,0.14267055056014222,0.6240883888607511,-0.4814178383006089,-0.0019071749409480532,0.14876292070133879,-0.15067009564228684
M6PR,-0.04239406260109302,-0.8066921091237287,0.7642980465226357,0.1337523705900434,-0.010107310991644525,0.14385968158168794
ESRRA,-0.022115540241571807,0.31577545950604735,-0.33789099974761916,-0.3917467070890508,-0.1495045699409836,-0.2422421371480672
FKBP4,0.052768847662576945,-0.422015066121765,0.4747839137843419,0.051666310575443575,-0.5735936061233531,0.6252599166987967
CYP26B1,-0.11242169332916241,-0.12471013000521225,0.012288436676049841,-0.052444820776769575,0.07544695714042801,-0.12789177791719758
NDUFAF7,-0.005582063682791016,-0.24495509239200697,0.23937302870921595,-0.23942699270924406,-0.09497129289678163,-0.14445569981246242
FUCA2,0.07991478884794745,-0.1986103671354824,0.27852515598342986,0.10328586683999763,0.03510730983440968,0.06817855700558795
DBNDD1,-0.12022788103334658,0.28225706405186246,-0.40248494508520904,-0.18626043119898084,0.3363753928553954,-0.5226358240543763
HS3ST1,-0.03162993274079081,-0.019265403408519313,-0.012364529332271498,0.0403912744137498,0.0194091475059182,0.020982126907831602
SEMA3F,-0.3479323718574343,-0.610807928891612,0.26287555703417764,-0.0690399850387049,0.324228094229448,-0.3932680792681529
CFTR,1.241234816117108,-0.04682773726318154,1.2880625533802894,1.2030592473651542,1.2232367755089062,-0.020177528143751955
CYP51A1,0.12518371547658536,-0.33481156360004416,0.4599952790766295,0.12711179442527065,0.4813055608960566,-0.35419376647078593
USP28,-0.04802382857024057,-0.5081423665386415,0.46011853796840096,0.02870399003412505,0.17492381932659384,-0.1462198292924688
STPG1,-0.054273017042302474,0.223664611793029,-0.27793762883533146,-0.15700884893369382,0.032574241367084866,-0.1895830903007787
NIPAL3,0.034312121731324474,0.022617759247754776,0.011694362483569698,-0.003540498731231523,0.25531945840739123,-0.25885995713862275
TMEM176A,-0.04521026898994085,0.27492324374072996,-0.3201335127306708,0.1958387512881753,-0.09686997805708247,0.29270872934525777
SLC7A2,-0.014944033123375,-0.8017826369847936,0.7868386038614186,-0.1487751662289133,-0.2328459432244364,0.08407077699552312
HSPB6,0.2657449175064396,0.10315610729095442,0.16258881021548516,-0.19764484148208705,0.3435457532742081,-0.5411905947562952
ZNF195,-0.02208872763651204,-0.46059814765960905,0.438509420023097,-0.14097308930993613,-0.6412363017940503,0.5002632124841142
PDK4,-0.12947558288358774,-0.043134106158501107,-0.08634147672508663,0.0352774799458746,0.5801692010358526,-0.544891721089978
CCL26,-0.8544814084177205,-0.7890431571609472,-0.06543825125677327,-0.26239166452660756,-0.07551696526309737,-0.1868746992635102
USH1C,-0.030966613767426487,0.4240510028571596,-0.45501761662458606,0.0,0.0,0.0
RALA,0.030993923576535742,-0.034297461159291665,0.0652913847358274,0.05443750154042615,0.12315104518782949,-0.06871354364740334
BCAP29,0.1479627249997444,-0.2592906826493966,0.407253407649141,0.1566244454243675,0.3300985462925219,-0.1734741008681544
BAIAP2L1,-0.045980353427011345,-0.09487094593162926,0.048890592504617914,0.04643810668834192,0.2949963899013932,-0.2485582832130513
CACNG3,0.03297053832365673,-0.01719232543545806,0.05016286375911479,0.0,0.026911080633754032,-0.026911080633754032
TMEM132A,-0.17747457274355138,-0.09454701410916666,-0.08292755863438472,-0.21275959023530877,0.16695796986694678,-0.37971756010225555
DVL2,-0.29532589411675314,-0.09279327293045636,-0.20253262118629678,-0.2005867494063054,-0.08145658652747922,-0.11913016287882616
GGCT,-0.023222323579441984,-0.07862905933289,0.05540673575344801,0.11840438626807259,-0.008229473650916752,0.12663385991898934
RPAP3,0.019905856184353254,-0.21193679339508087,0.23184264957943412,0.05042338727568563,-0.05991971160453957,0.1103430988802252
IFRD1,0.006580823141240977,-0.7543222997644738,0.7609031229057148,0.06748478346829057,-0.53594573800041,0.6034305214687006
UPP2,-0.024389471603606064,0.018220969076595026,-0.04261044068020109,0.15319557044290413,0.20121537027999495,-0.048019799837090815
PRSS21,0.1498244977306551,-0.36445345764164394,0.514277955372299,-0.06998548467428425,-0.22339783546130715,0.1534123507870229
HOXA11,0.07185764819710272,-0.06978326882214603,0.14164091701924875,-0.0267077787198442,-0.2537830654697375,0.2270752867498933
CX3CL1,0.06493493840106053,0.045726994515195046,0.019207943885865483,0.0193735243925188,0.00486571374153888,0.014507810650979919
PRR5,-0.0798528852263849,-0.06295342760054634,-0.016899457625838554,-0.20386908259662706,-0.20943123595509838,0.005562153358471329
TRAPPC6A,0.18894770115779203,1.283735900945567,-1.094788199787775,-0.21761017037413022,0.6955280255478142,-0.9131381959219445
SPATA20,-0.1714840010393064,0.08974290919791805,-0.26122691023722444,-0.21852290399287444,0.19336919889606907,-0.4118921028889435
CEACAM7,0.0,0.0,0.0,0.0,0.0,0.0
CD79B,-0.0067748128737899205,0.18629948919480982,-0.19307430206859974,0.0,0.0,0.0
RHBDD2,0.004845757060556011,0.08846683611170647,-0.08362107905115046,-0.21681589207444318,-0.08784068659264932,-0.12897520548179386
RPUSD1,-0.30028487651447744,-0.08850534938389476,-0.21177952713058268,-0.4354915294901356,-0.3851191202934321,-0.050372409196703494
TSR3,-0.10352816625172423,0.44128653356308245,-0.5448146998148067,-0.44505554124677804,-0.24610989441445774,-0.1989456468323203
OSBPL7,-0.6543840704243069,-0.2771526419712571,-0.3772314284530498,0.30735840611527543,0.1474003121455012,0.15995809396977423
ARHGAP33,-0.6909542546734477,-0.961760975014081,0.27080672034063324,-0.3486120621255482,0.9058309002582603,-1.2544429623838085
NDUFAB1,0.15631710434504686,0.1482676189381813,0.008049485406865564,0.2298330478171513,-0.027011390612498687,0.25684443842965
YBX2,-0.09709106361669465,-0.2511933618402371,0.15410229822354243,0.261922598957811,0.4283333550207671,-0.16641075606295608
PDK2,-0.19661622573106108,0.2912965564564649,-0.487912782187526,-0.01800680877886407,0.4897497929075323,-0.5077566016863964
ITGA3,-0.12595228406044523,-1.2680316599018848,1.1420793758414396,-0.0016074709987599078,0.15602425578405388,-0.15763172678281379
KRT33A,0.0,0.0,0.0,0.0,0.0,0.0
LRRC23,-0.11894756753835178,0.6386784281358739,-0.7576259956742257,0.045273431169138956,0.34432700856483356,-0.2990535773956946
IL32,0.5012096604613316,0.7393123019461916,-0.23810264148485993,-0.028014732598785175,-0.07877795449950031,0.05076322190071514
TFAP2D,0.0,0.0,0.0,0.0,0.0,0.0
SPRTN,0.04000684461494508,-0.42340835176019453,0.4634151963751396,0.02607698395161817,-0.46418961535258996,0.49026659930420813
CRY1,-0.0380890992172791,-0.46858968409212576,0.43050058487484666,0.09073427172553128,-0.48305945423958097,0.5737937259651122
MAPK8IP2,-0.1878180720095588,0.00696691995980947,-0.19478499196936827,-0.2534457725859093,-0.1210477947713321,-0.13239797781457718
PGLYRP1,-0.16842879386007215,-0.16982846789699585,0.0013996740369237037,0.0,0.0,0.0
STARD3NL,0.04668785453666757,-0.03210077235437758,0.07878862689104515,0.04340758354688301,0.024156982019836626,0.019250601527046385
CAMK1G,0.20637606310366782,0.13014489349387326,0.07623116960979456,0.24693517633788453,0.10481384957687467,0.14212132676100986
CD9,-0.057308514748871,0.17954867096368332,-0.23685718571255432,0.11446218264487573,0.7662679773263896,-0.6518057946815139
CD74,-0.38328558391821277,-0.46881514593349216,0.08552956201527939,-0.2758067615663906,0.7093134864949864,-0.985120248061377
RPS20,0.07657790150574328,0.42615288817872354,-0.34957498667298026,0.09557001254049702,0.1065045096958368,-0.010934497155339784
DYRK4,-0.07188001243269415,0.08059087499373074,-0.1524708874264249,0.0945288226720491,0.014844518918597949,0.07968430375345115
FAM76A,-0.06244803280457045,-0.3608171662260098,0.29836913342143934,0.05013036163249085,-0.06370923939419093,0.11383960102668178
MGST1,0.06026526332475157,-0.6358087053791088,0.6960739687038604,0.1437972068235851,-0.1615195656565298,0.3053167724801149
CPA1,0.0,0.0,0.0,0.0,0.0,0.0
SYPL1,-0.03782291885089695,-0.2587845738363681,0.22096165498547116,0.08427775342265953,0.1484465049240482,-0.06416875150138868
RANBP9,-0.0314656480944171,-0.29515035246301125,0.26368470436859415,0.03253158226660968,0.03163910768047273,0.0008924745861369487
CD4,-0.03624121948674419,-0.1582327418108348,0.1219915223240906,0.0931653687404922,0.3529368175122519,-0.2597714487717597
PLEKHG6,0.17877510207789593,0.005836240127483711,0.17293886195041222,-0.37090479137513466,-0.25791254745629066,-0.112992243918844
SS18L2,0.120898144411699,-0.007799423232806468,0.12869756764450546,0.2257925826574807,0.06524807246365327,0.16054451019382743
VPS13D,-0.05461069965301846,-0.6025435706324953,0.5479328709794768,0.11976696414635679,0.010102530544817245,0.10966443360153955
TSPAN9,0.02162765573018799,-0.010290981240570929,0.03191863697075892,-0.42106393740558,0.1030115755247829,-0.5240755129303629
CYP4F2,-0.007744308420129242,0.005437402640591449,-0.013181711060720691,0.008934584414007962,0.09054320848913944,-0.08160862407513148
QPCTL,-0.1861395943506099,-0.29011981644557316,0.10398022209496327,-0.4105381180006784,-0.26232609513592253,-0.14821202286475588
HIVEP2,-0.19104661039511317,-1.0516980492661778,0.8606514388710647,0.10768214454425307,0.41188368839071465,-0.3042015438464616
PPP5C,0.1140512141368113,-0.11417845313442587,0.22822966727123717,0.1649175782993071,0.11736342517496645,0.04755415312434064
NME1,0.20288439187558005,0.05958975704846381,0.14329463482711624,0.04859244718268041,-0.3131730126551986,0.361765459837879
UBR7,0.002728312311806924,-0.3099172103315695,0.3126455226433764,0.15867501442755305,0.12449371021044797,0.03418130421710508
MAP4K5,-0.13092186675816997,-0.45845935710970753,0.32753749035153756,0.01764177620937879,-0.08098295625789298,0.09862473246727177
INMT,-0.0007475697667164161,-0.04387347948256327,0.04312590971584685,-0.02424066195223315,-0.06001479598500535,0.0357741340327722
ERCC1,0.06391278097334929,0.4788209391534046,-0.41490815818005533,-0.14368783417141273,0.040000659322966925,-0.18368849349437966
ABHD5,-0.13636018114369897,-0.6484465474815271,0.5120863663378281,-0.031537042674315785,-0.46299536615611014,0.43145832348179436
GPRC5A,-0.3558779875953477,-0.5664231827506625,0.21054519515531478,0.06909158463503928,0.38915448477110814,-0.32006290013606886
HEBP1,0.07188138720077042,-0.0035510545369916713,0.07543244173776209,0.05389879178448531,-0.06989619174434125,0.12379498352882656
DNASE1L1,-0.05506955974832772,0.1476162960923637,-0.20268585584069143,-0.2998751473779615,0.13069455859001877,-0.4305697059679803
COX15,-0.03857095448325598,-0.1755119022970213,0.1369409478137653,-0.087095416955151,-0.1527158697365225,0.06562045278137152
MS4A12,0.0,0.0,0.0,0.0,0.0,0.0
RGPD5,0.13827546645151845,-1.2052892417959176,1.343564708247436,0.060460547822676514,0.20392327087893714,-0.14346272305626062
XYLT2,-0.1667009315985064,0.11685241453137785,-0.28355334612988425,-0.22486826692782014,0.10296282288167236,-0.3278310898094925
FTSJ1,-0.13206215438148483,-0.11766252389264853,-0.014399630488836301,-0.15935272777122744,-0.05435715780400052,-0.10499556996722692
SCTR,0.02339901131049989,0.21840152323184533,-0.19500251192134543,0.0,0.0,0.0
RALBP1,-0.011817602164706287,-0.1943454477281037,0.1825278455633974,-0.08375870365857363,0.04313393826807488,-0.1268926419266485
PSD,-0.002012724797097132,0.28404259955501643,-0.28605532435211356,0.014632264257395278,-0.07757152849060533,0.09220379274800061
SYT13,-0.08387421929356356,-0.14859401393480354,0.06471979464123997,0.0023944159979178217,-0.014268983460635863,0.016663399458553683
SNAI2,-0.022251853947311773,-0.19773556511734292,0.17548371117003114,-0.053151026784641786,-0.5199797098565346,0.46682868307189285
VDAC3,0.15238211829168602,0.03469269352944071,0.11768942476224531,0.22199168856345608,0.025720794903403288,0.1962708936600528
SLC7A9,0.0826277221424927,0.11712071742598301,-0.03449299528349031,0.14241701667766957,-0.04652821845487565,0.18894523513254521
GABRA1,0.0,0.0,0.0,0.0,0.0,0.0
RTFDC1,0.010751970008016087,0.0034618050557257973,0.00729016495229029,0.041738485135740966,-0.11819017655353647,0.15992866168927744
SLC45A4,0.0013090310671453054,-0.11132315608219523,0.11263218714934053,0.44097491603334804,0.062259559641940854,0.3787153563914072
RB1CC1,-0.07557517263326208,-0.4329263775486618,0.35735120491539973,0.13486015103105942,0.3213788100190573,-0.1865186589879979
AKAP11,-0.12807135252740665,-0.9677428281884937,0.839671475661087,0.04790155603633561,-0.11036052788039674,0.15826208391673235
STRAP,0.028389266363078924,-0.0797387672369716,0.10812803360005052,0.15089478082296015,-0.1307167618969043,0.28161154271986444
PIGQ,-0.32172292741062947,0.36858105884124637,-0.6903039862518758,-0.6826695947381509,0.03771664550466092,-0.7203862402428118
CDH17,-0.13423651733108732,-0.01646119239614785,-0.11777532493493947,-0.42841117473975465,-0.5931228844097931,0.1647117096700385
RNASET2,-0.10201608735552448,0.24813050529154967,-0.35014659264707415,0.055664515131629067,0.3279833773037941,-0.27231886217216505
B4GALT7,0.06407976919960223,0.663913254767909,-0.5998334855683067,-0.14479463609264087,0.09076284611628527,-0.23555748220892614
SLC39A9,0.03938486798850249,-0.4060162969986507,0.4454011649871532,0.10444541665056928,0.04854131087310076,0.055904105777468516
FAM13B,-0.03616205949739992,-0.542309617137001,0.5061475576396011,0.13831322643107136,0.006719393760024062,0.1315938326710473
RANBP3,-0.1463918213494999,-0.22631700256202336,0.07992518121252346,0.0033084241780887425,-0.15204587068680642,0.15535429486489516
CHPF2,-0.09154702779797042,0.027240557779390606,-0.11878758557736102,-0.31601338102101195,-0.36577948083295997,0.04976609981194802
LRRC7,-0.14917790346237458,-0.258681426406024,0.1095035229436494,-0.4430493457098623,-0.10010990535283848,-0.34293944035702384
