"sample","gsm","group"
"GSM2795553","GSM2795553","shGFP_vehicle"
"GSM2795554","GSM2795554","shGFP_vehicle"
"GSM2795555","GSM2795555","shGFP_vehicle"
"GSM2795556","GSM2795556","shGFP_rapamycin"
"GSM2795557","GSM2795557","shGFP_rapamycin"
"GSM2795558","GSM2795558","shGFP_rapamycin"
"GSM2795559","GSM2795559","shSRPK2_vehicle"
"GSM2795560","GSM2795560","shSRPK2_vehicle"
"GSM2795561","GSM2795561","shSRPK2_vehicle"
