pool,candidate_program,gene,weight,rank_position,selected_rank,selected_seed
high_confidence,program_2,TYROBP,0.9847496151924133,43,3,0
high_confidence,program_2,CNN1,0.962916374206543,44,3,0
high_confidence,program_2,SOSTDC1,0.9511616230010986,45,3,0
high_confidence,program_2,OGN,0.9245897531509399,46,3,0
high_confidence,program_2,MMP8,0.9153752326965332,47,3,0
high_confidence,program_2,CLEC2D,0.9143191576004028,48,3,0
high_confidence,program_2,CD300LG,0.890970766544342,49,3,0
high_confidence,program_2,TIMP2,0.8695660829544067,50,3,0
high_confidence,program_3,PCNA,4.696572780609131,1,3,0
high_confidence,program_3,PCDH17,3.4843151569366455,2,3,0
high_confidence,program_3,SOX2,3.197446823120117,3,3,0
high_confidence,program_3,TYR,2.9898014068603516,4,3,0
high_confidence,program_3,IFI27,2.794532537460327,5,3,0
high_confidence,program_3,COL3A1,2.330340623855591,6,3,0
high_confidence,program_3,TCF4,2.145944833755493,7,3,0
high_confidence,program_3,IL6,2.114501476287842,8,3,0
high_confidence,program_3,HMGA2,2.111384391784668,9,3,0
high_confidence,program_3,DYNLRB2,1.912750005722046,10,3,0
high_confidence,program_3,LST1,1.753778338432312,11,3,0
high_confidence,program_3,HEG1,1.7501580715179443,12,3,0
high_confidence,program_3,CALD1,1.5801258087158203,13,3,0
high_confidence,program_3,EDN1,1.565162181854248,14,3,0
high_confidence,program_3,ABCA3,1.3851189613342285,15,3,0
high_confidence,program_3,AEBP1,1.3078980445861816,16,3,0
high_confidence,program_3,PLAC9,1.2614341974258423,17,3,0
high_confidence,program_3,OGN,1.2355328798294067,18,3,0
high_confidence,program_3,ROPN1L,1.2282342910766602,19,3,0
high_confidence,program_3,CTSK,1.1731878519058228,20,3,0
high_confidence,program_3,NDUFA4L2,1.134792447090149,21,3,0
high_confidence,program_3,TGFBR1,1.0981614589691162,22,3,0
high_confidence,program_3,CD79B,1.0604188442230225,23,3,0
high_confidence,program_3,LCK,1.0240610837936401,24,3,0
high_confidence,program_3,PDPN,1.0232479572296143,25,3,0
high_confidence,program_3,MMP2,1.0221582651138306,26,3,0
high_confidence,program_3,LBH,0.9617025256156921,27,3,0
high_confidence,program_3,KRT8,0.9592739939689636,28,3,0
high_confidence,program_3,AC013264.2,0.9507577419281006,29,3,0
high_confidence,program_3,SOX17,0.9506511092185974,30,3,0
high_confidence,program_3,TNXB,0.9450755715370178,31,3,0
high_confidence,program_3,IL6R,0.9359438419342041,32,3,0
high_confidence,program_3,CLDN18,0.9160889983177185,33,3,0
high_confidence,program_3,ISG20,0.901394784450531,34,3,0
high_confidence,program_3,RPLP0,0.8943830728530884,35,3,0
high_confidence,program_3,MSRB3,0.8698152899742126,36,3,0
high_confidence,program_3,WIF1,0.859255313873291,37,3,0
high_confidence,program_3,SELL,0.8413254618644714,38,3,0
high_confidence,program_3,SEMA6A,0.8352319598197937,39,3,0
high_confidence,program_3,FGG,0.8330493569374084,40,3,0
high_confidence,program_3,FCRL6,0.831684947013855,41,3,0
high_confidence,program_3,LTF,0.8201669454574585,42,3,0
high_confidence,program_3,SPTBN1,0.7952927947044373,43,3,0
high_confidence,program_3,SLC9A3R2,0.7881458401679993,44,3,0
high_confidence,program_3,VPREB3,0.7761422991752625,45,3,0
high_confidence,program_3,MT1G,0.7632102370262146,46,3,0
high_confidence,program_3,TBX3,0.7594926953315735,47,3,0
high_confidence,program_3,C1QA,0.7562215328216553,48,3,0
high_confidence,program_3,IL12RB2,0.7556796669960022,49,3,0
high_confidence,program_3,MIR205HG,0.7548969388008118,50,3,0
broad_lam_like,program_1,MLANA,5.665743827819824,1,3,1
broad_lam_like,program_1,AKT1,5.519933700561523,2,3,1
broad_lam_like,program_1,ELANE,5.310208797454834,3,3,1
broad_lam_like,program_1,MYH11,5.300211429595947,4,3,1
broad_lam_like,program_1,MMP9,5.131591320037842,5,3,1
broad_lam_like,program_1,VCAN,4.729518890380859,6,3,1
broad_lam_like,program_1,LGR5,4.606445789337158,7,3,1
