pool,candidate_program,known_program_explained_r2,residual_sd
high_confidence,program_1,0.9845328474380604,0.026433422843636496
high_confidence,program_2,0.9832477389937814,0.04921755718946537
high_confidence,program_3,0.9536647154823662,0.0837481932319036
broad_lam_like,program_1,0.9661455300027199,0.03058114127528549
broad_lam_like,program_2,0.9557596077716887,0.0705636234339881
broad_lam_like,program_3,0.979829126631729,0.04003552518077084
unrestricted_lam,program_1,0.9461545497504504,0.06255573639139234
unrestricted_lam,program_2,0.9665049740790541,0.07103588333523822
unrestricted_lam,program_3,0.8397021730821432,0.08959074750665767
