pool,candidate_program,known_program,evidence_scope,evidence_level,known_type,overlap_n,overlap_genes,jaccard_top_genes,score_correlation
high_confidence,program_1,protease_ECM_niche,microenvironment,supported,gene_set,5,"CTSB,CTSK,MMP2,MMP8,MMP9",0.08928571428571429,0.5889518837952905
high_confidence,program_2,protease_ECM_niche,microenvironment,supported,gene_set,3,"MMP8,SERPINA1,TIMP2",0.05172413793103448,-0.13032685561139287
high_confidence,program_3,protease_ECM_niche,microenvironment,supported,gene_set,2,"CTSK,MMP2",0.03389830508474576,-0.49652080004086674
high_confidence,program_1,hormone_related,LAM-shared,supported,gene_set,1,CYP19A1,0.017857142857142856,-0.2818911287937529
high_confidence,program_2,hormone_related,LAM-shared,supported,gene_set,1,GREB1,0.017857142857142856,0.11027237927121575
high_confidence,program_3,hormone_related,LAM-shared,supported,gene_set,0,,0.0,0.2954089134773004
high_confidence,program_1,hypoxia_stress,LAM-shared,supported,gene_set,0,,0.0,-0.21264610193152067
high_confidence,program_2,hypoxia_stress,LAM-shared,supported,gene_set,1,HIF1A,0.01694915254237288,0.08998630676996637
high_confidence,program_3,hypoxia_stress,LAM-shared,supported,gene_set,0,,0.0,0.2316266881887494
high_confidence,program_1,cell_cycle,LAM-shared,contextual,gene_set,2,"MKI67,PCNA",0.03571428571428571,0.2265745074684733
high_confidence,program_2,cell_cycle,LAM-shared,contextual,gene_set,1,PCNA,0.017543859649122806,-0.1510987630750469
high_confidence,program_3,cell_cycle,LAM-shared,contextual,gene_set,1,PCNA,0.017543859649122806,-0.12939403783609443
high_confidence,program_1,biomarker_VEGFD_PMEL_CCL14_MMP8,biomarker,biomarker,gene_set,1,MMP8,0.019230769230769232,-0.4326267514223011
high_confidence,program_2,biomarker_VEGFD_PMEL_CCL14_MMP8,biomarker,biomarker,gene_set,2,"MMP8,PMEL",0.0392156862745098,0.5869811880031572
high_confidence,program_3,biomarker_VEGFD_PMEL_CCL14_MMP8,biomarker,biomarker,gene_set,0,,0.0,-0.0983219680109913
high_confidence,program_1,lineage_uterine_smooth_muscle,lineage/reference,reference,gene_set,3,"CALD1,CNN1,TAGLN",0.05454545454545454,-0.6845821176480615
high_confidence,program_2,lineage_uterine_smooth_muscle,lineage/reference,reference,gene_set,2,"CALD1,CNN1",0.03571428571428571,0.9310954224441649
high_confidence,program_3,lineage_uterine_smooth_muscle,lineage/reference,reference,gene_set,1,CALD1,0.017543859649122806,-0.17258608052044594
high_confidence,program_1,normal_lung_interstitial,lineage/reference,reference,gene_set,2,"COL3A1,PI16",0.03571428571428571,-0.20286175435316495
high_confidence,program_2,normal_lung_interstitial,lineage/reference,reference,gene_set,2,"COL3A1,COL6A1",0.03571428571428571,0.4941876259539162
high_confidence,program_3,normal_lung_interstitial,lineage/reference,reference,gene_set,1,COL3A1,0.017543859649122806,-0.21457795684270162
broad_lam_like,program_1,CORE1,LAMCORE-specific,established,gene_set,2,"MYH11,RGS5",0.03571428571428571,0.902823658673637
broad_lam_like,program_2,CORE1,LAMCORE-specific,established,gene_set,2,"MYH11,RGS5",0.03571428571428571,-0.09487589432845113
broad_lam_like,program_3,CORE1,LAMCORE-specific,established,gene_set,3,"MYH11,RGS5,TAGLN",0.05454545454545454,-0.4628568622943855
broad_lam_like,program_1,CORE2,LAMCORE-specific,established,gene_set,1,MLANA,0.017543859649122806,0.13339350726860047
broad_lam_like,program_2,CORE2,LAMCORE-specific,established,gene_set,0,,0.0,-0.3274719598732766
broad_lam_like,program_3,CORE2,LAMCORE-specific,established,gene_set,2,"FIGF,TYR",0.03571428571428571,0.20327568156574252
broad_lam_like,program_1,CORE3_identity,LAMCORE-specific,established,structured_model_component,1,MLANA,0.017857142857142856,0.7631502544027651
broad_lam_like,program_2,CORE3_identity,LAMCORE-specific,established,structured_model_component,1,ESR1,0.017857142857142856,-0.10790077339451765
broad_lam_like,program_3,CORE3_identity,LAMCORE-specific,established,structured_model_component,2,"ESR1,FIGF",0.03636363636363636,-0.4163242711694723
broad_lam_like,program_1,LAM_myogenic_contractile,LAM-shared,supported,gene_set,2,"CALD1,MYH11",0.03571428571428571,0.9194760690954269
broad_lam_like,program_2,LAM_myogenic_contractile,LAM-shared,supported,gene_set,1,MYH11,0.017543859649122806,-0.08043849047339571
broad_lam_like,program_3,LAM_myogenic_contractile,LAM-shared,supported,gene_set,2,"MYH11,TAGLN",0.03571428571428571,-0.47931436664283994
broad_lam_like,program_1,ECM_remodeling,LAM-shared,supported,gene_set,5,"COL1A1,COL3A1,MMP9,TIMP1,VCAN",0.08928571428571429,0.32113283574080714
broad_lam_like,program_2,ECM_remodeling,LAM-shared,supported,gene_set,3,"MMP9,TIMP1,VCAN",0.05172413793103448,-0.25625277324004214
broad_lam_like,program_3,ECM_remodeling,LAM-shared,supported,gene_set,3,"MMP9,TIMP1,VCAN",0.05172413793103448,0.038740184782066985
broad_lam_like,program_1,mTOR_translation,TSC-tumor-shared,supported,gene_set,2,"AKT1,RPS8",0.03389830508474576,0.13453830219039561
broad_lam_like,program_2,mTOR_translation,TSC-tumor-shared,supported,gene_set,1,RPS3,0.016666666666666666,0.11694517320058864
broad_lam_like,program_3,mTOR_translation,TSC-tumor-shared,supported,gene_set,2,"EIF4E,HIF1A",0.03389830508474576,-0.03327001341903025
broad_lam_like,program_1,SLS_stem_like,treatment-associated,supported,gene_set,3,"HMGA2,LGR5,MDK",0.05263157894736842,-0.007597426154815045
broad_lam_like,program_2,SLS_stem_like,treatment-associated,supported,gene_set,1,LGR5,0.01694915254237288,0.2348923198269859
broad_lam_like,program_3,SLS_stem_like,treatment-associated,supported,gene_set,4,"HMGA2,LGR5,MDK,NES",0.07142857142857142,-0.15157410458807793
broad_lam_like,program_1,IS_inflammatory,treatment-associated,supported,gene_set,0,,0.0,-0.19302747559310746
broad_lam_like,program_2,IS_inflammatory,treatment-associated,supported,gene_set,0,,0.0,0.0006232915697627657
broad_lam_like,program_3,IS_inflammatory,treatment-associated,supported,gene_set,0,,0.0,0.1818575272885463
broad_lam_like,program_1,MDK_dormancy_persistence,treatment-associated,supported,gene_set,1,MDK,0.01694915254237288,-0.2803752157826551
broad_lam_like,program_2,MDK_dormancy_persistence,treatment-associated,supported,gene_set,1,JUN,0.01694915254237288,-0.18858494318933908
broad_lam_like,program_3,MDK_dormancy_persistence,treatment-associated,supported,gene_set,3,"BCL2L1,DDIT4,MDK",0.05263157894736842,0.45915368393729017
broad_lam_like,program_1,HOX_PBX,LAM-shared,supported,gene_set,1,HOXA10,0.017543859649122806,0.41495445775360995
broad_lam_like,program_2,HOX_PBX,LAM-shared,supported,gene_set,1,HOXA10,0.017543859649122806,0.10942100915835419
broad_lam_like,program_3,HOX_PBX,LAM-shared,supported,gene_set,1,HOXA10,0.017543859649122806,-0.31834600217789394
broad_lam_like,program_1,LAF_niche,microenvironment,supported,gene_set,2,"COL1A1,PDGFRA",0.034482758620689655,0.2379030088800754
broad_lam_like,program_2,LAF_niche,microenvironment,supported,gene_set,0,,0.0,-0.2614156825585282
broad_lam_like,program_3,LAF_niche,microenvironment,supported,gene_set,1,CXCL14,0.01694915254237288,0.1380732562289821
broad_lam_like,program_1,macrophage_TREM2_TYROBP,microenvironment,supported,gene_set,1,LST1,0.01694915254237288,-0.5616374334837426
broad_lam_like,program_2,macrophage_TREM2_TYROBP,microenvironment,supported,gene_set,0,,0.0,-0.6506101376168043
broad_lam_like,program_3,macrophage_TREM2_TYROBP,microenvironment,supported,gene_set,4,"AIF1,C1QA,C1QB,LST1",0.07142857142857142,0.9798487767569495
broad_lam_like,program_1,TGFbeta_fibroblast,microenvironment,supported,gene_set,2,"COL1A1,COL3A1",0.03508771929824561,0.18834848288542314
broad_lam_like,program_2,TGFbeta_fibroblast,microenvironment,supported,gene_set,0,,0.0,0.07490904342745174
broad_lam_like,program_3,TGFbeta_fibroblast,microenvironment,supported,gene_set,1,CTGF,0.017241379310344827,-0.14231775179492667
broad_lam_like,program_1,IL6_AT2_repair,microenvironment,supported,gene_set,1,KRT18,0.01694915254237288,0.01333757976851719
broad_lam_like,program_2,IL6_AT2_repair,microenvironment,supported,gene_set,2,"KRT18,SFTPC",0.034482758620689655,0.9430292269877957
broad_lam_like,program_3,IL6_AT2_repair,microenvironment,supported,gene_set,5,"IL6R,KRT18,SFTPA1,SFTPA2,STAT3",0.09090909090909091,-0.6708541678861704
broad_lam_like,program_1,protease_ECM_niche,microenvironment,supported,gene_set,5,"ELANE,MMP12,MMP9,TIMP1,TIMP2",0.08928571428571429,-0.3977698510421618
broad_lam_like,program_2,protease_ECM_niche,microenvironment,supported,gene_set,2,"MMP9,TIMP1",0.03389830508474576,-0.5503301817877099
broad_lam_like,program_3,protease_ECM_niche,microenvironment,supported,gene_set,2,"MMP9,TIMP1",0.03389830508474576,0.8025649483892457
broad_lam_like,program_1,hormone_related,LAM-shared,supported,gene_set,0,,0.0,0.1055696018233119
broad_lam_like,program_2,hormone_related,LAM-shared,supported,gene_set,1,ESR1,0.017857142857142856,0.33743723688555166
broad_lam_like,program_3,hormone_related,LAM-shared,supported,gene_set,1,ESR1,0.017857142857142856,-0.33035162190884143
broad_lam_like,program_1,hypoxia_stress,LAM-shared,supported,gene_set,1,NDRG1,0.01694915254237288,0.114212827066373
broad_lam_like,program_2,hypoxia_stress,LAM-shared,supported,gene_set,1,NDRG1,0.01694915254237288,0.24338267635101027
broad_lam_like,program_3,hypoxia_stress,LAM-shared,supported,gene_set,4,"DDIT4,HIF1A,NDRG1,VEGFA",0.07142857142857142,-0.22902636425448564
broad_lam_like,program_1,cell_cycle,LAM-shared,contextual,gene_set,0,,0.0,-0.12400127207698533
broad_lam_like,program_2,cell_cycle,LAM-shared,contextual,gene_set,1,TOP2A,0.017543859649122806,-0.17995012296903556
broad_lam_like,program_3,cell_cycle,LAM-shared,contextual,gene_set,1,TOP2A,0.017543859649122806,0.24821025684029288
broad_lam_like,program_1,biomarker_VEGFD_PMEL_CCL14_MMP8,biomarker,biomarker,gene_set,0,,0.0,0.3332771382148245
broad_lam_like,program_2,biomarker_VEGFD_PMEL_CCL14_MMP8,biomarker,biomarker,gene_set,0,,0.0,0.029094654781126373
broad_lam_like,program_3,biomarker_VEGFD_PMEL_CCL14_MMP8,biomarker,biomarker,gene_set,0,,0.0,-0.23122052633778065
broad_lam_like,program_1,lineage_uterine_smooth_muscle,lineage/reference,reference,gene_set,2,"CALD1,MYH11",0.03571428571428571,0.9194760702075493
