pool,candidate_program,gene,weight,rank_position,selected_rank,selected_seed
high_confidence,program_1,LGR5,2.776275873184204,1,5,0
high_confidence,program_1,HSP90AA1,2.755175828933716,2,5,0
high_confidence,program_1,STK17A,2.115886926651001,3,5,0
high_confidence,program_1,SFTPA1,1.886263370513916,4,5,0
high_confidence,program_1,CDC37,1.820144534111023,5,5,0
high_confidence,program_1,RPLP0,1.722486138343811,6,5,0
high_confidence,program_1,DDIT4,1.7067331075668335,7,5,0
high_confidence,program_1,RPL3,1.6594375371932983,8,5,0
high_confidence,program_1,MALAT1,1.6574643850326538,9,5,0
high_confidence,program_1,RPS6,1.6343799829483032,10,5,0
high_confidence,program_1,RPS3,1.6320866346359253,11,5,0
high_confidence,program_1,EIF4B,1.5847796201705933,12,5,0
high_confidence,program_1,CCL2,1.5603611469268799,13,5,0
high_confidence,program_1,GDF15,1.5269190073013306,14,5,0
high_confidence,program_1,IL32,1.4954824447631836,15,5,0
high_confidence,program_1,PABPC1,1.4366627931594849,16,5,0
high_confidence,program_1,TREM2,1.434264898300171,17,5,0
high_confidence,program_1,STAT1,1.4274872541427612,18,5,0
high_confidence,program_1,HSPA1A,1.4173938035964966,19,5,0
high_confidence,program_1,RBBP6,1.4072848558425903,20,5,0
high_confidence,program_1,HMGN1,1.4010039567947388,21,5,0
high_confidence,program_1,CALM1,1.3715450763702393,22,5,0
high_confidence,program_1,KLRB1,1.3489282131195068,23,5,0
high_confidence,program_1,IFI27,1.3486367464065552,24,5,0
high_confidence,program_1,ANXA5,1.3473693132400513,25,5,0
high_confidence,program_1,CCL4L2,1.3370685577392578,26,5,0
high_confidence,program_1,FN1,1.328661322593689,27,5,0
high_confidence,program_1,GAPDH,1.3084641695022583,28,5,0
high_confidence,program_1,ATPIF1,1.2838201522827148,29,5,0
high_confidence,program_1,ATP6V0B,1.2521580457687378,30,5,0
high_confidence,program_1,YBX1,1.2410584688186646,31,5,0
high_confidence,program_1,ATP5E,1.2389832735061646,32,5,0
high_confidence,program_1,ALDOA,1.2354576587677002,33,5,0
high_confidence,program_1,CFL1,1.2254880666732788,34,5,0
high_confidence,program_1,ARHGDIB,1.2232080698013306,35,5,0
high_confidence,program_1,PPIB,1.2217135429382324,36,5,0
high_confidence,program_1,SELK,1.214032769203186,37,5,0
high_confidence,program_1,H2AFZ,1.2107175588607788,38,5,0
high_confidence,program_1,PTGDS,1.2010096311569214,39,5,0
high_confidence,program_1,DSTN,1.1988707780838013,40,5,0
high_confidence,program_1,HSP90AB1,1.187196969985962,41,5,0
high_confidence,program_1,SDCBP,1.1852450370788574,42,5,0
high_confidence,program_1,BRD2,1.1822786331176758,43,5,0
high_confidence,program_1,PPDPF,1.166603684425354,44,5,0
high_confidence,program_1,RBM3,1.1630901098251343,45,5,0
high_confidence,program_1,MCL1,1.138886570930481,46,5,0
high_confidence,program_1,LMNA,1.1349395513534546,47,5,0
high_confidence,program_1,HSP90B1,1.134251356124878,48,5,0
high_confidence,program_1,SLC34A2,1.1231833696365356,49,5,0
high_confidence,program_1,EMP3,1.1029739379882812,50,5,0
high_confidence,program_2,EGLN3,2.438586473464966,1,5,0
