pool,candidate_program,known_program_explained_r2,residual_sd
high_confidence,program_1,0.8943481240207456,0.13597883120037688
high_confidence,program_2,0.9447577025624257,0.17035685107089069
high_confidence,program_3,0.9794722041797177,0.0965463946678603
high_confidence,program_4,0.9384654688126499,0.1167339468123044
high_confidence,program_5,0.6800830199878359,0.19894436207252564
broad_lam_like,program_1,0.898771422891812,0.09379259145888502
broad_lam_like,program_2,0.6693797046589315,0.3571481457322335
broad_lam_like,program_3,0.9111049465937218,0.15809686622588506
broad_lam_like,program_4,0.9336874727528465,0.1396221035902066
broad_lam_like,program_5,0.9645386732299303,0.11298530792793146
broad_lam_like,program_6,0.6156236946203915,0.36554607361391517
unrestricted_lam,program_1,0.7491513628439176,0.20494589078190956
unrestricted_lam,program_2,0.9356484444115797,0.19682053949714626
unrestricted_lam,program_3,0.9312934086246989,0.13393469002405625
unrestricted_lam,program_4,0.6181286620387327,0.32519958101455493
unrestricted_lam,program_5,0.7237949976656501,0.29898096930935786
