pool,donor_id,n_cells,analysis,selected_rank,selected_seed,n_programs,program_1,program_2,program_3,program_4,program_5,program_6
high_confidence,LAM1110,125,independent_nmf,6.0,0.0,6.0,,,,,,
high_confidence,LAM1158,183,independent_nmf,6.0,1.0,6.0,,,,,,
high_confidence,LAM1163,509,independent_nmf,6.0,0.0,6.0,,,,,,
high_confidence,LAM1164,747,independent_nmf,6.0,0.0,6.0,,,,,,
high_confidence,LAM1110,125,,,,,0.3947765529155731,0.6006911396980286,0.6988865733146667,0.16549283266067505,0.2149641513824463,
high_confidence,LAM1158,183,,,,,0.3257436156272888,0.4653759002685547,0.8321161270141602,0.2608962059020996,0.2793704569339752,
high_confidence,LAM1163,509,,,,,0.36335721611976624,0.35513418912887573,0.10960470139980316,0.7981534004211426,0.45868945121765137,
high_confidence,LAM1164,747,,,,,0.1079937145113945,0.7059438228607178,0.7699445486068726,0.13295906782150269,0.42260023951530457,
broad_lam_like,LAM1110,428,independent_nmf,6.0,1.0,6.0,,,,,,
broad_lam_like,LAM1158,626,independent_nmf,6.0,0.0,6.0,,,,,,
broad_lam_like,LAM1163,1500,independent_nmf,6.0,0.0,6.0,,,,,,
broad_lam_like,LAM1164,1500,independent_nmf,5.0,0.0,5.0,,,,,,
broad_lam_like,LAM1110,428,,,,,0.18483972549438477,0.35192736983299255,0.31254443526268005,0.3362032175064087,0.6463826894760132,0.2714633643627167
broad_lam_like,LAM1158,626,,,,,0.21642154455184937,0.49865952134132385,0.27367690205574036,0.2493288516998291,0.6364925503730774,0.495416522026062
broad_lam_like,LAM1163,1626,,,,,0.3403916656970978,0.3394584655761719,0.5952684879302979,0.23581953346729279,0.09549912065267563,0.7013313174247742
broad_lam_like,LAM1164,3320,,,,,0.10094483941793442,0.24022436141967773,0.09975975751876831,0.31455254554748535,0.8206254839897156,0.5345197916030884
unrestricted_lam,LAM1110,327,independent_nmf,5.0,0.0,5.0,,,,,,
unrestricted_lam,LAM1158,346,independent_nmf,5.0,0.0,5.0,,,,,,
unrestricted_lam,LAM1163,1500,independent_nmf,6.0,0.0,6.0,,,,,,
unrestricted_lam,LAM1164,1500,independent_nmf,4.0,0.0,4.0,,,,,,
unrestricted_lam,LAM1110,327,,,,,0.28565970063209534,0.5729982256889343,0.6747057437896729,0.195701465010643,0.11204419285058975,
unrestricted_lam,LAM1158,346,,,,,0.46764376759529114,0.6468580961227417,0.4395490884780884,0.40916159749031067,0.2163199782371521,
unrestricted_lam,LAM1163,2334,,,,,0.2504793405532837,0.1390407383441925,0.44895023107528687,0.36946603655815125,0.5660567283630371,
unrestricted_lam,LAM1164,2993,,,,,0.2204638570547104,0.712302565574646,0.16430678963661194,0.567121148109436,0.41191545128822327,
