pool,candidate_program,known_program,evidence_scope,evidence_level,known_type,overlap_n,overlap_genes,jaccard_top_genes,score_correlation
high_confidence,program_1,CORE1,LAMCORE-specific,established,gene_set,0,,0.0,-0.14931069805664943
high_confidence,program_2,CORE1,LAMCORE-specific,established,gene_set,2,"COL4A1,DES",0.03571428571428571,0.07897304306656978
high_confidence,program_3,CORE1,LAMCORE-specific,established,gene_set,1,DES,0.017543859649122806,-0.5256758925935107
high_confidence,program_4,CORE1,LAMCORE-specific,established,gene_set,2,"ACTA2,MYH11",0.03571428571428571,0.8986367421073512
high_confidence,program_5,CORE1,LAMCORE-specific,established,gene_set,0,,0.0,-0.06178091964854531
high_confidence,program_1,CORE2,LAMCORE-specific,established,gene_set,0,,0.0,-0.3451824176732831
high_confidence,program_2,CORE2,LAMCORE-specific,established,gene_set,0,,0.0,0.11807763320028378
high_confidence,program_3,CORE2,LAMCORE-specific,established,gene_set,1,CTSK,0.017543859649122806,-0.2339997783240007
high_confidence,program_4,CORE2,LAMCORE-specific,established,gene_set,1,MLANA,0.017543859649122806,0.624642405706568
high_confidence,program_5,CORE2,LAMCORE-specific,established,gene_set,0,,0.0,-0.10698710491972106
high_confidence,program_1,CORE3_identity,LAMCORE-specific,established,structured_model_component,0,,0.0,-0.24311941460896183
high_confidence,program_2,CORE3_identity,LAMCORE-specific,established,structured_model_component,0,,0.0,0.09847573443811404
high_confidence,program_3,CORE3_identity,LAMCORE-specific,established,structured_model_component,1,CTSK,0.017857142857142856,-0.47548089474044525
high_confidence,program_4,CORE3_identity,LAMCORE-specific,established,structured_model_component,2,"ACTA2,MLANA",0.03636363636363636,0.8551840133268717
high_confidence,program_5,CORE3_identity,LAMCORE-specific,established,structured_model_component,0,,0.0,-0.09349442757825221
high_confidence,program_1,LAM_myogenic_contractile,LAM-shared,supported,gene_set,0,,0.0,-0.15017884626229577
high_confidence,program_2,LAM_myogenic_contractile,LAM-shared,supported,gene_set,1,DES,0.017543859649122806,0.15234767210484138
high_confidence,program_3,LAM_myogenic_contractile,LAM-shared,supported,gene_set,1,DES,0.017543859649122806,-0.5810013927569447
high_confidence,program_4,LAM_myogenic_contractile,LAM-shared,supported,gene_set,2,"ACTA2,MYH11",0.03571428571428571,0.9036001871629995
high_confidence,program_5,LAM_myogenic_contractile,LAM-shared,supported,gene_set,0,,0.0,-0.051072858705254714
high_confidence,program_1,ECM_remodeling,LAM-shared,supported,gene_set,1,FN1,0.016666666666666666,-0.2449230978406522
high_confidence,program_2,ECM_remodeling,LAM-shared,supported,gene_set,3,"COL1A2,COL6A1,FN1",0.05172413793103448,0.6927155972931769
high_confidence,program_3,ECM_remodeling,LAM-shared,supported,gene_set,1,CTSK,0.016666666666666666,-0.5477893988277122
high_confidence,program_4,ECM_remodeling,LAM-shared,supported,gene_set,1,FN1,0.016666666666666666,0.3544397110543974
high_confidence,program_5,ECM_remodeling,LAM-shared,supported,gene_set,1,FN1,0.016666666666666666,0.2046612739791775
high_confidence,program_1,mTOR_translation,TSC-tumor-shared,supported,gene_set,4,"RPL3,RPLP0,RPS3,RPS6",0.07017543859649122,0.2174670495306541
high_confidence,program_2,mTOR_translation,TSC-tumor-shared,supported,gene_set,2,"RPLP0,RPS3",0.03389830508474576,0.19577031498387137
high_confidence,program_3,mTOR_translation,TSC-tumor-shared,supported,gene_set,2,"RPLP0,RPS3",0.03389830508474576,-0.5425247115376252
high_confidence,program_4,mTOR_translation,TSC-tumor-shared,supported,gene_set,3,"RPLP0,RPS3,RPS6",0.05172413793103448,0.30086878370365855
high_confidence,program_5,mTOR_translation,TSC-tumor-shared,supported,gene_set,3,"RPLP0,RPS3,RPS6",0.05172413793103448,0.5173262104812776
high_confidence,program_1,SLS_stem_like,treatment-associated,supported,gene_set,1,LGR5,0.01694915254237288,0.3148708772946561
high_confidence,program_2,SLS_stem_like,treatment-associated,supported,gene_set,0,,0.0,0.09610358182036409
high_confidence,program_3,SLS_stem_like,treatment-associated,supported,gene_set,1,PROM1,0.01694915254237288,-0.17043219215413627
high_confidence,program_4,SLS_stem_like,treatment-associated,supported,gene_set,0,,0.0,-0.0740045738530261
high_confidence,program_5,SLS_stem_like,treatment-associated,supported,gene_set,0,,0.0,0.18564668229316703
high_confidence,program_1,IS_inflammatory,treatment-associated,supported,gene_set,2,"CCL2,STAT1",0.034482758620689655,0.05985839960869061
high_confidence,program_2,IS_inflammatory,treatment-associated,supported,gene_set,2,"CCL2,STAT1",0.034482758620689655,0.23676496510144382
high_confidence,program_3,IS_inflammatory,treatment-associated,supported,gene_set,0,,0.0,-0.07164762435805558
high_confidence,program_4,IS_inflammatory,treatment-associated,supported,gene_set,0,,0.0,-0.37991981979608946
high_confidence,program_5,IS_inflammatory,treatment-associated,supported,gene_set,2,"NFKBIA,STAT1",0.034482758620689655,0.6094831276560677
high_confidence,program_1,MDK_dormancy_persistence,treatment-associated,supported,gene_set,1,DDIT4,0.01694915254237288,0.07776691976832353
high_confidence,program_2,MDK_dormancy_persistence,treatment-associated,supported,gene_set,0,,0.0,0.29504571105149896
high_confidence,program_3,MDK_dormancy_persistence,treatment-associated,supported,gene_set,0,,0.0,-0.04374649737895435
high_confidence,program_4,MDK_dormancy_persistence,treatment-associated,supported,gene_set,0,,0.0,-0.15701905562321
high_confidence,program_5,MDK_dormancy_persistence,treatment-associated,supported,gene_set,0,,0.0,0.2702956723526126
high_confidence,program_1,HOX_PBX,LAM-shared,supported,gene_set,0,,0.0,-0.0012595162033876067
