pool,donor_id,candidate_program,gene,weight,rank_position,selected_rank,selected_seed,n_cells
high_confidence,LAM1110,program_2,ARL6IP5,1.3508596420288086,23,6,0,125
high_confidence,LAM1110,program_2,TC2N,1.3328373432159424,24,6,0,125
high_confidence,LAM1110,program_2,MYL6,1.3082702159881592,25,6,0,125
high_confidence,LAM1110,program_2,CD55,1.3004809617996216,26,6,0,125
high_confidence,LAM1110,program_2,COX7A2,1.2996824979782104,27,6,0,125
high_confidence,LAM1110,program_2,GDF15,1.2909932136535645,28,6,0,125
high_confidence,LAM1110,program_2,TYR,1.2856497764587402,29,6,0,125
high_confidence,LAM1110,program_2,TUBA1B,1.2824097871780396,30,6,0,125
high_confidence,LAM1110,program_2,ACTA2,1.2796390056610107,31,6,0,125
high_confidence,LAM1110,program_2,LST1,1.26027512550354,32,6,0,125
high_confidence,LAM1110,program_2,TACC1,1.2263808250427246,33,6,0,125
high_confidence,LAM1110,program_2,TUBB4B,1.2099627256393433,34,6,0,125
high_confidence,LAM1110,program_2,SMAD3,1.2043156623840332,35,6,0,125
high_confidence,LAM1110,program_2,CDC42,1.1866774559020996,36,6,0,125
high_confidence,LAM1110,program_2,FIGF,1.1818513870239258,37,6,0,125
high_confidence,LAM1110,program_2,NDUFA1,1.1776797771453857,38,6,0,125
high_confidence,LAM1110,program_2,RGS2,1.174827218055725,39,6,0,125
high_confidence,LAM1110,program_2,TSPAN3,1.1702083349227905,40,6,0,125
high_confidence,LAM1110,program_2,MYL12A,1.1621066331863403,41,6,0,125
high_confidence,LAM1110,program_2,VCAN,1.1584223508834839,42,6,0,125
high_confidence,LAM1110,program_2,EIF5,1.1351077556610107,43,6,0,125
high_confidence,LAM1110,program_2,YBX3,1.1318726539611816,44,6,0,125
high_confidence,LAM1110,program_2,AFF4,1.1215888261795044,45,6,0,125
high_confidence,LAM1110,program_2,MT1E,1.0966905355453491,46,6,0,125
high_confidence,LAM1110,program_2,HMGN2,1.092387318611145,47,6,0,125
high_confidence,LAM1110,program_2,RBM3,1.0896295309066772,48,6,0,125
high_confidence,LAM1110,program_2,IER3,1.0835983753204346,49,6,0,125
high_confidence,LAM1110,program_2,DDIT4,1.0788025856018066,50,6,0,125
high_confidence,LAM1110,program_3,CCNB1,2.41430926322937,1,6,0,125
high_confidence,LAM1110,program_3,TREM2,2.0909435749053955,2,6,0,125
high_confidence,LAM1110,program_3,JUN,1.931660532951355,3,6,0,125
high_confidence,LAM1110,program_3,HINT1,1.900514841079712,4,6,0,125
high_confidence,LAM1110,program_3,CD99,1.839697003364563,5,6,0,125
high_confidence,LAM1110,program_3,IGFBP7,1.815003514289856,6,6,0,125
high_confidence,LAM1110,program_3,SPTSSA,1.7719321250915527,7,6,0,125
high_confidence,LAM1110,program_3,CNN1,1.620007038116455,8,6,0,125
high_confidence,LAM1110,program_3,CXCL8,1.5022714138031006,9,6,0,125
high_confidence,LAM1110,program_3,MCEMP1,1.442669153213501,10,6,0,125
high_confidence,LAM1110,program_3,IER3,1.4356063604354858,11,6,0,125
high_confidence,LAM1110,program_3,TIMP3,1.4355971813201904,12,6,0,125
high_confidence,LAM1110,program_3,LY6E,1.41049063205719,13,6,0,125
high_confidence,LAM1110,program_3,TYROBP,1.3746426105499268,14,6,0,125
high_confidence,LAM1110,program_3,RBBP6,1.3734276294708252,15,6,0,125
high_confidence,LAM1110,program_3,ATP1B3,1.3576761484146118,16,6,0,125
high_confidence,LAM1110,program_3,ZFAS1,1.336887001991272,17,6,0,125
high_confidence,LAM1110,program_3,HSPA8,1.3144237995147705,18,6,0,125
high_confidence,LAM1110,program_3,SDCBP,1.2882229089736938,19,6,0,125
high_confidence,LAM1110,program_3,POLR2A,1.2770663499832153,20,6,0,125
high_confidence,LAM1110,program_3,NFKBIA,1.2433737516403198,21,6,0,125
high_confidence,LAM1110,program_3,MGST3,1.1814749240875244,22,6,0,125
high_confidence,LAM1110,program_3,BRD2,1.1699624061584473,23,6,0,125
high_confidence,LAM1110,program_3,MARCO,1.1581428050994873,24,6,0,125
high_confidence,LAM1110,program_3,SEPW1,1.1551845073699951,25,6,0,125
high_confidence,LAM1110,program_3,CD83,1.1505733728408813,26,6,0,125
high_confidence,LAM1110,program_3,RAN,1.1237300634384155,27,6,0,125
high_confidence,LAM1110,program_3,CCL2,1.122032880783081,28,6,0,125
high_confidence,LAM1110,program_3,CCNI,1.1073253154754639,29,6,0,125
high_confidence,LAM1110,program_3,RBM3,1.0967893600463867,30,6,0,125
high_confidence,LAM1110,program_3,SEPT7,1.0862975120544434,31,6,0,125
high_confidence,LAM1110,program_3,EIF3K,1.0630055665969849,32,6,0,125
high_confidence,LAM1110,program_3,GDF15,1.0484910011291504,33,6,0,125
