donor_id,sample_id,assay,cells,candidate_cells,candidate_fraction,candidate_marker_score,other_marker_score,candidate_777_score,other_777_score,marker_score_difference,score_777_difference_consistency_only
LAM1,LAM1,scRNA,7827,31,0.003960649035390316,1.4339717558609544,-0.030770282391644154,0.29357966897522614,-0.06483371466505224,1.4647420382525986,0.35841338364027836
LAM2,LAM2,snRNA,7126,4,0.000561324726354196,0.48135320544242854,-0.01809270521339479,-0.04842564909428225,-0.0720249257611316,0.49944591065582333,0.023599276666849356
LAM3,LAM3,scRNA,7016,84,0.011972633979475485,1.3480353233312805,-0.0013679986398887076,0.15878202854631174,-0.05256364284502506,1.3494033219711692,0.2113456713913368
LAM4,LAM4,snRNA,1259,21,0.016679904686258934,1.4892583419481915,-0.0028137188454790004,0.10036553450078371,-0.017600246285338884,1.4920720607936706,0.1179657807861226
