module,cluster,cells,mean_known_marker_score,mean_known_marker_genes_detected,fraction_combo_ge2,mean_doublet_score,mean_PMEL,mean_ACTA2,mean_ESR1,mean_FIGF,mean_VEGFD,mean_CTSK,mean_MLANA,selected_as_candidate_cluster
LAM1_LAM3_CCA_align_approx,0,2547,-0.02336906567353601,0.15822536317235963,0.011778563015312132,0.08019996224385027,0.0034625926055014133,0.06242801249027252,0.018874675035476685,0.00027580527239479125,0.0,0.01750749722123146,0.0,False
LAM1_LAM3_CCA_align_approx,1,2342,-0.041301950240089376,0.035439795046968404,0.0025619128949615714,0.0541680771494544,0.006211850792169571,0.010655036196112633,0.0022382682655006647,0.0003248512512072921,0.0,0.010913881473243237,0.0,False
LAM1_LAM3_CCA_align_approx,10,340,-0.012885412377586553,0.029411764705882353,0.0,0.018593973879773837,0.0,0.045609235763549805,0.0,0.0,0.0,0.0,0.0,False
LAM1_LAM3_CCA_align_approx,11,334,-0.020587425598603284,0.1407185628742515,0.008982035928143712,0.05741941767833976,0.008763551712036133,0.07988026738166809,0.005950148217380047,0.0023125780280679464,0.0,0.035918939858675,0.0,False
LAM1_LAM3_CCA_align_approx,12,273,-0.005181276172945352,0.07326007326007326,0.0,0.029825471944562948,0.008743798360228539,0.07400164753198624,0.0,0.0,0.0,0.03360908105969429,0.0,False
LAM1_LAM3_CCA_align_approx,13,253,0.0098360686930429,0.11462450592885376,0.0,0.026661614713934176,0.007078761234879494,0.13587071001529694,0.006682278122752905,0.0,0.0,0.055851198732852936,0.0,False
LAM1_LAM3_CCA_align_approx,14,243,-0.010462519254867597,0.1440329218106996,0.01646090534979424,0.03006204518731191,0.0048713297583162785,0.07235023379325867,0.04828784242272377,0.0,0.0,0.061737045645713806,0.0,False
LAM1_LAM3_CCA_align_approx,15,233,-0.055423554343130114,0.060085836909871244,0.0,0.06736511746111694,0.0,0.0396747849881649,0.011190265417098999,0.0,0.0,0.02474040538072586,0.0,False
LAM1_LAM3_CCA_align_approx,16,224,0.05282507743171993,0.4955357142857143,0.10267857142857142,0.06582388357342839,0.032968901097774506,0.10833469778299332,0.012442045845091343,0.004133142530918121,0.0,0.44379928708076477,0.0,False
LAM1_LAM3_CCA_align_approx,17,223,-0.03939892656524263,0.11659192825112108,0.004484304932735426,0.07676442917340871,0.006441459525376558,0.03027328848838806,0.007784636225551367,0.0,0.0,0.022889237850904465,0.0,False
LAM1_LAM3_CCA_align_approx,18,201,-0.041217077621180036,0.07462686567164178,0.004975124378109453,0.06797854618954577,0.0020942382980138063,0.01789061538875103,0.0,0.0,0.0,0.032334208488464355,0.0,False
LAM1_LAM3_CCA_align_approx,19,201,-0.019452245457255428,0.04477611940298507,0.0,0.020433126527885936,0.0,0.026884403079748154,0.0,0.005217964760959148,0.0,0.025744453072547913,0.0,False
LAM1_LAM3_CCA_align_approx,2,1734,-0.015635381993366084,0.2820069204152249,0.0265282583621684,0.0657395709295729,0.007019676733762026,0.0666448175907135,0.019211014732718468,0.00211803219281137,0.0,0.09945041686296463,0.0002607323112897575,False
LAM1_LAM3_CCA_align_approx,20,198,-0.02993023021855338,0.22727272727272727,0.015151515151515152,0.379804301628511,0.01101845782250166,0.07742030918598175,0.017204666510224342,0.0,0.0,0.05083174630999565,0.003229912370443344,False
LAM1_LAM3_CCA_align_approx,21,173,1.0281225332754427,2.2485549132947975,0.6647398843930635,0.06294862306287642,0.8724383115768433,2.851628541946411,0.18853749334812164,0.38663554191589355,0.0,2.062277317047119,0.05721140652894974,True
LAM1_LAM3_CCA_align_approx,22,139,-0.018650975039822878,0.014388489208633094,0.0,0.034341570067356525,0.03170681744813919,0.0,0.0,0.0,0.0,0.0,0.0,False
LAM1_LAM3_CCA_align_approx,23,117,-0.08504046897212328,0.23076923076923078,0.017094017094017096,0.11819323912671874,0.0031529138796031475,0.04830645024776459,0.011215625330805779,0.0,0.0,0.07136067748069763,0.0,False
LAM1_LAM3_CCA_align_approx,24,107,-0.10188722128678705,0.11214953271028037,0.009345794392523364,0.046924550592094404,0.0,0.053073104470968246,0.006948536261916161,0.0,0.0,0.029078979045152664,0.0,False
LAM1_LAM3_CCA_align_approx,25,106,0.5897605290150493,0.9716981132075472,0.04716981132075472,0.07406301951254177,0.0,3.6536865234375,0.012379511259496212,0.021941181272268295,0.0,0.061492856591939926,0.0,False
LAM1_LAM3_CCA_align_approx,26,104,-0.0076597626010576885,0.04807692307692308,0.0,0.02758204541672716,0.0,0.04497462883591652,0.0,0.018394647166132927,0.0,0.011108298785984516,0.0,False
LAM1_LAM3_CCA_align_approx,27,89,-0.0036888626657621652,0.24719101123595505,0.011235955056179775,0.047407766713208226,0.0,0.11963976919651031,0.004642251413315535,0.0,0.0,0.14015935361385345,0.0,False
LAM1_LAM3_CCA_align_approx,28,84,-0.028713964336448246,0.03571428571428571,0.0,0.09641044651798965,0.0,0.0,0.0,0.0,0.0,0.03660991042852402,0.0,False
LAM1_LAM3_CCA_align_approx,29,37,-0.02019198351292997,0.13513513513513514,0.0,0.07241939519383851,0.0,0.05800721421837807,0.0,0.0,0.0,0.12417348474264145,0.0,False
LAM1_LAM3_CCA_align_approx,3,953,-0.023252048701266802,0.14060860440713535,0.004197271773347324,0.08466325889676389,0.002444241661578417,0.0645446926355362,0.0186542347073555,0.0,0.0,0.01911322958767414,0.0,False
LAM1_LAM3_CCA_align_approx,30,35,-0.037222106424399784,0.3142857142857143,0.0,0.08121648261891808,0.0,0.08900615572929382,0.02284109964966774,0.0,0.0,0.031856048852205276,0.0,False
LAM1_LAM3_CCA_align_approx,4,868,-0.03281081195031443,0.16474654377880185,0.009216589861751152,0.04060747314971959,0.009343947283923626,0.05892975255846977,0.010283255949616432,0.004766049794852734,0.0,0.042992401868104935,0.0,False
LAM1_LAM3_CCA_align_approx,5,778,-0.006484832144948083,0.06555269922879177,0.005141388174807198,0.030818784379308954,0.0089482506737113,0.061544645577669144,0.002548354212194681,0.0021324786357581615,0.0,0.0449354387819767,0.0,False
LAM1_LAM3_CCA_align_approx,6,706,-0.016503415217030377,0.0821529745042493,0.007082152974504249,0.030045684048964703,0.0031523420475423336,0.04816645383834839,0.006381737068295479,0.0,0.0,0.043678656220436096,0.0,False
LAM1_LAM3_CCA_align_approx,7,443,0.007503777418036133,0.056433408577878104,0.0,0.05791350465245612,0.0068257516250014305,0.0631387010216713,0.0,0.005898803006857634,0.0,0.07679544389247894,0.0,False
LAM1_LAM3_CCA_align_approx,8,403,-0.026959044105065964,0.062034739454094295,0.0024813895781637717,0.04017796418628769,0.007185501512140036,0.029869912192225456,0.0,0.0,0.0,0.04459528252482414,0.0,False
LAM1_LAM3_CCA_align_approx,9,355,-0.011487007920618908,0.056338028169014086,0.008450704225352112,0.021772051014972458,0.00930971559137106,0.059687837958335876,0.0,0.0,0.0,0.03916981443762779,0.0,False
LAM2_PCA,0,962,-0.042095561960961196,0.031185031185031187,0.0,0.032692464811459036,0.003564518643543124,0.00461707403883338,0.0015714933397248387,0.0,0.0,0.016505790874361992,0.0,False
LAM2_PCA,1,895,-0.01714876437260452,0.2927374301675978,0.021229050279329607,0.10021778101535075,0.003154706209897995,0.10081140697002411,0.01891554892063141,0.0,0.0,0.02438991703093052,0.0,False
LAM2_PCA,10,235,0.0018137667828417837,0.05106382978723404,0.0,0.0527312265493444,0.0,0.05479758232831955,0.0,0.0,0.0,0.05155633017420769,0.0,False
LAM2_PCA,11,191,-0.08936076230809326,0.20418848167539266,0.010471204188481676,0.04385322405155771,0.008873885497450829,0.13522322475910187,0.005471520591527224,0.0,0.0,0.004289444535970688,0.0,False
LAM2_PCA,12,129,-0.018457885304162664,0.031007751937984496,0.0,0.01648838905849303,0.0,0.02399839647114277,0.0,0.0,0.0,0.029767831787467003,0.0,False
LAM2_PCA,13,123,-0.0353294434990017,0.07317073170731707,0.008130081300813009,0.0366491778981437,0.0,0.031354084610939026,0.010527463629841805,0.0,0.0,0.015303278341889381,0.0,False
LAM2_PCA,14,94,-0.02583273897779749,0.010638297872340425,0.0,0.07985913170594375,0.0,0.016606518998742104,0.0,0.0,0.0,0.0,0.0,False
LAM2_PCA,15,88,-0.0719035521944364,0.25,0.022727272727272728,0.1217195657637366,0.0057360162027180195,0.05641358718276024,0.0193005483597517,0.0,0.0,0.004606795497238636,0.0,False
LAM2_PCA,16,84,-0.028302636671870475,0.10714285714285714,0.011904761904761904,0.058641671152770025,0.009130198508501053,0.02358696050941944,0.0036053175572305918,0.0,0.0,0.008610116317868233,0.0,False
LAM2_PCA,17,77,-0.020284769375602918,0.4805194805194805,0.07792207792207792,0.06542911084264183,0.016700373962521553,0.10679031908512115,0.029691200703382492,0.0,0.0,0.057405248284339905,0.0,False
LAM2_PCA,18,70,-0.023697897609074908,0.014285714285714285,0.0,0.032282118904396286,0.0,0.022127624601125717,0.0,0.0,0.0,0.0,0.0,False
LAM2_PCA,19,69,-0.01957361389646207,0.42028985507246375,0.07246376811594203,0.39108089393525164,0.008908780291676521,0.12963436543941498,0.02459455281496048,0.0,0.0,0.035392068326473236,0.0,False
LAM2_PCA,2,725,-0.014751952743475462,0.2979310344827586,0.01793103448275862,0.12042521381259073,0.0016413511475548148,0.10003013908863068,0.019577965140342712,0.0,0.0,0.028480084612965584,0.0,False
LAM2_PCA,20,65,-0.01078387447992961,0.03076923076923077,0.0,0.03321632356960037,0.0,0.07602079957723618,0.0,0.0,0.0,0.0,0.0,False
LAM2_PCA,21,65,-0.03718482936590146,0.03076923076923077,0.0,0.037731621122745286,0.0,0.02107875607907772,0.0,0.0,0.0,0.0,0.0,False
LAM2_PCA,22,53,-0.007136208948099389,0.018867924528301886,0.0,0.18052697733726258,0.0,0.04919493943452835,0.0,0.0,0.0,0.0,0.0,False
LAM2_PCA,23,46,-0.0435301006315411,0.13043478260869565,0.021739130434782608,0.10765983988426342,0.02086879126727581,0.03126212954521179,0.0,0.0,0.0,0.029973862692713737,0.0,False
LAM2_PCA,24,44,-0.03428302502632141,0.0,0.0,0.061314889582983166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
LAM2_PCA,25,38,0.15209354977126707,0.6842105263157895,0.10526315789473684,0.0775392170693979,0.01578136719763279,0.05995659902691841,0.028184615075588226,0.0,0.0,1.0787971019744873,0.0,True
LAM2_PCA,26,34,-0.009315107562962704,0.08823529411764706,0.0,0.10069074152319787,0.0,0.1782904863357544,0.0,0.0,0.0,0.019326556473970413,0.0,False
LAM2_PCA,27,26,-0.0707673153258287,0.4230769230769231,0.038461538461538464,0.32738541342742905,0.011157131753861904,0.0762496069073677,0.01316349022090435,0.0,0.0,0.026149127632379532,0.0,False
LAM2_PCA,28,24,-0.02263481766813331,0.25,0.041666666666666664,0.08160614383026009,0.0,0.0699523463845253,0.0,0.0,0.0,0.08110001683235168,0.0,False
LAM2_PCA,29,11,-0.05430277367071672,0.0,0.0,0.33409628207291936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
LAM2_PCA,3,675,-0.004110796393994932,0.40444444444444444,0.03851851851851852,0.13534960550129205,0.003100475063547492,0.12214399874210358,0.023635845631361008,0.0015330420574173331,0.0,0.05770786851644516,0.0,False
LAM2_PCA,30,9,-0.024735402323581554,0.5555555555555556,0.2222222222222222,0.3219231455558708,0.0,0.07741433382034302,0.031870510429143906,0.0,0.0,0.021608103066682816,0.0,False
LAM2_PCA,4,540,-0.01932855667011973,0.29444444444444445,0.024074074074074074,0.10673562175544325,0.0007609029999002814,0.07189050316810608,0.016524994745850563,0.0,0.0,0.04147126153111458,0.0,False
LAM2_PCA,5,447,-0.004014744030015847,0.3668903803131991,0.05145413870246085,0.12280690543381935,0.0020273078698664904,0.1390807032585144,0.01413043588399887,0.0,0.0,0.06925994902849197,0.0,False
LAM2_PCA,6,394,0.0052773570158154825,0.48223350253807107,0.06598984771573604,0.086080669663589,0.0010622097179293633,0.16904444992542267,0.020980263128876686,0.0,0.0,0.08354593813419342,0.0,False
LAM2_PCA,7,347,-0.012191431563823527,0.04899135446685879,0.0,0.018943919631815433,0.0,0.0635213628411293,0.0,0.0,0.0,0.017134616151452065,0.0,False
LAM2_PCA,8,311,0.014878602127042485,0.4405144694533762,0.05466237942122187,0.07855904497507869,0.0026161144487559795,0.1115780770778656,0.015584252774715424,0.001582673634402454,0.0,0.20825088024139404,0.0,False
LAM2_PCA,9,255,-0.01584605986869413,0.0196078431372549,0.0,0.01986481658083432,0.0,0.018345782533288002,0.0,0.0,0.0,0.013124257326126099,0.0,False
LAM4_PCA,0,210,-0.06557720838217508,0.6333333333333333,0.11904761904761904,0.04899499942090004,0.024848470464348793,0.21932227909564972,0.04518815129995346,0.025868868455290794,0.0,0.039068493992090225,0.009744048118591309,False
LAM4_PCA,1,132,0.02629914679912606,0.18181818181818182,0.0,0.07422923859704596,0.0,0.17249082028865814,0.0,0.011386577971279621,0.0,0.06264929473400116,0.0,False
LAM4_PCA,10,50,-0.023253290402094517,0.28,0.02,0.04692691418866276,0.021465394645929337,0.23977822065353394,0.05251431465148926,0.048774026334285736,0.0,0.030272049829363823,0.0,False
LAM4_PCA,11,47,-0.0023956746699962204,0.40425531914893614,0.0425531914893617,0.026705337789570786,0.022213120013475418,0.2901543080806732,0.05491221323609352,0.11526412516832352,0.0,0.045432720333337784,0.0,False
LAM4_PCA,12,38,0.11982197904586792,0.2894736842105263,0.0,0.0519853094331036,0.0,0.8813834190368652,0.0,0.0,0.0,0.06834004819393158,0.0,False
LAM4_PCA,13,35,1.080666080751873,1.8571428571428572,0.6,0.041480469783242685,1.0251469612121582,3.7526376247406006,0.0,0.28912755846977234,0.0,1.7317073345184326,0.0,True
