names,scores,logfoldchanges,pvals,pvals_adj
MIR4490,0.0,0.0,1.0,1.0
POTEB,0.0,0.0,1.0,1.0
MIR4489,0.0,0.0,1.0,1.0
POTEB2,0.0,0.0,1.0,1.0
MIR4488,0.0,0.0,1.0,1.0
MIR4487,0.0,0.0,1.0,1.0
MIR4486,0.0,0.0,1.0,1.0
MIR4484,0.0,0.0,1.0,1.0
MIR4482-1,0.0,0.0,1.0,1.0
MIR4480,0.0,0.0,1.0,1.0
POTEE,0.0,0.0,1.0,1.0
MIR448-1,0.0,0.0,1.0,1.0
POTEH,0.0,0.0,1.0,1.0
MIR448,0.0,0.0,1.0,1.0
MIR4479,0.0,0.0,1.0,1.0
POTEH-AS1,0.0,0.0,1.0,1.0
MIR4478,0.0,0.0,1.0,1.0
MIR4477A,0.0,0.0,1.0,1.0
MIR4497,0.0,0.0,1.0,1.0
PORCN-1,0.0,0.0,1.0,1.0
MIR450B,0.0,0.0,1.0,1.0
MIR4499,0.0,0.0,1.0,1.0
MIR450A2,0.0,0.0,1.0,1.0
MIR450A1,0.0,0.0,1.0,1.0
POM121L7,0.0,0.0,1.0,1.0
POM121L8P,0.0,0.0,1.0,1.0
POM121L9P,0.0,0.0,1.0,1.0
MIR4509-3-1,0.0,0.0,1.0,1.0
MIR4509-3,0.0,0.0,1.0,1.0
MIR4509-2,0.0,0.0,1.0,1.0
AC015933.2,0.0,0.0,1.0,1.0
MIR4509-1,0.0,0.0,1.0,1.0
MIR4508,0.0,0.0,1.0,1.0
AC015922.7,0.0,0.0,1.0,1.0
AC015922.6,0.0,0.0,1.0,1.0
AC015884.1,0.0,0.0,1.0,1.0
MIR4506,0.0,0.0,1.0,1.0
MIR4505,0.0,0.0,1.0,1.0
MIR4504,0.0,0.0,1.0,1.0
MIR4503,0.0,0.0,1.0,1.0
AC015849.2-1,0.0,0.0,1.0,1.0
POR-1,0.0,0.0,1.0,1.0
MIR4502,0.0,0.0,1.0,1.0
MIR4500,0.0,0.0,1.0,1.0
MIR449C,0.0,0.0,1.0,1.0
MIR449B,0.0,0.0,1.0,1.0
MIR449A,0.0,0.0,1.0,1.0
MIR4784,0.0,0.0,1.0,1.0
MIR4785,0.0,0.0,1.0,1.0
MIR4786,0.0,0.0,1.0,1.0
MIR5580,0.0,0.0,1.0,1.0
MIR5589,0.0,0.0,1.0,1.0
AC017019.1,0.0,0.0,1.0,1.0
MIR5588,0.0,0.0,1.0,1.0
MIR5587,0.0,0.0,1.0,1.0
MIR5586,0.0,0.0,1.0,1.0
MIR5585,0.0,0.0,1.0,1.0
MIR5584,0.0,0.0,1.0,1.0
MIR5583-1,0.0,0.0,1.0,1.0
AC017006.3,0.0,0.0,1.0,1.0
MIR5582,0.0,0.0,1.0,1.0
PIEZO1P1,0.0,0.0,1.0,1.0
MIR5581,0.0,0.0,1.0,1.0
MIR558,0.0,0.0,1.0,1.0
PIGG-1,0.0,0.0,1.0,1.0
MIR5579,0.0,0.0,1.0,1.0
MIR5572,0.0,0.0,1.0,1.0
MIR557,0.0,0.0,1.0,1.0
AC017006.2,0.0,0.0,1.0,1.0
PIGCP2,0.0,0.0,1.0,1.0
PIGFP1,0.0,0.0,1.0,1.0
PIGFP2,0.0,0.0,1.0,1.0
MIR556,0.0,0.0,1.0,1.0
MIR555,0.0,0.0,1.0,1.0
MIR554,0.0,0.0,1.0,1.0
MIR553,0.0,0.0,1.0,1.0
MIR552,0.0,0.0,1.0,1.0
MIR559,0.0,0.0,1.0,1.0
MIR5590,0.0,0.0,1.0,1.0
MIR5591,0.0,0.0,1.0,1.0
AC017020.1,0.0,0.0,1.0,1.0
MIR5690,0.0,0.0,1.0,1.0
MIR569,0.0,0.0,1.0,1.0
AC017028.4,0.0,0.0,1.0,1.0
MIR5689,0.0,0.0,1.0,1.0
MIR5688,0.0,0.0,1.0,1.0
MIR5687,0.0,0.0,1.0,1.0
AC017028.3,0.0,0.0,1.0,1.0
MIR5685,0.0,0.0,1.0,1.0
PI4K2A-1,0.0,0.0,1.0,1.0
MIR5684,0.0,0.0,1.0,1.0
MIR5683,0.0,0.0,1.0,1.0
AC017028.2,0.0,0.0,1.0,1.0
MIR5682,0.0,0.0,1.0,1.0
MIR5681A,0.0,0.0,1.0,1.0
MIR5680,0.0,0.0,1.0,1.0
MIR568,0.0,0.0,1.0,1.0
MIR567,0.0,0.0,1.0,1.0
MIR566,0.0,0.0,1.0,1.0
AC017028.10,0.0,0.0,1.0,1.0
MIR564,0.0,0.0,1.0,1.0
MIR563,0.0,0.0,1.0,1.0
PIAS3-1,0.0,0.0,1.0,1.0
AC017028.1,0.0,0.0,1.0,1.0
MIR562,0.0,0.0,1.0,1.0
MIR561,0.0,0.0,1.0,1.0
PIGFP3,0.0,0.0,1.0,1.0
MIR551B,0.0,0.0,1.0,1.0
MIR548AS,0.0,0.0,1.0,1.0
MIR548F5,0.0,0.0,1.0,1.0
MIR548J,0.0,0.0,1.0,1.0
MIR548I4,0.0,0.0,1.0,1.0
MIR548I3,0.0,0.0,1.0,1.0
MIR548I2,0.0,0.0,1.0,1.0
AC016909.2,0.0,0.0,1.0,1.0
MIR548I1,0.0,0.0,1.0,1.0
MIR548H5,0.0,0.0,1.0,1.0
MIR548H4,0.0,0.0,1.0,1.0
MIR548H3,0.0,0.0,1.0,1.0
MIR548H2,0.0,0.0,1.0,1.0
MIR548H1,0.0,0.0,1.0,1.0
MIR548G,0.0,0.0,1.0,1.0
MIR548F4,0.0,0.0,1.0,1.0
PIGHP1,0.0,0.0,1.0,1.0
MIR548F3,0.0,0.0,1.0,1.0
MIR548F2,0.0,0.0,1.0,1.0
MIR548F1,0.0,0.0,1.0,1.0
MIR548E,0.0,0.0,1.0,1.0
PIH1D2-1,0.0,0.0,1.0,1.0
MIR548D1,0.0,0.0,1.0,1.0
MIR548C,0.0,0.0,1.0,1.0
MIR548B,0.0,0.0,1.0,1.0
MIR548AX,0.0,0.0,1.0,1.0
AC016908.1,0.0,0.0,1.0,1.0
MIR548AW,0.0,0.0,1.0,1.0
MIR548AV,0.0,0.0,1.0,1.0
PIH1,0.0,0.0,1.0,1.0
PIGY,0.0,0.0,1.0,1.0
MIR548K,0.0,0.0,1.0,1.0
MIR548L,0.0,0.0,1.0,1.0
PIGPP3,0.0,0.0,1.0,1.0
MIR551A,0.0,0.0,1.0,1.0
MIR550A3,0.0,0.0,1.0,1.0
PIGPP4,0.0,0.0,1.0,1.0
PIGQP1,0.0,0.0,1.0,1.0
MIR550A2,0.0,0.0,1.0,1.0
AC016970.1,0.0,0.0,1.0,1.0
MIR550A1,0.0,0.0,1.0,1.0
MIR549,0.0,0.0,1.0,1.0
MIR548Y,0.0,0.0,1.0,1.0
MIR548X2,0.0,0.0,1.0,1.0
MIR548X,0.0,0.0,1.0,1.0
MIR548W,0.0,0.0,1.0,1.0
MIR548V,0.0,0.0,1.0,1.0
PIGUP1,0.0,0.0,1.0,1.0
MIR548U,0.0,0.0,1.0,1.0
MIR548T,0.0,0.0,1.0,1.0
MIR548S,0.0,0.0,1.0,1.0
MIR548Q,0.0,0.0,1.0,1.0
PIGW-1,0.0,0.0,1.0,1.0
MIR548P,0.0,0.0,1.0,1.0
MIR548O2,0.0,0.0,1.0,1.0
MIR548O,0.0,0.0,1.0,1.0
MIR548N,0.0,0.0,1.0,1.0
MIR548M,0.0,0.0,1.0,1.0
MIR5691,0.0,0.0,1.0,1.0
AC017028.5,0.0,0.0,1.0,1.0
MIR5692A1,0.0,0.0,1.0,1.0
MIR603,0.0,0.0,1.0,1.0
PHF8-1,0.0,0.0,1.0,1.0
MIR611,0.0,0.0,1.0,1.0
MIR610,0.0,0.0,1.0,1.0
AC017048.2,0.0,0.0,1.0,1.0
MIR609,0.0,0.0,1.0,1.0
MIR608,0.0,0.0,1.0,1.0
MIR607,0.0,0.0,1.0,1.0
MIR606,0.0,0.0,1.0,1.0
PHKA1-1,0.0,0.0,1.0,1.0
MIR605,0.0,0.0,1.0,1.0
MIR604,0.0,0.0,1.0,1.0
PHKA1-AS1-1,0.0,0.0,1.0,1.0
MIR602,0.0,0.0,1.0,1.0
AC017028.6,0.0,0.0,1.0,1.0
PHKA2-AS1,0.0,0.0,1.0,1.0
MIR601,0.0,0.0,1.0,1.0
AC017048.1,0.0,0.0,1.0,1.0
MIR600HG,0.0,0.0,1.0,1.0
MIR599,0.0,0.0,1.0,1.0
MIR598,0.0,0.0,1.0,1.0
MIR597,0.0,0.0,1.0,1.0
MIR596,0.0,0.0,1.0,1.0
PHKBP1,0.0,0.0,1.0,1.0
MIR595,0.0,0.0,1.0,1.0
MIR593,0.0,0.0,1.0,1.0
PHKBP2,0.0,0.0,1.0,1.0
MIR613,0.0,0.0,1.0,1.0
AC017053.1,0.0,0.0,1.0,1.0
PHF5CP,0.0,0.0,1.0,1.0
AC017074.1,0.0,0.0,1.0,1.0
PHBP4,0.0,0.0,1.0,1.0
PHBP5,0.0,0.0,1.0,1.0
PHBP5-1,0.0,0.0,1.0,1.0
PHBP6,0.0,0.0,1.0,1.0
PHBP8,0.0,0.0,1.0,1.0
MIR626,0.0,0.0,1.0,1.0
MIR625,0.0,0.0,1.0,1.0
MIR624,0.0,0.0,1.0,1.0
MIR623,0.0,0.0,1.0,1.0
MIR622,0.0,0.0,1.0,1.0
MIR621,0.0,0.0,1.0,1.0
AC017079.4,0.0,0.0,1.0,1.0
PHF1-1,0.0,0.0,1.0,1.0
MIR620,0.0,0.0,1.0,1.0
MIR619,0.0,0.0,1.0,1.0
PHF1-2,0.0,0.0,1.0,1.0
MIR618,0.0,0.0,1.0,1.0
MIR617,0.0,0.0,1.0,1.0
AC017079.3,0.0,0.0,1.0,1.0
AC017078.1,0.0,0.0,1.0,1.0
MIR616,0.0,0.0,1.0,1.0
MIR615,0.0,0.0,1.0,1.0
PHF16,0.0,0.0,1.0,1.0
MTUS2-AS2,0.0,0.0,1.0,1.0
PHF2P2,0.0,0.0,1.0,1.0
PHKG1P1,0.0,0.0,1.0,1.0
MIR592,0.0,0.0,1.0,1.0
MIR591,0.0,0.0,1.0,1.0
MIR5708,0.0,0.0,1.0,1.0
AC017028.7,0.0,0.0,1.0,1.0
MIR5707,0.0,0.0,1.0,1.0
MIR5706,0.0,0.0,1.0,1.0
MIR5705,0.0,0.0,1.0,1.0
MIR5704,0.0,0.0,1.0,1.0
MIR5703,0.0,0.0,1.0,1.0
MIR5702,0.0,0.0,1.0,1.0
MIR5701-2,0.0,0.0,1.0,1.0
MIR5701-1,0.0,0.0,1.0,1.0
MIR5700,0.0,0.0,1.0,1.0
MIR570,0.0,0.0,1.0,1.0
MIR5699,0.0,0.0,1.0,1.0
PHLDB1-1,0.0,0.0,1.0,1.0
MIR5698,0.0,0.0,1.0,1.0
MIR5697,0.0,0.0,1.0,1.0
MIR5696,0.0,0.0,1.0,1.0
MIR5695,0.0,0.0,1.0,1.0
MIR5694,0.0,0.0,1.0,1.0
MIR5693,0.0,0.0,1.0,1.0
MIR5692C2,0.0,0.0,1.0,1.0
PHOX2A,0.0,0.0,1.0,1.0
PHOX2B,0.0,0.0,1.0,1.0
MIR5692C1,0.0,0.0,1.0,1.0
MIR5692B,0.0,0.0,1.0,1.0
MIR5692A2,0.0,0.0,1.0,1.0
AC017028.8,0.0,0.0,1.0,1.0
MIR571,0.0,0.0,1.0,1.0
PHKG1P2,0.0,0.0,1.0,1.0
AC017028.9,0.0,0.0,1.0,1.0
MIR590-1,0.0,0.0,1.0,1.0
MIR590,0.0,0.0,1.0,1.0
PHKG1P4,0.0,0.0,1.0,1.0
MIR589,0.0,0.0,1.0,1.0
PHKG1P4-1,0.0,0.0,1.0,1.0
AC017035.2,0.0,0.0,1.0,1.0
MIR588,0.0,0.0,1.0,1.0
MIR587-1,0.0,0.0,1.0,1.0
MIR587,0.0,0.0,1.0,1.0
MIR586,0.0,0.0,1.0,1.0
MIR585,0.0,0.0,1.0,1.0
MIR584,0.0,0.0,1.0,1.0
MIR583,0.0,0.0,1.0,1.0
MIR582,0.0,0.0,1.0,1.0
MIR581,0.0,0.0,1.0,1.0
MIR580,0.0,0.0,1.0,1.0
MIR579,0.0,0.0,1.0,1.0
MIR578,0.0,0.0,1.0,1.0
MIR577,0.0,0.0,1.0,1.0
MIR576,0.0,0.0,1.0,1.0
MIR575,0.0,0.0,1.0,1.0
MIR574,0.0,0.0,1.0,1.0
MIR573,0.0,0.0,1.0,1.0
MIR572,0.0,0.0,1.0,1.0
MIR571-1,0.0,0.0,1.0,1.0
MIR548AT,0.0,0.0,1.0,1.0
MIR548AR,0.0,0.0,1.0,1.0
MIR4787,0.0,0.0,1.0,1.0
MIR5047-1,0.0,0.0,1.0,1.0
AC016752.1,0.0,0.0,1.0,1.0
MIR509-1-1,0.0,0.0,1.0,1.0
MIR509-1,0.0,0.0,1.0,1.0
MIR5089,0.0,0.0,1.0,1.0
MIR508-1,0.0,0.0,1.0,1.0
MIR508,0.0,0.0,1.0,1.0
MIR507-1,0.0,0.0,1.0,1.0
MIR507,0.0,0.0,1.0,1.0
MIR506-1,0.0,0.0,1.0,1.0
PLA2G2E,0.0,0.0,1.0,1.0
MIR506,0.0,0.0,1.0,1.0
MIR505,0.0,0.0,1.0,1.0
AC016751.2,0.0,0.0,1.0,1.0
MIR500A,0.0,0.0,1.0,1.0
MIR5047,0.0,0.0,1.0,1.0
MIR504,0.0,0.0,1.0,1.0
MIR503,0.0,0.0,1.0,1.0
MIR502-1,0.0,0.0,1.0,1.0
MIR502,0.0,0.0,1.0,1.0
MIR5011,0.0,0.0,1.0,1.0
MIR5010,0.0,0.0,1.0,1.0
MIR501-1,0.0,0.0,1.0,1.0
AC016745.1,0.0,0.0,1.0,1.0
MIR501,0.0,0.0,1.0,1.0
MIR500B-1,0.0,0.0,1.0,1.0
MIR500B,0.0,0.0,1.0,1.0
AC016753.7,0.0,0.0,1.0,1.0
MIR509-2,0.0,0.0,1.0,1.0
MIR509-2-1,0.0,0.0,1.0,1.0
MIR509-3,0.0,0.0,1.0,1.0
AC016821.1,0.0,0.0,1.0,1.0
PKMP1,0.0,0.0,1.0,1.0
PKMP2,0.0,0.0,1.0,1.0
MIR513A1,0.0,0.0,1.0,1.0
MIR512-2,0.0,0.0,1.0,1.0
MIR512-1,0.0,0.0,1.0,1.0
MIR511-2,0.0,0.0,1.0,1.0
MIR511-1,0.0,0.0,1.0,1.0
PKMP3,0.0,0.0,1.0,1.0
AC016773.1,0.0,0.0,1.0,1.0
MIR5100,0.0,0.0,1.0,1.0
MIR510-1,0.0,0.0,1.0,1.0
AC016772.4,0.0,0.0,1.0,1.0
MIR510,0.0,0.0,1.0,1.0
MIR5096,0.0,0.0,1.0,1.0
PKP4P1,0.0,0.0,1.0,1.0
MIR5095,0.0,0.0,1.0,1.0
MIR5094,0.0,0.0,1.0,1.0
AC016764.1,0.0,0.0,1.0,1.0
MIR5093,0.0,0.0,1.0,1.0
MIR5092,0.0,0.0,1.0,1.0
MIR5091,0.0,0.0,1.0,1.0
MIR5090,0.0,0.0,1.0,1.0
MIR509-3-1,0.0,0.0,1.0,1.0
PLA2G12AP2,0.0,0.0,1.0,1.0
MIR500A-1,0.0,0.0,1.0,1.0
MIR5009,0.0,0.0,1.0,1.0
MIR548AQ,0.0,0.0,1.0,1.0
AC016734.1,0.0,0.0,1.0,1.0
AC016735.3,0.0,0.0,1.0,1.0
MIR483,0.0,0.0,1.0,1.0
PLCXD2-AS1,0.0,0.0,1.0,1.0
MIR4804,0.0,0.0,1.0,1.0
MIR4803,0.0,0.0,1.0,1.0
MIR4802,0.0,0.0,1.0,1.0
MIR4801,0.0,0.0,1.0,1.0
AC016735.1,0.0,0.0,1.0,1.0
PLEC-1,0.0,0.0,1.0,1.0
MIR4800,0.0,0.0,1.0,1.0
MIR4799,0.0,0.0,1.0,1.0
AC016734.2,0.0,0.0,1.0,1.0
PLEKHA3P1-1,0.0,0.0,1.0,1.0
MIR5008,0.0,0.0,1.0,1.0
MIR4798,0.0,0.0,1.0,1.0
MIR4797,0.0,0.0,1.0,1.0
MIR4796,0.0,0.0,1.0,1.0
MIR4795,0.0,0.0,1.0,1.0
MIR4794,0.0,0.0,1.0,1.0
MIR4793,0.0,0.0,1.0,1.0
MIR4792,0.0,0.0,1.0,1.0
MIR4791,0.0,0.0,1.0,1.0
AC016727.3,0.0,0.0,1.0,1.0
MIR4790,0.0,0.0,1.0,1.0
MIR4789,0.0,0.0,1.0,1.0
MIR4788,0.0,0.0,1.0,1.0
MIR484,0.0,0.0,1.0,1.0
MIR485,0.0,0.0,1.0,1.0
MIR486,0.0,0.0,1.0,1.0
PLCH1-AS2,0.0,0.0,1.0,1.0
MIR5007,0.0,0.0,1.0,1.0
MIR5006,0.0,0.0,1.0,1.0
MIR5004-1,0.0,0.0,1.0,1.0
MIR5004,0.0,0.0,1.0,1.0
MIR5003,0.0,0.0,1.0,1.0
MIR5002,0.0,0.0,1.0,1.0
MIR5001,0.0,0.0,1.0,1.0
MIR5000,0.0,0.0,1.0,1.0
AC016739.1,0.0,0.0,1.0,1.0
MIR499A,0.0,0.0,1.0,1.0
MIR4999,0.0,0.0,1.0,1.0
MIR498,0.0,0.0,1.0,1.0
MIR496,0.0,0.0,1.0,1.0
MIR495,0.0,0.0,1.0,1.0
PLCB1-IT1,0.0,0.0,1.0,1.0
MIR494,0.0,0.0,1.0,1.0
MIR493,0.0,0.0,1.0,1.0
MIR492,0.0,0.0,1.0,1.0
MIR491,0.0,0.0,1.0,1.0
MIR490,0.0,0.0,1.0,1.0
MIR489,0.0,0.0,1.0,1.0
MIR488,0.0,0.0,1.0,1.0
MIR487B,0.0,0.0,1.0,1.0
MIR487A,0.0,0.0,1.0,1.0
AC016737.1,0.0,0.0,1.0,1.0
MIR513A1-1,0.0,0.0,1.0,1.0
MIR513A2,0.0,0.0,1.0,1.0
MIR513A2-1,0.0,0.0,1.0,1.0
MIR526B,0.0,0.0,1.0,1.0
MIR543,0.0,0.0,1.0,1.0
AC016903.1,0.0,0.0,1.0,1.0
MIR542,0.0,0.0,1.0,1.0
AC016894.1,0.0,0.0,1.0,1.0
PIN1P1,0.0,0.0,1.0,1.0
MIR541,0.0,0.0,1.0,1.0
MIR539,0.0,0.0,1.0,1.0
AC016885.1,0.0,0.0,1.0,1.0
PIN4P1,0.0,0.0,1.0,1.0
MIR532-1,0.0,0.0,1.0,1.0
MIR532,0.0,0.0,1.0,1.0
MIR527,0.0,0.0,1.0,1.0
MIR526A2,0.0,0.0,1.0,1.0
MIR513B,0.0,0.0,1.0,1.0
MIR526A1,0.0,0.0,1.0,1.0
AC016831.7-1,0.0,0.0,1.0,1.0
MIR525,0.0,0.0,1.0,1.0
MIR524,0.0,0.0,1.0,1.0
MIR523,0.0,0.0,1.0,1.0
MIR522,0.0,0.0,1.0,1.0
MIR521-2,0.0,0.0,1.0,1.0
MIR521-1,0.0,0.0,1.0,1.0
MIR520H,0.0,0.0,1.0,1.0
MIR520G,0.0,0.0,1.0,1.0
AC016831.6-1,0.0,0.0,1.0,1.0
MIR520F,0.0,0.0,1.0,1.0
PIM2-1,0.0,0.0,1.0,1.0
MIR544A,0.0,0.0,1.0,1.0
MIR544B,0.0,0.0,1.0,1.0
MIR545,0.0,0.0,1.0,1.0
MIR548AP,0.0,0.0,1.0,1.0
MIR548AO,0.0,0.0,1.0,1.0
MIR548AN,0.0,0.0,1.0,1.0
MIR548AM,0.0,0.0,1.0,1.0
MIR548AL,0.0,0.0,1.0,1.0
MIR548AK,0.0,0.0,1.0,1.0
MIR548AJ2,0.0,0.0,1.0,1.0
MIR548AJ1,0.0,0.0,1.0,1.0
MIR548AI,0.0,0.0,1.0,1.0
MIR548AH,0.0,0.0,1.0,1.0
MIR548AG2,0.0,0.0,1.0,1.0
MIR548AG1,0.0,0.0,1.0,1.0
MIR548AE2,0.0,0.0,1.0,1.0
MIR548AE1,0.0,0.0,1.0,1.0
AC016907.2,0.0,0.0,1.0,1.0
AC016907.1,0.0,0.0,1.0,1.0
MIR548AD,0.0,0.0,1.0,1.0
MIR548AC,0.0,0.0,1.0,1.0
AC016906.1,0.0,0.0,1.0,1.0
MIR548AB,0.0,0.0,1.0,1.0
MIR548AA2,0.0,0.0,1.0,1.0
MIR548A3,0.0,0.0,1.0,1.0
MIR548A2,0.0,0.0,1.0,1.0
MIR548A1,0.0,0.0,1.0,1.0
AC016903.2,0.0,0.0,1.0,1.0
MIR520E,0.0,0.0,1.0,1.0
PIP5K1P1,0.0,0.0,1.0,1.0
PIP5K1P2,0.0,0.0,1.0,1.0
MIR5188,0.0,0.0,1.0,1.0
MIR5187,0.0,0.0,1.0,1.0
MIR5186,0.0,0.0,1.0,1.0
MIR517C,0.0,0.0,1.0,1.0
AC016831.3,0.0,0.0,1.0,1.0
MIR517B,0.0,0.0,1.0,1.0
MIR517A,0.0,0.0,1.0,1.0
MIR516B2,0.0,0.0,1.0,1.0
MIR516B1,0.0,0.0,1.0,1.0
MIR516A2,0.0,0.0,1.0,1.0
MIR516A1,0.0,0.0,1.0,1.0
MIR515-2,0.0,0.0,1.0,1.0
MIR515-1,0.0,0.0,1.0,1.0
MIR514B-1,0.0,0.0,1.0,1.0
MIR514B,0.0,0.0,1.0,1.0
MIR514A3-1,0.0,0.0,1.0,1.0
MIR514A3,0.0,0.0,1.0,1.0
MIR514A2-1,0.0,0.0,1.0,1.0
MIR514A2,0.0,0.0,1.0,1.0
PKLR,0.0,0.0,1.0,1.0
MIR514A1-1,0.0,0.0,1.0,1.0
MIR514A1,0.0,0.0,1.0,1.0
PKLR-1,0.0,0.0,1.0,1.0
MIR513C-1,0.0,0.0,1.0,1.0
MIR513C,0.0,0.0,1.0,1.0
MIR513B-1,0.0,0.0,1.0,1.0
PKD1P1,0.0,0.0,1.0,1.0
MIR5189,0.0,0.0,1.0,1.0
MIR520D,0.0,0.0,1.0,1.0
MIR518A1,0.0,0.0,1.0,1.0
MIR520C,0.0,0.0,1.0,1.0
MIR520B,0.0,0.0,1.0,1.0
MIR520A,0.0,0.0,1.0,1.0
MIR519E,0.0,0.0,1.0,1.0
MIR519D,0.0,0.0,1.0,1.0
MIR519C,0.0,0.0,1.0,1.0
AC016831.5-1,0.0,0.0,1.0,1.0
MIR519B,0.0,0.0,1.0,1.0
AC016831.5,0.0,0.0,1.0,1.0
MIR519A1,0.0,0.0,1.0,1.0
MIR5197,0.0,0.0,1.0,1.0
MIR5196,0.0,0.0,1.0,1.0
MIR5194,0.0,0.0,1.0,1.0
MIR5193,0.0,0.0,1.0,1.0
MIR5192,0.0,0.0,1.0,1.0
PITX3,0.0,0.0,1.0,1.0
MIR5191,0.0,0.0,1.0,1.0
AC016831.3-1,0.0,0.0,1.0,1.0
MIR5190,0.0,0.0,1.0,1.0
MIR518F,0.0,0.0,1.0,1.0
MIR518E,0.0,0.0,1.0,1.0
MIR518D,0.0,0.0,1.0,1.0
MIR518C,0.0,0.0,1.0,1.0
MIR518B,0.0,0.0,1.0,1.0
MIR518A2,0.0,0.0,1.0,1.0
MIR614,0.0,0.0,1.0,1.0
MYB-AS1,0.0,0.0,1.0,1.0
AC062016.1,0.0,0.0,1.0,1.0
OCM2,0.0,0.0,1.0,1.0
ODF2-AS1,0.0,0.0,1.0,1.0
OR51A6P,0.0,0.0,1.0,1.0
OR51A7,0.0,0.0,1.0,1.0
OR51A8P,0.0,0.0,1.0,1.0
OR51A9P,0.0,0.0,1.0,1.0
OR51AB1P,0.0,0.0,1.0,1.0
OR51B3P,0.0,0.0,1.0,1.0
OR51B4,0.0,0.0,1.0,1.0
ODCP,0.0,0.0,1.0,1.0
OR51B5,0.0,0.0,1.0,1.0
OR51B6,0.0,0.0,1.0,1.0
AC021593.1,0.0,0.0,1.0,1.0
OR51B8P,0.0,0.0,1.0,1.0
OR52E8,0.0,0.0,1.0,1.0
OCLN-1,0.0,0.0,1.0,1.0
OR51C1P,0.0,0.0,1.0,1.0
AC021613.1,0.0,0.0,1.0,1.0
OR51C4P,0.0,0.0,1.0,1.0
OR51D1,0.0,0.0,1.0,1.0
OR51F1,0.0,0.0,1.0,1.0
OR51F2,0.0,0.0,1.0,1.0
OR51F3P,0.0,0.0,1.0,1.0
OR51F4P,0.0,0.0,1.0,1.0
OR51F5P,0.0,0.0,1.0,1.0
OR51G1,0.0,0.0,1.0,1.0
OR51G2,0.0,0.0,1.0,1.0
OR51A5P,0.0,0.0,1.0,1.0
ODF3,0.0,0.0,1.0,1.0
AC021205.1,0.0,0.0,1.0,1.0
AC021146.1,0.0,0.0,1.0,1.0
OR4Q3,0.0,0.0,1.0,1.0
OR4R1P,0.0,0.0,1.0,1.0
OR4R2P,0.0,0.0,1.0,1.0
OFD1P1Y,0.0,0.0,1.0,1.0
OR4R3P,0.0,0.0,1.0,1.0
OR4R3P-1,0.0,0.0,1.0,1.0
OR4S1,0.0,0.0,1.0,1.0
OR4S2,0.0,0.0,1.0,1.0
OFD1P18Y,0.0,0.0,1.0,1.0
OR4T1P,0.0,0.0,1.0,1.0
OR4U1P,0.0,0.0,1.0,1.0
OFD1P15Y,0.0,0.0,1.0,1.0
OR4V1P,0.0,0.0,1.0,1.0
OR4X1,0.0,0.0,1.0,1.0
OR4X2,0.0,0.0,1.0,1.0
OR4X7P,0.0,0.0,1.0,1.0
OR51A10P,0.0,0.0,1.0,1.0
OFD1P13Y,0.0,0.0,1.0,1.0
OFD1P12Y,0.0,0.0,1.0,1.0
OR51A1P,0.0,0.0,1.0,1.0
OFD1P11Y,0.0,0.0,1.0,1.0
OR51A2,0.0,0.0,1.0,1.0
OR51A3P,0.0,0.0,1.0,1.0
OR51A4,0.0,0.0,1.0,1.0
OFD1P10Y,0.0,0.0,1.0,1.0
OR51H1P,0.0,0.0,1.0,1.0
AC021654.1,0.0,0.0,1.0,1.0
OCIAD1-AS1,0.0,0.0,1.0,1.0
AC022021.1,0.0,0.0,1.0,1.0
AC022120.1,0.0,0.0,1.0,1.0
OR52B5P,0.0,0.0,1.0,1.0
NXT1P1,0.0,0.0,1.0,1.0
OR52B6,0.0,0.0,1.0,1.0
AC022142.1,0.0,0.0,1.0,1.0
AC022153.1,0.0,0.0,1.0,1.0
NXPE2P1,0.0,0.0,1.0,1.0
NXF4,0.0,0.0,1.0,1.0
NXF2-2,0.0,0.0,1.0,1.0
OR52D1,0.0,0.0,1.0,1.0
NXF2-1,0.0,0.0,1.0,1.0
OR52E1,0.0,0.0,1.0,1.0
OR52E1-1,0.0,0.0,1.0,1.0
AC022173.2,0.0,0.0,1.0,1.0
NUS1P4,0.0,0.0,1.0,1.0
NUS1P3,0.0,0.0,1.0,1.0
OR52E2,0.0,0.0,1.0,1.0
OR52E3P,0.0,0.0,1.0,1.0
NUS1P2,0.0,0.0,1.0,1.0
NUPL1P1,0.0,0.0,1.0,1.0
OR52E4,0.0,0.0,1.0,1.0
AC022210.1,0.0,0.0,1.0,1.0
AC022311.1,0.0,0.0,1.0,1.0
OR52E6,0.0,0.0,1.0,1.0
OR52E7P,0.0,0.0,1.0,1.0
NYX,0.0,0.0,1.0,1.0
AC021887.1,0.0,0.0,1.0,1.0
OR51H2P,0.0,0.0,1.0,1.0
AC021876.4,0.0,0.0,1.0,1.0
OR51I1,0.0,0.0,1.0,1.0
OR51I2,0.0,0.0,1.0,1.0
OR51J1,0.0,0.0,1.0,1.0
OR51K1P,0.0,0.0,1.0,1.0
OR51L1,0.0,0.0,1.0,1.0
OR51M1,0.0,0.0,1.0,1.0
OR51N1P,0.0,0.0,1.0,1.0
AC021660.1,0.0,0.0,1.0,1.0
AC021749.1,0.0,0.0,1.0,1.0
OC90-1,0.0,0.0,1.0,1.0
OR51P1P,0.0,0.0,1.0,1.0
OC90,0.0,0.0,1.0,1.0
