names,scores,logfoldchanges,pvals,pvals_adj
DES,6.5735855,6.3177066,4.9117800305678195e-11,1.1983425938945097e-08
LDHB,6.564161,1.2265579,5.232664894575036e-11,1.2621227367115703e-08
NDN,6.5313044,4.180121,6.519940228607965e-11,1.5491426639442886e-08
SLC40A1,6.30711,3.0177422,2.8429421189889184e-10,6.234183139146301e-08
C1S,6.3000746,3.8286672,2.975026997258771e-10,6.487698428234479e-08
AP1S2,6.2502775,2.0549073,4.097244583078819e-10,8.725760646043811e-08
NDUFS5,6.1649685,0.71770555,7.049710387467152e-10,1.4622293431359798e-07
COPS8,6.1162715,2.6861353,9.579013269734147e-10,1.9612952668066278e-07
HTR2B,6.0922766,8.028762,1.1131602284000576e-09,2.2502445671057293e-07
COL1A1,6.0779786,6.016252,1.217070149184356e-09,2.4294475200505404e-07
GSTP1,6.0147114,0.5471008,1.8020753458526728e-09,3.5199617115908174e-07
REXO2,6.0072336,1.9917982,1.8871558615444902e-09,3.663671457181967e-07
TGFB1I1,6.00023,4.007599,1.970384253231273e-09,3.813621826535191e-07
AKAP12,5.9520636,3.566103,2.6478250801714584e-09,5.003132273889553e-07
MFGE8,5.9312167,2.8134387,3.006978912861553e-09,5.64824177682257e-07
TCF21,5.882159,6.137531,4.0494848092337835e-09,7.495902447604059e-07
TCEAL3,5.8711925,2.372573,4.326722187583087e-09,7.962794472217579e-07
CYP1B1,5.8658066,3.2343462,4.4695423292089495e-09,8.201932187234532e-07
SLC25A3,5.8577914,0.9011375,4.690626352176116e-09,8.558309863252679e-07
FIGF,5.78266,7.637661,7.352865941026852e-09,1.307844817113874e-06
MEIS2,5.6925282,4.083663,1.2517193354650414e-08,2.148402483137667e-06
IFITM3,5.6581798,1.081926,1.529869313161893e-08,2.5977996867789292e-06
WBP5,5.6514416,1.9517009,1.5910788520136196e-08,2.687403927312235e-06
EIF1,5.6308603,0.40923902,1.7931307403668525e-08,3.00476805669316e-06
ALDOA,5.629918,0.6907648,1.8029497769103863e-08,3.0132922032630624e-06
HTRA1,5.588642,3.7001312,2.288522424483661e-08,3.7270138727326365e-06
BGN,5.5752854,5.2248397,2.471240675359094e-08,4.004101589945064e-06
SPARC,5.5053244,1.7540934,3.684890876389481e-08,5.866069908396324e-06
PLTP,5.481614,3.3729544,4.214625244335967e-08,6.610214080876389e-06
MXRA8,5.47968,6.8587184,4.260958523571107e-08,6.666463290059886e-06
KANK2,5.4526386,4.255313,4.9627870261830296e-08,7.63322196778398e-06
LMOD1,5.440186,6.037721,5.3224931214536064e-08,8.127587397956866e-06
EMX2,5.380452,8.7049,7.42989010704266e-08,1.1002630519678034e-05
MRPS6,5.355813,1.8991352,8.517258084098846e-08,1.2439299151861519e-05
FGF7,5.3236895,3.4301844,1.0168343786726634e-07,1.45177046481478e-05
PBX1,5.3037086,2.9232566,1.1347335532876136e-07,1.6092745762292958e-05
APP,5.3019958,2.0776863,1.1454355843648121e-07,1.6208422601244033e-05
PTMS,5.265738,1.0098463,1.3962713495613957e-07,1.9328341462178477e-05
CSRP2,5.2143736,4.896721,1.8443953109334512e-07,2.482992816370177e-05
PTRF,5.165278,2.1950848,2.4008181895955407e-07,3.1717199140845485e-05
SYNPO2,5.1605687,6.4415293,2.462006171123274e-07,3.2391150198061307e-05
CD99,5.1595764,1.1968551,2.475091662040141e-07,3.249616737396496e-05
ATP5L,5.146157,0.37667134,2.658771052630079e-07,3.462220129209111e-05
COL6A1,5.1238184,3.7847188,2.9940946975917407e-07,3.859412308877516e-05
GEM,5.1214924,4.3361444,3.031272881131936e-07,3.899441681855319e-05
SOD1,5.0999312,0.7701718,3.397770630091807e-07,4.3099569803258174e-05
PEBP1,5.0753107,0.6727103,3.8686330608089746e-07,4.820801319239395e-05
GADD45A,5.0749063,2.914169,3.876872665705317e-07,4.821633217463232e-05
MIR143HG,5.0619607,7.0596924,4.1496660441981026e-07,5.122935276475645e-05
EEF2,5.0534716,0.5548164,4.338509963150841e-07,5.3332683189875695e-05
ITM2C,5.040665,2.8896928,4.6391664990290987e-07,5.6483404428045104e-05
EFEMP2,5.0319104,3.7641487,4.856160082526009e-07,5.890013439523975e-05
C10orf10,5.0293064,2.8795595,4.922577012599525e-07,5.959219323788973e-05
PMP22,5.016032,2.7273679,5.274953388803449e-07,6.349588032870269e-05
CKB,4.966576,2.2685566,6.814525986193498e-07,8.020860835912077e-05
KCNC2,4.9454765,9.312681,7.595777364564246e-07,8.858540572222665e-05
COL4A2,4.909554,3.2635446,9.128366278920596e-07,0.00010511156953758169
CCDC80,4.8654966,3.7937799,1.1416977484562434e-06,0.0001302865367893337
RPL3,4.85623,0.21440874,1.1964175047096974e-06,0.00013555921253985659
TMEM98,4.848474,2.4492233,1.2441480160950896e-06,0.00014021878446174692
SOX4,4.846091,2.1259122,1.2591776434052964e-06,0.00014166193427406193
FERMT2,4.830649,2.905558,1.3608891134515604e-06,0.0001522976029477241
WFDC1,4.820674,5.777905,1.4307390119645557e-06,0.0001592747693441731
PLAT,4.7982473,4.6616116,1.6006023527102386e-06,0.00017725488002353018
TCEAL1,4.788222,2.3955545,1.6826549688264542e-06,0.00018473520767234847
RGS2,4.7673435,1.957869,1.866708323066112e-06,0.00020181050235633415
GPR143,4.7547836,7.19805,1.9865902309577237e-06,0.0002133222700450168
ASAH1,4.7437787,0.74356,2.0976795547891954e-06,0.00022449401850472536
