dataset,patient_id,identity_pool,gene,n_cells,n_assayed_cells,not_assayed_fraction,not_detected_fraction_among_assayed,detected_fraction_among_assayed,detected_low_fraction_among_assayed,detected_high_fraction_among_assayed,detected_unclassified_fraction_among_assayed
GSE122960_normal_lung,GSE122960_Donor_07,other,MITF,7516,7516,0.0,0.8746673762639702,0.1253326237360298,0.0018626929217668972,0.0645290047897818,0.05894092602448111
GSE122960_normal_lung,GSE122960_Donor_07,other,GPNMB,7516,7516,0.0,0.8238424693986163,0.17615753060138373,0.041644491750931344,0.05268759978712081,0.08182543906333156
GSE135851,Donor1,other,PMEL,7312,7312,0.0,0.9986323851203501,0.0013676148796498905,0.00041028446389496716,0.0,0.0009573304157549234
GSE135851,Donor1,other,MLANA,7312,7312,0.0,0.999863238512035,0.00013676148796498905,0.0,0.0,0.00013676148796498905
GSE135851,Donor1,other,TYRP1,7312,7312,0.0,0.999042669584245,0.0009573304157549234,0.0,0.0,0.0009573304157549234
GSE135851,Donor1,other,DCT,7312,7312,0.0,0.99972647702407,0.0002735229759299781,0.0,0.0,0.0002735229759299781
GSE135851,Donor1,other,MITF,7312,7312,0.0,0.874863238512035,0.125136761487965,0.02201859956236324,0.04403719912472648,0.05908096280087528
GSE135851,Donor1,other,GPNMB,7312,7312,0.0,0.7238785557986871,0.2761214442013129,0.06085886214442013,0.10352844638949672,0.11173413566739607
GSE135851,LAM1,broad_lam_like,PMEL,657,657,0.0,0.9497716894977168,0.0502283105022831,0.0182648401826484,0.0,0.0319634703196347
GSE135851,LAM1,broad_lam_like,MLANA,657,657,0.0,1.0,0.0,0.0,0.0,0.0
GSE135851,LAM1,broad_lam_like,TYRP1,657,657,0.0,0.9984779299847792,0.0015220700152207,0.0,0.0,0.0015220700152207
GSE135851,LAM1,broad_lam_like,DCT,657,657,0.0,0.9984779299847792,0.0015220700152207,0.0,0.0,0.0015220700152207
GSE135851,LAM1,broad_lam_like,MITF,657,657,0.0,0.6788432267884322,0.3211567732115677,0.1461187214611872,0.0273972602739726,0.1476407914764079
GSE135851,LAM1,broad_lam_like,GPNMB,657,657,0.0,0.2831050228310502,0.7168949771689498,0.197869101978691,0.0806697108066971,0.4383561643835616
GSE135851,LAM1,high_confidence,PMEL,74,74,0.0,0.5540540540540541,0.44594594594594594,0.0945945945945946,0.17567567567567569,0.17567567567567569
GSE135851,LAM1,high_confidence,MLANA,74,74,0.0,0.9594594594594594,0.04054054054054054,0.0,0.0,0.04054054054054054
GSE135851,LAM1,high_confidence,TYRP1,74,74,0.0,1.0,0.0,0.0,0.0,0.0
GSE135851,LAM1,high_confidence,DCT,74,74,0.0,1.0,0.0,0.0,0.0,0.0
GSE135851,LAM1,high_confidence,MITF,74,74,0.0,0.6081081081081081,0.3918918918918919,0.13513513513513514,0.0945945945945946,0.16216216216216217
GSE135851,LAM1,high_confidence,GPNMB,74,74,0.0,0.16216216216216217,0.8378378378378378,0.08108108108108109,0.22972972972972974,0.527027027027027
GSE135851,LAM1,unrestricted_lam,PMEL,6926,6926,0.0,1.0,0.0,0.0,0.0,0.0
GSE135851,LAM1,unrestricted_lam,MLANA,6926,6926,0.0,1.0,0.0,0.0,0.0,0.0
GSE135851,LAM1,unrestricted_lam,TYRP1,6926,6926,0.0,0.9998556165174703,0.00014438348252959862,0.0,0.0,0.00014438348252959862
GSE135851,LAM1,unrestricted_lam,DCT,6926,6926,0.0,0.9991336991048224,0.0008663008951775916,0.0,0.0,0.0008663008951775916
GSE135851,LAM1,unrestricted_lam,MITF,6926,6926,0.0,0.8131677736066993,0.1868322263933006,0.04880161709500433,0.04230436038117239,0.09572624891712388
GSE135851,LAM1,unrestricted_lam,GPNMB,6926,6926,0.0,0.5935604966791799,0.4064395033208201,0.10669939358937337,0.07002598902685533,0.2297141207045914
