dataset,patient_id,identity_pool,n_cells,module,mean_score,median_score,n_genes_available,mean_genes_detected,module_status
GSE122960_normal_lung,GSE122960_Donor_05,other,5341,cd8_cytotoxicity,0.027113664144806735,0.0,5,0.028084628346751545,analyzable
GSE122960_normal_lung,GSE122960_Donor_05,other,5341,identity_protected,0.05574985731307107,0.0,6,0.08200711477251452,partial_coverage
GSE122960_normal_lung,GSE122960_Donor_05,other,5341,ifn_response,1.1895899247140058,1.230117877307583,9,2.049428945890283,analyzable
GSE122960_normal_lung,GSE122960_Donor_05,other,5341,immune_evasion,1.0029971874470427,1.004400802554858,6,1.2132559445796667,partial_coverage
GSE122960_normal_lung,GSE122960_Donor_05,other,5341,inflammatory,0.7453200717513164,0.686544788526056,10,1.4480434375585096,analyzable
GSE122960_normal_lung,GSE122960_Donor_05,other,5341,macrophage_markers,2.652708504186349,1.4156386881733796,7,3.057479872683018,analyzable
GSE122960_normal_lung,GSE122960_Donor_05,other,5341,macrophage_suppressive,2.4567253856867874,1.335981969450022,8,3.258753042501404,analyzable
GSE122960_normal_lung,GSE122960_Donor_05,other,5341,nk_ligands,0.19299784306222612,0.0,5,0.20782624976596142,partial_coverage
GSE122960_normal_lung,GSE122960_Donor_05,other,5341,nk_markers,0.048595287578834634,0.0,4,0.03969294139674218,analyzable
GSE122960_normal_lung,GSE122960_Donor_05,other,5341,nk_state,0.3144269691010324,0.0,5,0.34244523497472384,analyzable
GSE122960_normal_lung,GSE122960_Donor_05,other,5341,presentation_machinery,2.6950443230197436,2.744370464319567,12,5.286650439992511,analyzable
GSE122960_normal_lung,GSE122960_Donor_05,other,5341,stem_like,0.45071576615917924,0.5323408107938332,10,0.8421643886912563,analyzable
GSE122960_normal_lung,GSE122960_Donor_05,other,5341,t_cell_exhaustion,0.21556137634521627,0.0,5,0.23909380265867816,analyzable
GSE122960_normal_lung,GSE122960_Donor_05,other,5341,t_cell_markers,0.03428528480734343,0.0,6,0.046246021344317545,analyzable
GSE122960_normal_lung,GSE122960_Donor_06,other,4300,antigen_associated,0.4750323942181604,0.0,6,0.6446511627906977,analyzable
GSE122960_normal_lung,GSE122960_Donor_06,other,4300,cd8_cytotoxicity,0.09622959902952127,0.0,5,0.09581395348837209,analyzable
GSE122960_normal_lung,GSE122960_Donor_06,other,4300,identity_protected,0.0682905146892355,0.0,6,0.10883720930232559,partial_coverage
GSE122960_normal_lung,GSE122960_Donor_06,other,4300,ifn_response,1.2172539824632347,1.2416041046219413,9,2.290232558139535,analyzable
GSE122960_normal_lung,GSE122960_Donor_06,other,4300,immune_evasion,1.3090884293837928,1.2674847173021524,6,1.6483720930232557,partial_coverage
GSE122960_normal_lung,GSE122960_Donor_06,other,4300,inflammatory,0.8943779093424508,0.7552637157608365,10,1.7955813953488373,analyzable
GSE122960_normal_lung,GSE122960_Donor_06,other,4300,macrophage_markers,2.9637200736612646,1.8963369186867738,7,3.4627906976744187,analyzable
GSE122960_normal_lung,GSE122960_Donor_06,other,4300,macrophage_suppressive,2.7363788551932338,1.7127435603801433,8,3.7109302325581397,analyzable
GSE122960_normal_lung,GSE122960_Donor_06,other,4300,nk_ligands,0.14597700912012523,0.0,5,0.1744186046511628,partial_coverage
GSE122960_normal_lung,GSE122960_Donor_06,other,4300,nk_markers,0.1906083366777599,0.0,4,0.14837209302325582,analyzable
GSE122960_normal_lung,GSE122960_Donor_06,other,4300,nk_state,0.42885854392507383,0.0,5,0.4753488372093023,analyzable
GSE122960_normal_lung,GSE122960_Donor_06,other,4300,presentation_machinery,2.9130443940902166,2.9238182910431707,12,5.872093023255814,analyzable
GSE122960_normal_lung,GSE122960_Donor_06,other,4300,stem_like,0.394328630606444,0.446828341668349,10,0.7932558139534883,analyzable
GSE122960_normal_lung,GSE122960_Donor_06,other,4300,t_cell_exhaustion,0.28818252059302796,0.0,5,0.3437209302325581,analyzable
GSE122960_normal_lung,GSE122960_Donor_06,other,4300,t_cell_markers,0.11454652651560951,0.0,6,0.13744186046511628,analyzable
GSE122960_normal_lung,GSE122960_Donor_07,other,7516,antigen_associated,0.26754372652758285,0.0,6,0.3041511442256519,analyzable
