module,n_genes,KO_vehicle_minus_WT_vehicle,KO_rapamycin_minus_KO_vehicle,KO_rapamycin_vs_WT_vehicle_descriptive
ecM_invasion,10,41.508790211144444,28.38544941842223,69.89423962956667
survival_stress,8,-3.442707602357147,-3.6109341109047617,-7.053641713261909
autophagy_lysosome,8,11.332195665048612,16.552472098013897,27.884667763062502
metabolism_lipogenesis,8,5.882754165604167,-9.646679460312498,-3.7639252947083337
mTORC1,6,-0.35424253826666857,1.1699755868666664,0.8157330485999978
mapk_cdk,8,6.572846012729167,-0.23738731808333605,6.335458694645832
myogenic,4,18.978788531666666,-1.9599516818333373,12.830656441874996
protein_translation,4,-2.371756339629627,-60.823854061944445,-63.19561040157407
