                 Package            Version     
RcppProgress     "RcppProgress"     "0.4.2"     
RcppTOML         "RcppTOML"         "0.2.3"     
Rdpack           "Rdpack"           "2.6.6"     
rdtools          "rdtools"          "0.1.0"     
reformulas       "reformulas"       "0.4.4"     
remotes          "remotes"          "2.5.0"     
reshape2         "reshape2"         "1.4.5"     
reticulate       "reticulate"       "1.46.0"    
rex              "rex"              "1.2.2"     
RhpcBLASctl      "RhpcBLASctl"      "0.23-42"   
rjson            "rjson"            "0.2.23"    
rlang            "rlang"            "1.3.0"     
rmarkdown        "rmarkdown"        "2.31"      
Rnanoflann       "Rnanoflann"       "0.0.3"     
robustbase       "robustbase"       "0.99-7"    
ROCR             "ROCR"             "1.0-12"    
rprojroot        "rprojroot"        "2.1.1"     
RSpectra         "RSpectra"         "0.16-2"    
RSQLite          "RSQLite"          "3.53.3"    
rstudioapi       "rstudioapi"       "0.19.0"    
rsvd             "rsvd"             "1.0.5"     
Rtsne            "Rtsne"            "0.17"      
S7               "S7"               "0.2.2"     
sandwich         "sandwich"         "3.1-3"     
sass             "sass"             "0.4.10"    
scales           "scales"           "1.4.0"     
scattermore      "scattermore"      "1.2"       
sctransform      "sctransform"      "0.4.3"     
segmented        "segmented"        "2.2-1"     
Seurat           "Seurat"           "5.5.1"     
SeuratObject     "SeuratObject"     "5.4.0"     
shiny            "shiny"            "1.14.0"    
sitmo            "sitmo"            "2.0.2"     
sn               "sn"               "2.1.3"     
sourcetools      "sourcetools"      "0.1.7-2"   
sp               "sp"               "2.2-3"     
spam             "spam"             "2.11-4"    
SparseM          "SparseM"          "1.84-2"    
spatstat.data    "spatstat.data"    "3.1-9"     
spatstat.explore "spatstat.explore" "3.8-2"     
spatstat.geom    "spatstat.geom"    "3.8-2"     
spatstat.random  "spatstat.random"  "3.5-1"     
spatstat.sparse  "spatstat.sparse"  "3.2-0"     
spatstat.univar  "spatstat.univar"  "3.2-0"     
spatstat.utils   "spatstat.utils"   "3.2-4"     
stringi          "stringi"          "1.8.9"     
stringr          "stringr"          "1.6.0"     
sys              "sys"              "3.4.3"     
systemfonts      "systemfonts"      "1.3.2"     
tensor           "tensor"           "1.5.1"     
textshaping      "textshaping"      "1.0.5"     
TFisher          "TFisher"          "0.2.0"     
TH.data          "TH.data"          "1.1-5"     
tibble           "tibble"           "3.3.1"     
tidyr            "tidyr"            "1.3.2"     
tidyselect       "tidyselect"       "1.2.1"     
tinytex          "tinytex"          "0.60"      
utf8             "utf8"             "1.2.6"     
uwot             "uwot"             "0.2.4"     
vctrs            "vctrs"            "0.7.3"     
VennDiagram      "VennDiagram"      "1.8.2"     
VGAM             "VGAM"             "1.1-14"    
vipor            "vipor"            "0.4.7"     
viridisLite      "viridisLite"      "0.4.3"     
waldo            "waldo"            "0.6.2"     
webfakes         "webfakes"         "1.5.0"     
withr            "withr"            "3.0.3"     
wk               "wk"               "0.9.5"     
WriteXLS         "WriteXLS"         "6.8.0"     
xfun             "xfun"             "0.60"      
xml2             "xml2"             "1.6.0"     
xtable           "xtable"           "1.8-8"     
yaml             "yaml"             "2.3.12"    
zigg             "zigg"             "0.0.2"     
zoo              "zoo"              "1.9-0"     
