dataset_id,tree_kind,role,organism,relative_path,filename,file_category,provenance_status,size_bytes,size_gib,source_url,file_source_url,checksum_type,checksum,checksum_status,manifest_status,verification_note,dataset_notes
GSE135851,processed,human_lamcore_validation,Homo sapiens,data/processed/GSE135851/GSE135851_lam_states_snapshot.h5ad,GSE135851_lam_states_snapshot.h5ad,copied_input_snapshot,copied_input,455414758,0.424138,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE135851,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE135851,,,not_computed_large_file,,Read-only local snapshot used for preliminary human mapping.,"Copied local snapshot with preliminary candidate/other labels, not formal LAMCORE/LAF taxonomy."
GSE302356,processed,human_lamcore_laf_spatial_validation,Homo sapiens,data/processed/GSE302356/paper_state_marker_panels.csv,paper_state_marker_panels.csv,derived_marker_panel,derived_from_paper,6855,6e-06,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE302356,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE302356,sha256,21d9db3a851736ac73b9512625bf2609daf92ed8781f05778ad68ba971df7e6b,computed_sha256,,Operational marker panel derived from the GSE302356 study report.,Multiple non-fully-paired modalities; LAM19 Xenium archive is staged but not in the current module-score pass.
Unassigned,unknown,supporting_or_derived_data,,data/processed/LINCS/candidate_intermediate/GSE70138_NCS_denominators.csv,GSE70138_NCS_denominators.csv,derived_processed,derived_local,113649,0.000106,,,sha256,15b5abf8eed80354e929052c833fa309187a1fbaafa16940944c99ef2efac6dd,computed_sha256,,Derived analysis input.,
Unassigned,unknown,supporting_or_derived_data,,data/processed/LINCS/candidate_intermediate/GSE70138_raw_WTCS.parquet,GSE70138_raw_WTCS.parquet,derived_processed,derived_local,132041880,0.122974,,,sha256,ab05c7d092d6ac1ad1bb73e99faa770054f3a96a4d39f722fdc1a5477e771c92,computed_sha256,,Derived analysis input.,
Unassigned,unknown,supporting_or_derived_data,,data/processed/LINCS/candidate_intermediate/GSE92742_NCS_denominators.csv,GSE92742_NCS_denominators.csv,derived_processed,derived_local,407268,0.000379,,,sha256,546e94587b50329f997739f24ccb204a5271106251639654a5854f56f49083ff,computed_sha256,,Derived analysis input.,
Unassigned,unknown,supporting_or_derived_data,,data/processed/LINCS/candidate_intermediate/GSE92742_raw_WTCS.parquet,GSE92742_raw_WTCS.parquet,derived_processed,derived_local,743194011,0.692153,,,,,not_computed_large_file,,Derived analysis input.,
GSE70138,processed,LINCS_cross_release_cmap_candidate_generation,Homo sapiens,data/processed/LINCS/gctx/GSE70138_Level5.gctx,GSE70138_Level5.gctx,derived_processed,derived_local,5824120558,5.424135,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE70138,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE70138,,,not_computed_large_file,,Derived analysis input.,LINCS phase/release Level 5 GCTX and metadata; not independent biological replication.
GSE92742,processed,LINCS_cross_release_cmap_candidate_generation,Homo sapiens,data/processed/LINCS/gctx/GSE92742_Level5.gctx,GSE92742_Level5.gctx,derived_processed,derived_local,23380287022,21.774589,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE92742,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE92742,,,not_computed_large_file,,Derived analysis input.,LINCS phase/release Level 5 GCTX and metadata; not independent biological replication.
Unassigned,unknown,supporting_or_derived_data,,data/processed/candidate_analysis/audit/LINCS_gene_analysis_signature_audit.csv,LINCS_gene_analysis_signature_audit.csv,derived_processed,derived_local,5817,5e-06,,,sha256,61ca2a4f63ccc186d5b4e3d0cb7f82285f54d40aeb9a13c33cc14c0c55a46102,computed_sha256,,Derived analysis input.,
Unassigned,unknown,supporting_or_derived_data,,data/processed/candidate_analysis/audit/LINCS_gene_panel_mapping_audit.csv,LINCS_gene_panel_mapping_audit.csv,derived_processed,derived_local,44452,4.1e-05,,,sha256,5113a6dc8460ee32404becb7eb9ed418bec3e63cd36bc1eb3de7cd88fb694c72,computed_sha256,,Derived analysis input.,
Unassigned,unknown,supporting_or_derived_data,,data/processed/candidate_analysis/deconvolution/LINCS_enrichment_library_audit.csv,LINCS_enrichment_library_audit.csv,derived_processed,derived_local,301,0.0,,,sha256,e2d264f619c67274021e5272c9a8c9c43f45871a286421ffcd5f9873101d1bb6,computed_sha256,,Derived analysis input.,
Unassigned,unknown,supporting_or_derived_data,,data/processed/candidate_analysis/deconvolution/LINCS_generic_stress_burden.csv,LINCS_generic_stress_burden.csv,derived_processed,derived_local,12574,1.2e-05,,,sha256,2c414faae42b1cc63e24faf08e697486ac5db98a867beadefb4ea43000adf17e,computed_sha256,,Derived analysis input.,
Unassigned,unknown,supporting_or_derived_data,,data/processed/candidate_analysis/deconvolution/LINCS_generic_stress_program_coefficients_and_audit.csv,LINCS_generic_stress_program_coefficients_and_audit.csv,derived_processed,derived_local,28705,2.7e-05,,,sha256,0d757ffad433c0076fde75725e1035d05d95cadac20ec9943fa637c3e83f7bd3,computed_sha256,,Derived analysis input.,
Unassigned,unknown,supporting_or_derived_data,,data/processed/candidate_analysis/deconvolution/LINCS_module_stress_adjusted_retention.csv,LINCS_module_stress_adjusted_retention.csv,derived_processed,derived_local,29364,2.7e-05,,,sha256,eac049784082ab986b90470f3ce7b2cc321e2f47c0b2c958cdddda4e9b37150a,computed_sha256,,Derived analysis input.,
Unassigned,unknown,supporting_or_derived_data,,data/processed/candidate_analysis/deconvolution/LINCS_stable_module_GO_Reactome_MSigDB_enrichment.csv.gz,LINCS_stable_module_GO_Reactome_MSigDB_enrichment.csv.gz,derived_processed,derived_local,24742,2.3e-05,,,sha256,64237cc4a9178e2caf302f5ec795adbe234b52ca02460cddf51cf0b14e7b9ae4,computed_sha256,,Derived analysis input.,
Unassigned,unknown,supporting_or_derived_data,,data/processed/candidate_analysis/deconvolution/LINCS_stress_adjusted_gene_effects.csv.gz,LINCS_stress_adjusted_gene_effects.csv.gz,derived_processed,derived_local,560849,0.000522,,,sha256,615bc45bd93a9461ed41e5f78b3bdb2b16127db0e7082af4ff340de722e14ecf,computed_sha256,,Derived analysis input.,
Unassigned,unknown,supporting_or_derived_data,,data/processed/candidate_analysis/drug_targets/tsc2_loss_plastic_replicated_concordant_bindingdb_affinity_evidence.csv.gz,tsc2_loss_plastic_replicated_concordant_bindingdb_affinity_evidence.csv.gz,derived_processed,derived_local,16497,1.5e-05,,,sha256,c9431f1d2de3c03e636567266637ce88622bd1424638f30744a683c20c52496b,computed_sha256,,Derived analysis input.,
Unassigned,unknown,supporting_or_derived_data,,data/processed/candidate_analysis/drug_targets/tsc2_loss_plastic_replicated_concordant_bindingdb_target_summary.csv,tsc2_loss_plastic_replicated_concordant_bindingdb_target_summary.csv,derived_processed,derived_local,77607,7.2e-05,,,sha256,549d087b2ff1f9e0ba9c282ddc5da486a732a6dac365bcbb0fc118e71e508369,computed_sha256,,Derived analysis input.,
Unassigned,unknown,supporting_or_derived_data,,data/processed/candidate_analysis/drug_targets/tsc2_loss_plastic_replicated_concordant_compound_targets.csv,tsc2_loss_plastic_replicated_concordant_compound_targets.csv,derived_processed,derived_local,290494,0.000271,,,sha256,594af51e62cff6b31caa7a80b8ca00cb692aeda62d1deee2ade2edb971958ca9,computed_sha256,,Derived analysis input.,
Unassigned,unknown,supporting_or_derived_data,,data/processed/candidate_analysis/drug_targets/tsc2_loss_plastic_replicated_concordant_drug_target_analysis.csv,tsc2_loss_plastic_replicated_concordant_drug_target_analysis.csv,derived_processed,derived_local,7147,7e-06,,,sha256,8d3b8ac242c99af624590c126426e83625dc61719d1b1e1232e4571f7f5cfa7d,computed_sha256,,Derived analysis input.,
Unassigned,unknown,supporting_or_derived_data,,data/processed/candidate_analysis/drug_targets/tsc2_loss_plastic_replicated_concordant_pubchem_assay_target_evidence.csv.gz,tsc2_loss_plastic_replicated_concordant_pubchem_assay_target_evidence.csv.gz,derived_processed,derived_local,429809,0.0004,,,sha256,0cd72bcc57bb36b17346a1006d7b6add62cebbf9f0290f05e42cf7b585638d39,computed_sha256,,Derived analysis input.,
Unassigned,unknown,supporting_or_derived_data,,data/processed/candidate_analysis/drug_targets/tsc2_loss_plastic_replicated_concordant_pubchem_assay_target_summary.csv,tsc2_loss_plastic_replicated_concordant_pubchem_assay_target_summary.csv,derived_processed,derived_local,377182,0.000351,,,sha256,233503b03d3f1c2346c3bd1a048209c700109418a42f99783f35aee39cbd9724,computed_sha256,,Derived analysis input.,
Unassigned,unknown,supporting_or_derived_data,,data/processed/candidate_analysis/drug_targets/tsc2_loss_plastic_replicated_concordant_pubchem_identity.csv,tsc2_loss_plastic_replicated_concordant_pubchem_identity.csv,derived_processed,derived_local,12467,1.2e-05,,,sha256,75e66dfa713b3977dff99464ee2d768d73780c39bc01ce8a9ad95daec7a91e61,computed_sha256,,Derived analysis input.,
Unassigned,unknown,supporting_or_derived_data,,data/processed/candidate_analysis/drug_targets/tsc2_loss_plastic_replicated_concordant_target_family_summary.csv,tsc2_loss_plastic_replicated_concordant_target_family_summary.csv,derived_processed,derived_local,710,1e-06,,,sha256,56201789484ab6d709486c4c9edc3fb776e2f391d6de6836ec8578a10e5d84dd,computed_sha256,,Derived analysis input.,
Unassigned,unknown,supporting_or_derived_data,,data/processed/candidate_analysis/drug_targets/tsc2_loss_plastic_replicated_concordant_target_summary.csv,tsc2_loss_plastic_replicated_concordant_target_summary.csv,derived_processed,derived_local,7087,7e-06,,,sha256,5e4b69711bc8c638636ac4b339444973f8560fb26a136a65264b71a34aa29d16,computed_sha256,,Derived analysis input.,
Unassigned,unknown,supporting_or_derived_data,,data/processed/candidate_analysis/programs/GSE70138_mimic_only_drug_gene_direction_stability.csv,GSE70138_mimic_only_drug_gene_direction_stability.csv,derived_processed,derived_local,36486,3.4e-05,,,sha256,641d1b7e387bd79c045a7c1e71cb106a8c42db0cfaffc9def002203acc5a770c,computed_sha256,,Derived analysis input.,
Unassigned,unknown,supporting_or_derived_data,,data/processed/candidate_analysis/programs/GSE70138_reversal_only_drug_gene_direction_stability.csv,GSE70138_reversal_only_drug_gene_direction_stability.csv,derived_processed,derived_local,80310,7.5e-05,,,sha256,3b9bd23f8cbf95f68f52647b7d7e774406abf7890599b265f8e88402c84183b5,computed_sha256,,Derived analysis input.,
Unassigned,unknown,supporting_or_derived_data,,data/processed/candidate_analysis/programs/GSE92742_mimic_only_drug_gene_direction_stability.csv,GSE92742_mimic_only_drug_gene_direction_stability.csv,derived_processed,derived_local,37503,3.5e-05,,,sha256,8a59c096d2bb1832fa3ee69ee594182011d848a18a6331fc293d06cbed69e298,computed_sha256,,Derived analysis input.,
Unassigned,unknown,supporting_or_derived_data,,data/processed/candidate_analysis/programs/GSE92742_reversal_only_drug_gene_direction_stability.csv,GSE92742_reversal_only_drug_gene_direction_stability.csv,derived_processed,derived_local,72235,6.7e-05,,,sha256,eb4aec0308d846725d8dea20844aa1b6c60cfaaba5700c6ae431711b6dc6e9fe,computed_sha256,,Derived analysis input.,
Unassigned,unknown,supporting_or_derived_data,,data/processed/candidate_analysis/programs/LINCS_cross_release_common_gene_comparison.csv.gz,LINCS_cross_release_common_gene_comparison.csv.gz,derived_processed,derived_local,894942,0.000833,,,sha256,6b9b039d34458b7b32a6fc42cc1a8e38af342a3c4a120a88aad18e22a7471fd5,computed_sha256,,Derived analysis input.,
Unassigned,unknown,supporting_or_derived_data,,data/processed/candidate_analysis/programs/LINCS_cross_release_module_matches.csv,LINCS_cross_release_module_matches.csv,derived_processed,derived_local,9586,9e-06,,,sha256,f7a4797d16c062615d0d7fe030e6d288b4a5e4d1694ebc7c3e9a074214bb3c77,computed_sha256,,Derived analysis input.,
Unassigned,unknown,supporting_or_derived_data,,data/processed/candidate_analysis/programs/LINCS_drug_gene_clusters.csv,LINCS_drug_gene_clusters.csv,derived_processed,derived_local,33548,3.1e-05,,,sha256,cbda531c0fdb3d79aa1bccbb3c8017710a9567dd3cd1a0d578cd244a3a02062e,computed_sha256,,Derived analysis input.,
Unassigned,unknown,supporting_or_derived_data,,data/processed/candidate_analysis/programs/LINCS_drug_gene_response_summary.csv.gz,LINCS_drug_gene_response_summary.csv.gz,derived_processed,derived_local,1500919,0.001398,,,sha256,1a8651f2a56a360466f921bdb76556ee195907c61a54bcefe94d5b0c9483adf3,computed_sha256,,Derived analysis input.,
Unassigned,unknown,supporting_or_derived_data,,data/processed/candidate_analysis/programs/LINCS_posthoc_module_overlap.csv,LINCS_posthoc_module_overlap.csv,derived_processed,derived_local,20886,1.9e-05,,,sha256,211dcf9528f2a8b0ec71bb19abefff4d4a6d227bec08c0e5e7523e9502afcf2d,computed_sha256,,Derived analysis input.,
Unassigned,unknown,supporting_or_derived_data,,data/processed/candidate_analysis/validation/GSE207322_BTK_ibrutinib_module_gene_validation.csv.gz,GSE207322_BTK_ibrutinib_module_gene_validation.csv.gz,derived_processed,derived_local,14986,1.4e-05,,,sha256,603df854000218502ba16d7981f1a2d92022f9c806dfa78d8ca6d83bb4e720c8,computed_sha256,,Derived analysis input.,
Unassigned,unknown,supporting_or_derived_data,,data/processed/candidate_analysis/validation/GSE207322_BTK_ibrutinib_module_validation.csv,GSE207322_BTK_ibrutinib_module_validation.csv,derived_processed,derived_local,5344,5e-06,,,sha256,d707aa31a0c80d6b374f3f128daeef999f762bdc511a1cc916b78eeedc04f75f,computed_sha256,,Derived analysis input.,
Unassigned,unknown,supporting_or_derived_data,,data/processed/candidate_analysis/validation/GSE49414_RET_RPI1_module_gene_validation.csv.gz,GSE49414_RET_RPI1_module_gene_validation.csv.gz,derived_processed,derived_local,9487,9e-06,,,sha256,2cde12f00f0730118d4bcc29c88c04db9a0cb960eba0d962534c876d42ccf8e4,computed_sha256,,Derived analysis input.,
Unassigned,unknown,supporting_or_derived_data,,data/processed/candidate_analysis/validation/GSE49414_RET_RPI1_module_validation.csv,GSE49414_RET_RPI1_module_validation.csv,derived_processed,derived_local,1124,1e-06,,,sha256,8e7f95bd1c774fb4d893fe5c4de5fa0e1334b2773b95c448b8def3621d5df2eb,computed_sha256,,Derived analysis input.,
Unassigned,unknown,supporting_or_derived_data,,data/processed/candidate_analysis/validation/LINCS_lestaurtinib_qlx138_target_axis_analysis.csv,LINCS_lestaurtinib_qlx138_target_axis_analysis.csv,derived_processed,derived_local,8239,8e-06,,,sha256,d3baff18ea27d09927eeb5bdcd189b13f23dca78776492451ca99451e20cff06,computed_sha256,,Derived analysis input.,
Unassigned,unknown,supporting_or_derived_data,,data/processed/candidate_analysis/validation/LINCS_selective_reference_availability.csv,LINCS_selective_reference_availability.csv,derived_processed,derived_local,1072,1e-06,,,sha256,263c8b7b93e4e8491120c6d1aa17901ac6d6f3100edbc5b52ecece9a51276fda,computed_sha256,,Derived analysis input.,
Unassigned,unknown,supporting_or_derived_data,,data/processed/candidate_analysis/validation/LINCS_selective_reference_gene_summary.csv.gz,LINCS_selective_reference_gene_summary.csv.gz,derived_processed,derived_local,114218,0.000106,,,sha256,2e56fa4921a82062756036113bb14a19ae436430b7e97d104140ce66315e24c0,computed_sha256,,Derived analysis input.,
Unassigned,unknown,supporting_or_derived_data,,data/processed/candidate_analysis/validation/LINCS_selective_reference_module_reproduction.csv,LINCS_selective_reference_module_reproduction.csv,derived_processed,derived_local,7861,7e-06,,,sha256,dfb254b99d17d14a96eda39ec4428db64d453d7c41e9ab93865dca3b4637478f,computed_sha256,,Derived analysis input.,
GO_Biological_Process_2023,processed,interpretive_enrichment_gene_sets,Homo sapiens,data/processed/gene_sets/GO_Biological_Process_2023.gmt,GO_Biological_Process_2023.gmt,external_download,downloaded_external,1374880,0.00128,https://maayanlab.cloud/Enrichr/geneSetLibrary?mode=text&libraryName=GO_Biological_Process_2023,https://maayanlab.cloud/Enrichr/geneSetLibrary?mode=text&libraryName=GO_Biological_Process_2023,sha256,4be7e1b5ed62ab3a8a4837743fa8c9520fc572c5d28dcad8478ed136189908b9,computed_sha256,,Downloaded GMT gene-set library.,Downloaded GMT; used with 204-gene common analyzable background.
MSigDB_Hallmark_2020,processed,interpretive_enrichment_gene_sets,Homo sapiens,data/processed/gene_sets/MSigDB_Hallmark_2020.gmt,MSigDB_Hallmark_2020.gmt,external_download,downloaded_external,44235,4.1e-05,https://maayanlab.cloud/Enrichr/geneSetLibrary?mode=text&libraryName=MSigDB_Hallmark_2020,https://maayanlab.cloud/Enrichr/geneSetLibrary?mode=text&libraryName=MSigDB_Hallmark_2020,sha256,4275592957a1587652092bb398cf77216fde5b8daa2aedaa0e016f7d10bbdb81,computed_sha256,,Downloaded GMT gene-set library.,Downloaded GMT; used with 204-gene common analyzable background.
Reactome_2022,processed,interpretive_enrichment_gene_sets,Homo sapiens,data/processed/gene_sets/Reactome_2022.gmt,Reactome_2022.gmt,external_download,downloaded_external,778913,0.000725,https://maayanlab.cloud/Enrichr/geneSetLibrary?mode=text&libraryName=Reactome_2022,https://maayanlab.cloud/Enrichr/geneSetLibrary?mode=text&libraryName=Reactome_2022,sha256,cfe1adc75aa3137ba74c1b35a3098e88ea1708b204e5edfd788092b7ef5c08f8,computed_sha256,,Downloaded GMT gene-set library.,Downloaded GMT; used with 204-gene common analyzable background.
Mechanism_annotation,processed,derived_transcript_gene_map,Homo sapiens,data/processed/mechanisms/ensembl_transcript_to_gene.csv,ensembl_transcript_to_gene.csv,derived_annotation,derived_local,6632602,0.006177,https://www.gencodegenes.org/human/,https://www.gencodegenes.org/human/,sha256,b742aa9bc1ae964a66c799492e7e2e5c413dd5c2dde54856bba83ee4df8f6276,computed_sha256,,Generated locally from retained GENCODE annotation.,Locally generated transcript-to-gene map from GENCODE v24.
GPL17518,raw,GSE49414_probe_annotation,Homo sapiens,data/raw/GPL17518/GPL17518_family.soft.gz,GPL17518_family.soft.gz,external_download,downloaded_external,88195587,0.082139,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GPL17518,https://ftp.ncbi.nlm.nih.gov/geo/platforms/GPL17nnn/GPL17518/soft/GPL17518_family.soft.gz,sha256,a4cbcacac2d69b8fcde7170e3c22eae3ddacf0c55ce500971a6af52086f8bca8,manifest_sha256,downloaded_verified_for_probe_mapping,Downloaded raw/archive/platform input.,Complete Illumina HumanHT-12 V3 platform SOFT annotation.
GPL17518,raw,GSE49414_probe_annotation,Homo sapiens,data/raw/GPL17518/GPL17518_platform.txt,GPL17518_platform.txt,external_download,downloaded_external,11924,1.1e-05,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GPL17518,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GPL17518,sha256,4bb79434101eb8cf8f0dd8df9d1a20a6fce15c891bc85a8d9dfd65925971fa95,computed_sha256,,Downloaded raw/archive/platform input.,Complete Illumina HumanHT-12 V3 platform SOFT annotation.
GPL2895,raw,GSE16944_probe_annotation,Homo sapiens,data/raw/GPL2895/GPL2895.annot.gz,GPL2895.annot.gz,external_download,downloaded_external,6360585,0.005924,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GPL2895,https://ftp.ncbi.nlm.nih.gov/geo/platforms/GPL2nnn/GPL2895/annot/GPL2895.annot.gz,sha256,91e4f679c2a99e6274583b98906c28d4702146e85c63f26b927dc183d0041ce9,manifest_sha256,downloaded,Downloaded raw/archive/platform input.,GEO platform annotation.
GPL339,raw,GSE27982_probe_annotation,Mus musculus,data/raw/GPL339/GPL339.annot.gz,GPL339.annot.gz,external_download,downloaded_external,5130293,0.004778,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GPL339,https://ftp.ncbi.nlm.nih.gov/geo/platforms/GPLnnn/GPL339/annot/GPL339.annot.gz,sha256,a097185b03ce8bbc3f2757e9c2865438380132a7425777af1879e228bf1d9d9c,manifest_sha256,downloaded,Downloaded raw/archive/platform input.,GEO platform annotation.
GSE104335,raw,SRPK2_mechanism_support,Homo sapiens,data/raw/GSE104335/GSE104335_RAW.tar,GSE104335_RAW.tar,external_download,downloaded_external,581529600,0.541592,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE104335,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE104nnn/GSE104335/suppl/GSE104335_RAW.tar,sha256,f3ad86ec74148a9ed25e282690d9c2390f8af4a705becf871d997bef91252e94,manifest_sha256,downloaded,Downloaded raw/archive/platform input.,HTA-2.0 archive with CEL/CHP files; CHP gene-level extraction is derived locally.
GSE104335,raw,SRPK2_mechanism_support,Homo sapiens,data/raw/GSE104335/extracted_gene_expression/GSM2795553_1_1998A.CEL,GSM2795553_1_1998A.CEL,derived_extracted,derived_local,69599683,0.06482,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE104335,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE104335,sha256,a03ecf7296cd5e1aeb95137571e463eba84ec7396edc47af774e6b4ff894f175,computed_sha256,,Extracted from a staged archive; source archive retained in the same dataset folder.,HTA-2.0 archive with CEL/CHP files; CHP gene-level extraction is derived locally.
GSE104335,raw,SRPK2_mechanism_support,Homo sapiens,data/raw/GSE104335/extracted_gene_expression/GSM2795553_1_1998A.CEL.gz,GSM2795553_1_1998A.CEL.gz,derived_extracted,derived_local,27163099,0.025298,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE104335,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE104335,sha256,03a9c50a9e6270f1b6511d6d51de76e443855da757bb0576128eca1ed6ee2244,computed_sha256,,Extracted from a staged archive; source archive retained in the same dataset folder.,HTA-2.0 archive with CEL/CHP files; CHP gene-level extraction is derived locally.
GSE104335,raw,SRPK2_mechanism_support,Homo sapiens,data/raw/GSE104335/extracted_gene_expression/GSM2795553_1_1998A.sst-rma-gene-full.chp,GSM2795553_1_1998A.sst-rma-gene-full.chp,derived_extracted,derived_local,2794426,0.002603,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE104335,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE104335,sha256,0c9dbc622e96aca807146fb9968ddd17ec9a13016b82570c0cf3693f2e157284,computed_sha256,,Extracted from a staged archive; source archive retained in the same dataset folder.,HTA-2.0 archive with CEL/CHP files; CHP gene-level extraction is derived locally.
GSE104335,raw,SRPK2_mechanism_support,Homo sapiens,data/raw/GSE104335/extracted_gene_expression/GSM2795553_1_1998A.sst-rma-gene-full.chp.gz,GSM2795553_1_1998A.sst-rma-gene-full.chp.gz,derived_extracted,derived_local,468167,0.000436,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE104335,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE104335,sha256,f20238ab70e167ff8d80907414931bd22679548a19b5ed516fc19f8cc5fa49c8,computed_sha256,,Extracted from a staged archive; source archive retained in the same dataset folder.,HTA-2.0 archive with CEL/CHP files; CHP gene-level extraction is derived locally.
GSE104335,raw,SRPK2_mechanism_support,Homo sapiens,data/raw/GSE104335/extracted_gene_expression/GSM2795554_2_1998H.CEL,GSM2795554_2_1998H.CEL,derived_extracted,derived_local,69525219,0.06475,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE104335,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE104335,sha256,82016c1b73b8d0af23c51601083985e55fa9e1ff5ad1a50e0a494fa61c48be0a,computed_sha256,,Extracted from a staged archive; source archive retained in the same dataset folder.,HTA-2.0 archive with CEL/CHP files; CHP gene-level extraction is derived locally.
GSE104335,raw,SRPK2_mechanism_support,Homo sapiens,data/raw/GSE104335/extracted_gene_expression/GSM2795554_2_1998H.CEL.gz,GSM2795554_2_1998H.CEL.gz,derived_extracted,derived_local,27802494,0.025893,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE104335,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE104335,sha256,30b8ba4b81fd289f6bea61a0f02839b42af9d120e3507a3df915f18c7efc178d,computed_sha256,,Extracted from a staged archive; source archive retained in the same dataset folder.,HTA-2.0 archive with CEL/CHP files; CHP gene-level extraction is derived locally.
GSE104335,raw,SRPK2_mechanism_support,Homo sapiens,data/raw/GSE104335/extracted_gene_expression/GSM2795554_2_1998H.sst-rma-gene-full.chp,GSM2795554_2_1998H.sst-rma-gene-full.chp,derived_extracted,derived_local,2794426,0.002603,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE104335,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE104335,sha256,369808ce8598df4714bce2d7ec36326e3ed8656e7a07e3560717730291063f58,computed_sha256,,Extracted from a staged archive; source archive retained in the same dataset folder.,HTA-2.0 archive with CEL/CHP files; CHP gene-level extraction is derived locally.
GSE104335,raw,SRPK2_mechanism_support,Homo sapiens,data/raw/GSE104335/extracted_gene_expression/GSM2795554_2_1998H.sst-rma-gene-full.chp.gz,GSM2795554_2_1998H.sst-rma-gene-full.chp.gz,derived_extracted,derived_local,468288,0.000436,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE104335,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE104335,sha256,42b8b520af49889f414e7e8c135352bd78f50f5ac1ced7cfd9cbc50892820266,computed_sha256,,Extracted from a staged archive; source archive retained in the same dataset folder.,HTA-2.0 archive with CEL/CHP files; CHP gene-level extraction is derived locally.
GSE104335,raw,SRPK2_mechanism_support,Homo sapiens,data/raw/GSE104335/extracted_gene_expression/GSM2795555_3_1998I.CEL,GSM2795555_3_1998I.CEL,derived_extracted,derived_local,69620723,0.064839,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE104335,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE104335,sha256,b0f324e62ee7c340e633b99ef8905c368efbea66cc46d941df6cfdba13fd1b7f,computed_sha256,,Extracted from a staged archive; source archive retained in the same dataset folder.,HTA-2.0 archive with CEL/CHP files; CHP gene-level extraction is derived locally.
GSE104335,raw,SRPK2_mechanism_support,Homo sapiens,data/raw/GSE104335/extracted_gene_expression/GSM2795555_3_1998I.CEL.gz,GSM2795555_3_1998I.CEL.gz,derived_extracted,derived_local,28036841,0.026111,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE104335,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE104335,sha256,860451ee29c96d0a7b4b2ed8354d6634e6ee05f1ab916ffd6bad3b4326fa5df9,computed_sha256,,Extracted from a staged archive; source archive retained in the same dataset folder.,HTA-2.0 archive with CEL/CHP files; CHP gene-level extraction is derived locally.
GSE104335,raw,SRPK2_mechanism_support,Homo sapiens,data/raw/GSE104335/extracted_gene_expression/GSM2795555_3_1998I.sst-rma-gene-full.chp,GSM2795555_3_1998I.sst-rma-gene-full.chp,derived_extracted,derived_local,2794426,0.002603,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE104335,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE104335,sha256,c7222922b0c2064e582028f0608b7c39902847e2b7da049a9488d6a559f190de,computed_sha256,,Extracted from a staged archive; source archive retained in the same dataset folder.,HTA-2.0 archive with CEL/CHP files; CHP gene-level extraction is derived locally.
