row_type,category,marker_pair,cells,fraction_state16,lam_identity_threshold,immune_score_threshold
category,LAM-high / immune-low,,31,0.07828282828282829,1.101246003061533,0.3552569905295968
category,LAM-high / immune-high,,2,0.005050505050505051,1.101246003061533,0.3552569905295968
category,LAM-low / immune-high,,97,0.24494949494949494,1.101246003061533,0.3552569905295968
category,LAM-low / immune-low,,266,0.6717171717171717,1.101246003061533,0.3552569905295968
raw_count_marker_pair,,PMEL+NKG7,15,0.03787878787878788,1.101246003061533,0.3552569905295968
raw_count_marker_pair,,PMEL+GNLY,18,0.045454545454545456,1.101246003061533,0.3552569905295968
raw_count_marker_pair,,PMEL+GZMB,16,0.04040404040404041,1.101246003061533,0.3552569905295968
raw_count_marker_pair,,PMEL+CD3D,6,0.015151515151515152,1.101246003061533,0.3552569905295968
raw_count_marker_pair,,PMEL+CD3E,11,0.027777777777777776,1.101246003061533,0.3552569905295968
raw_count_marker_pair,,MLANA+NKG7,2,0.005050505050505051,1.101246003061533,0.3552569905295968
raw_count_marker_pair,,MLANA+GNLY,2,0.005050505050505051,1.101246003061533,0.3552569905295968
raw_count_marker_pair,,MLANA+GZMB,2,0.005050505050505051,1.101246003061533,0.3552569905295968
raw_count_marker_pair,,MLANA+CD3D,0,0.0,1.101246003061533,0.3552569905295968
raw_count_marker_pair,,MLANA+CD3E,0,0.0,1.101246003061533,0.3552569905295968
raw_count_marker_pair,,VEGFD+NKG7,6,0.015151515151515152,1.101246003061533,0.3552569905295968
raw_count_marker_pair,,VEGFD+GNLY,8,0.020202020202020204,1.101246003061533,0.3552569905295968
raw_count_marker_pair,,VEGFD+GZMB,6,0.015151515151515152,1.101246003061533,0.3552569905295968
raw_count_marker_pair,,VEGFD+CD3D,3,0.007575757575757576,1.101246003061533,0.3552569905295968
raw_count_marker_pair,,VEGFD+CD3E,3,0.007575757575757576,1.101246003061533,0.3552569905295968
raw_count_marker_pair,,ACTA2+NKG7,39,0.09848484848484848,1.101246003061533,0.3552569905295968
raw_count_marker_pair,,ACTA2+GNLY,32,0.08080808080808081,1.101246003061533,0.3552569905295968
raw_count_marker_pair,,ACTA2+GZMB,35,0.08838383838383838,1.101246003061533,0.3552569905295968
raw_count_marker_pair,,ACTA2+CD3D,18,0.045454545454545456,1.101246003061533,0.3552569905295968
raw_count_marker_pair,,ACTA2+CD3E,25,0.06313131313131314,1.101246003061533,0.3552569905295968
