distance_bin,n_cells,nearest_state15_distance_median,LAMCORE_777_median,LAMCORE_777_mean,CORE1_median,CORE1_mean,CORE2_median,CORE2_mean,CORE3_median,CORE3_mean,melanocytic_median,melanocytic_mean,lam_support_median,lam_support_mean,myogenic_median,myogenic_mean,HOX_PBX_median,HOX_PBX_mean,hormone_median,hormone_mean,ECM_median,ECM_mean,protease_median,protease_mean
0-10%,2226,3.7532764673233032,0.21517322957515717,0.2340005572290333,0.5439981520175934,0.9584205653166996,0.23781826347112656,0.33028185563722606,0.39469632506370544,0.5510776530075165,0.0,0.2780187365825741,0.0,0.41778167822839224,0.4880189895629883,1.0205943526470864,0.0,0.13239073465090423,0.0,0.14661234510629056,0.40153899788856506,0.6177743099787192,0.4895950257778168,0.52466768393693
10-20%,2226,4.280386447906494,0.10635649785399437,0.15724946569813697,0.12155867367982864,0.5292015822264571,0.19730905443429947,0.21800552340021886,0.22129711508750916,0.29935100686343963,0.0,0.1932896823075877,0.0,0.18753847441328933,0.0,0.5493914353437822,0.0,0.07279127977139116,0.0,0.11849679841567082,0.2243320643901825,0.40664245176856195,0.44654855132102966,0.4891816459174426
20-40%,4452,4.730374574661255,0.08581477776169777,0.13637025469902783,0.08079329505562782,0.29652598875249264,0.1928269863128662,0.2120201346353165,0.17917048931121826,0.2380977701527541,0.1700843721628189,0.2146292377961172,0.0,0.15183367568544326,0.0,0.29666330339512575,0.0,0.08464239488681317,0.0,0.1426540866593754,0.2061435878276825,0.33482813589929233,0.4768631160259247,0.5038010826018896
40-60%,4452,5.182826995849609,0.09028428792953491,0.1281026338708444,0.06613001599907875,0.18488379177404776,0.1822284683585167,0.19959589254666665,0.170740507543087,0.21265696380488233,0.19644586741924286,0.23066559978170859,0.0,0.1381416490949148,0.0,0.1749702527795258,0.0,0.09187872271971427,0.0,0.17245134474167403,0.19699229300022125,0.288137978352213,0.4513585865497589,0.4919750892870155
60-80%,4452,5.632328987121582,0.12719875574111938,0.13512637883739384,0.0668267235159874,0.1485520822288065,0.16258271038532257,0.180058642373791,0.16446515917778015,0.2020239630209488,0.19020112603902817,0.23058671983559711,0.0,0.14885050349936613,0.0,0.1145748424775537,0.0,0.11062025304872004,0.09319611638784409,0.22034253563308503,0.18607094883918762,0.26905322149236954,0.3626084476709366,0.45970550173540453
80-100%,4453,6.329660415649414,0.15560808777809143,0.15208006317334286,0.0669274777173996,0.145067299781637,0.12378774583339691,0.1462982514362415,0.15934628248214722,0.19423643678557248,0.17486651241779327,0.22693515422444666,0.0,0.14615927069171236,0.0,0.10158423317879499,0.036268096417188644,0.14626540802042726,0.1699027270078659,0.2654194830965553,0.12958261370658875,0.2296267337160126,0.2539944052696228,0.3734915465247844
