dataset,n_cells,distance_spearman_LAMCORE_777,distance_spearman_p_LAMCORE_777,distance_spearman_CORE1,distance_spearman_p_CORE1,distance_spearman_CORE3,distance_spearman_p_CORE3,distance_spearman_melanocytic,distance_spearman_p_melanocytic,distance_spearman_lam_support,distance_spearman_p_lam_support,distance_spearman_myogenic,distance_spearman_p_myogenic,distance_spearman_HOX_PBX,distance_spearman_p_HOX_PBX,distance_spearman_macrophage,distance_spearman_p_macrophage,distance_spearman_T_NK,distance_spearman_p_T_NK,distance_spearman_AT2,distance_spearman_p_AT2,distance_spearman_endothelial,distance_spearman_p_endothelial,distance_spearman_lymphatic_endothelial,distance_spearman_p_lymphatic_endothelial,distance_spearman_fibroblast,distance_spearman_p_fibroblast,distance_spearman_pericyte_VSMC,distance_spearman_p_pericyte_VSMC,distance_spearman_mesothelial,distance_spearman_p_mesothelial,distance_spearman_ciliated,distance_spearman_p_ciliated
GSE135851,3940,-0.1374172908714147,4.555064795608208e-18,-0.21207057634008034,2.663586182697799e-41,-0.20780110549272726,1.0909580730674623e-39,-0.004631519605457756,0.7713365249993177,-0.10623266052175433,2.309719034490311e-11,-0.16028981814880347,4.3402300801851445e-24,-0.026885866935512533,0.09153035142803136,0.11848819392647036,8.562599594690965e-14,-0.02855111178030113,0.07314364651940684,-0.35890667762594936,4.235312171971125e-120,0.04848581487523374,0.0023326029785082146,-0.07387510077842548,3.451038619798385e-06,0.021788728960964964,0.1715017746711815,-0.21876975453446568,6.665501646879451e-44,0.06888481888580214,1.5072299724993498e-05,0.07293887356857945,4.583891367505169e-06
GSE190260,7737,-0.20925031491417076,2.711382080706824e-77,-0.25018115056884793,9.889490666075826e-111,-0.3209370916417652,7.488710008300817e-185,0.013654856235774782,0.22977212713932152,-0.2293757110443586,6.5397337608274095e-93,-0.23202709626297285,4.3680437264828674e-95,-0.017890218832275363,0.11560327018678125,0.07740512272849762,9.250855325875172e-12,0.0734955091802966,9.646428834394186e-11,-0.07282311718770407,1.4266667706502642e-10,0.1313600278364401,3.983561531091526e-31,-0.01314660037093453,0.24758260983237787,-0.1970616367592539,1.3670035252439691e-68,-0.2747763189448861,4.564022405611089e-134,0.050098704630153,1.039692415315231e-05,0.12752932191869812,2.028001282805196e-29
GSE217108,2150,-0.08339719655416229,0.00010818290359273028,-0.07556226125852489,0.0004537781698548839,-0.16881424408544507,3.2827958801325886e-15,-0.111215671806234,2.342132746117595e-07,-0.020535966786023787,0.34121860685185995,-0.05168469042078051,0.016542165942836383,0.05495843999789219,0.010810592085516626,-0.022224983171781815,0.302982783425987,0.03712102028892426,0.08528294922063327,-0.1942357924284367,1.0107568045439322e-19,0.093923880517337,1.2877038569840656e-05,0.024052844280703707,0.26493734296743565,-0.25725213398747904,7.691716508026918e-34,-0.07968954242635032,0.00021663266766515168,0.08606903173081767,6.443461012260963e-05,0.04939446928964278,0.021998518259271377
GSE302356,8434,-0.19238824066046953,3.951079063106401e-71,-0.30079500553608773,6.567440652250216e-176,-0.28340622857864306,1.5145393416400225e-155,0.1386399260888712,1.8131508396554332e-37,-0.014668529114763454,0.17798546935527806,-0.34612182906566297,5.6717900505847275e-236,0.005268875637165349,0.6285218687026664,-0.0641607230654797,3.6900625982069007e-09,-0.05777927448397639,1.096770098156513e-07,0.03927424060265151,0.0003089492675055365,0.0693849795371072,1.784353902489126e-10,0.02987979053630409,0.006064551253483099,-0.33574446673785985,2.6758204629696604e-221,-0.3551524750084626,3.3201204265067266e-249,0.19779157461547056,3.730610573626169e-75,0.20513670071194673,8.087156266423731e-81
