technical_cohort,n_cells,T_NK_reference_threshold,total_counts_median,total_counts_q25,total_counts_q75,n_genes_by_counts_median,n_genes_by_counts_q25,n_genes_by_counts_q75,pct_counts_mt_median,pct_counts_mt_q25,pct_counts_mt_q75,doublet_score_median,doublet_score_q25,doublet_score_q75,doublet_predicted_fraction
State_15,200,0.08670126646757126,12486.0,7746.25,16531.0,3455.0,2525.5,4177.25,5.1470167949421795,4.005141947280113,6.629843568658906,0.087378640776699,0.0799347471451876,0.1025924750000315,0.0
State_16,396,0.08670126646757126,2532.0,968.75,5895.25,1139.5,504.75,2269.5,0.5108565165196514,0.06272104326372574,3.1705525169577458,0.02070085238803951,0.015214726194883408,0.03806794924273435,0.0
T_NK_marker_reference,1961,0.08670126646757126,4784.0,2879.0,8060.0,1828.0,1276.0,2816.0,4.95837669094693,1.2245236810427131,8.219178082191782,0.02503687125498633,0.016442451420029893,0.035516969218626675,0.0015298317185109638
other_candidate_or_boundary,19704,0.08670126646757126,9043.5,5267.75,15037.0,2650.0,1940.0,3457.0,4.08382385356189,0.33112582781456956,6.468972480260689,0.06788710907704043,0.04321106203188017,0.10665258711721226,0.004973609419407227
LAM_immune_raw_coexpressing,80,0.08670126646757126,3386.5,,,1345.5,,,4.524841940936309,,,0.02989213270211805,,,
other_State_16,316,0.08670126646757126,2023.5,,,978.0,,,0.2603274026496925,,,0.01818181818181818,,,
