distance_bin,n_cells,nearest_state15_distance_median,macrophage_median,macrophage_mean,T_NK_median,T_NK_mean,AT2_median,AT2_mean,endothelial_median,endothelial_mean,lymphatic_endothelial_median,lymphatic_endothelial_mean,fibroblast_median,fibroblast_mean,pericyte_VSMC_median,pericyte_VSMC_mean,mesothelial_median,mesothelial_mean,ciliated_median,ciliated_mean
0-10%,2226,3.7532764673233032,0.24524208903312683,0.6564731878581601,0.0,0.11275981883275735,0.4536581039428711,1.049246607426979,0.0,0.06976250056863527,0.0,0.04871818421932351,0.28212471306324005,0.6275340913784894,0.623863160610199,0.9212482887950306,0.0,0.036160618933679174,0.0,0.031018914683301067
10-20%,2226,4.280386447906494,0.27247439324855804,0.9516512067153421,0.0,0.14857843974086407,0.5394501388072968,1.1614445538911884,0.03972902335226536,0.09062814845947041,0.0,0.03566138278140694,0.15868115425109863,0.4121924475486401,0.10659856721758842,0.512539770065908,0.0,0.027104438370410003,0.0,0.03537031792410501
20-40%,4452,4.730374574661255,0.39927108585834503,1.1288001508529817,0.0,0.12529452797245094,0.6176367402076721,1.1532430664727402,0.06679828837513924,0.11624492380390679,0.0,0.04754886281386232,0.1342877522110939,0.3071280289750951,0.07098478823900223,0.28767167705823293,0.0,0.031890659684671786,0.0,0.05086590048270459
40-60%,4452,5.182826995849609,0.4070056080818176,1.1608695136261844,0.0,0.09506458119978344,0.5833025574684143,1.0214434894243622,0.07009883970022202,0.13674411655304097,0.0,0.06086170901347752,0.1001950167119503,0.21307732092019133,0.057719359174370766,0.1734638141166094,0.0,0.039820532140431644,0.0,0.09003222623512798
60-80%,4452,5.632328987121582,0.23724231123924255,1.0253732030761913,0.0,0.07139601489288025,0.5522556304931641,0.8589726540997209,0.06110449135303497,0.15705408639109694,0.0,0.06689996489404006,0.0739346593618393,0.17199816073266738,0.053599489852786064,0.1261081621739076,0.0,0.06031884697411521,0.0,0.17952603010648172
80-100%,4453,6.329660415649414,0.12796024978160858,0.6366195681998696,0.0,0.04933815116475612,0.5232605338096619,0.7165671716451096,0.05124039202928543,0.17822279589066217,0.0,0.053537021155491915,0.029527630656957626,0.11349506945554866,0.05388559773564339,0.11025074586672125,0.0,0.09396506152687774,0.037552203983068466,0.3512482171783685
